,player,pos,year,bodyfat%,hand_len_in,hand_width_in,height_wo_shoes,height_w_shoes,standing_reach,weight_lbs,wingspan,lane_agility_s,shuttle_run_s,three_q_sprint_s,standing_vert_in,max_vert_in,max_bench_reps
222,Jay Williams,PG,2002-03,,,,72.25,,97.0,197.0,75.5,10.34,,3.09,28.5,36.0,10.0
223,Qyntel Woods,SF-SG,2002-03,,,,79.0,,105.0,213.0,82.0,11.94,,3.23,33.5,34.5,2.0
224,Vincent Yarbrough,SF,2002-03,,,,77.5,,104.5,202.0,84.5,11.7,,3.32,30.0,34.0,10.0
225,Aloysius Anagonye,PF,2003-04,10.5,,,78.75,,106.0,257.0,86.5,12.93,,3.3,31.0,34.5,6.0
226,Rick Anderson,SF-PF,2003-04,9.9,,,80.25,,106.5,216.0,83.0,11.23,,3.4,26.0,30.5,6.0
227,Carmelo Anthony,SF,2003-04,8.0,,,78.25,,105.5,233.0,84.0,11.4,,3.15,30.5,33.5,7.0
228,Jerome Beasley,SF-PF,2003-04,9.9,,,81.0,,107.0,237.0,84.5,11.36,,3.25,27.0,32.0,10.0
229,Troy Bell,PG,2003-04,5.3,,,72.25,,97.5,178.0,77.0,10.89,,3.06,34.5,41.0,17.0
230,LaVell Blanchard,SF,2003-04,11.7,,,78.0,,101.5,205.0,78.0,11.64,,3.38,33.5,36.5,12.0
231,Keith Bogans,SG,2003-04,8.0,,,76.25,,101.0,213.0,81.25,11.43,,3.25,29.5,35.0,10.0
232,Matt Bonner,PF-SF,2003-04,13.6,,,80.5,,105.5,242.0,80.75,11.52,,3.32,27.0,32.0,20.0
233,Chris Bosh,PF,2003-04,8.0,,,82.25,,109.0,225.0,87.5,11.8,,3.3,30.5,33.0,9.0
234,Jermaine Boyette,PG-SG,2003-04,7.3,,,73.0,,96.0,187.0,76.0,11.2,,3.07,29.0,35.5,14.0
235,Souleymane Camara,PF-SF,2003-04,9.9,,,81.75,,109.0,211.0,86.25,11.51,,3.2,28.5,34.5,2.0
236,Matt Carroll,SG-SF,2003-04,6.7,,,77.0,,98.5,207.0,78.5,11.11,,3.35,29.0,33.5,13.0
237,Nick Collison,PF,2003-04,17.0,,,80.75,,108.0,255.0,85.5,11.62,,3.28,28.0,33.0,8.0
238,Brian Cook,PF-SF,2003-04,10.5,,,81.5,,109.0,234.0,86.0,11.87,,3.45,25.0,29.0,6.0
239,Joel Cornette,PF-SF,2003-04,12.9,,,80.25,,105.5,239.0,81.25,11.27,,3.14,26.0,32.5,13.0
240,Marquis Daniels,SG-PG,2003-04,4.0,,,77.25,,103.5,198.0,82.0,11.62,,3.25,30.5,35.0,6.0
241,Aleksander Djuric,C-PF,2003-04,16.3,,,82.0,,108.0,253.0,84.0,11.97,,3.65,23.5,27.5,3.0
242,Ruben Douglas,SG,2003-04,6.0,,,75.5,,100.5,193.0,79.25,11.95,,3.27,28.5,35.0,9.0
243,Ronald Dupree,SF-SG,2003-04,6.7,,,78.0,,101.0,209.0,80.25,11.09,,3.23,37.5,41.5,11.0
244,Carl English,SG-PG,2003-04,8.0,,,76.0,,98.5,201.0,77.25,11.77,,3.32,28.0,34.0,11.0
245,Ebi Ere,SG,2003-04,14.1,,,75.5,,102.0,210.0,82.5,11.38,,3.16,29.5,33.5,
246,Marquis Estill,PF-C,2003-04,11.7,,,80.5,,108.0,257.0,88.0,12.92,,3.31,30.0,36.0,7.0
247,T.J. Ford,PG,2003-04,6.7,,,71.0,,93.5,162.0,71.5,11.45,,3.2,32.5,39.5,
248,Jason Gardner,PG,2003-04,9.3,,,69.75,,92.0,194.0,73.0,10.62,,3.17,30.5,35.0,10.0
249,Willie Green,SG-PG,2003-04,8.0,,,74.5,,100.0,201.0,79.25,11.86,,3.19,28.5,28.5,13.0
250,Justin Hamilton,PG-SG,2003-04,8.0,,,75.0,,103.0,217.0,83.0,11.18,,3.18,30.0,37.5,17.0
251,Travis Hansen,SG,2003-04,6.0,,,76.5,,100.5,200.0,78.5,10.72,,3.18,31.5,35.0,16.0
252,Trevor Harvey,C-PF,2003-04,10.5,,,81.5,,109.5,245.0,85.0,11.85,,3.32,29.5,32.0,11.0
253,Marcus Hatten,PG,2003-04,4.0,,,72.75,,98.0,163.0,78.25,11.5,,3.15,29.5,37.5,7.0
254,Kirk Hinrich,PG-SG,2003-04,5.3,,,74.75,,98.5,186.0,78.0,10.98,,3.1,29.0,33.5,10.0
255,Jerry Holman,PF,2003-04,6.0,,,80.75,,109.5,232.0,87.25,11.54,,3.24,33.0,37.5,11.0
256,Sam Hoskin,PF,2003-04,,,,79.25,,107.5,261.0,82.75,,,,,,24.0
257,Josh Howard,SF-SG,2003-04,6.0,,,77.25,,105.5,202.0,86.0,10.89,,3.09,33.0,36.5,4.0
258,Brandon Hunter,PF,2003-04,8.0,,,78.5,,105.5,266.0,86.75,11.13,,3.21,32.5,35.0,25.0
259,Sani Ibrahim,C-PF,2003-04,9.3,,,80.5,,109.5,229.0,85.0,13.02,,3.4,26.0,30.5,12.0
260,Michael Ignerski,PF-SF,2003-04,10.5,,,81.5,,107.0,232.0,82.75,11.21,,3.13,26.5,33.0,10.0
261,Robert Jackson,PF-C,2003-04,15.9,,,79.75,,107.5,254.0,84.0,11.26,,3.25,23.5,26.0,15.0
262,LeBron James,SF-SG,2003-04,6.7,,,79.25,,106.25,245.0,84.25,,,,,,
263,Britton Johnsen,SF-PF,2003-04,7.3,,,82.0,,107.5,212.0,82.75,10.67,,3.08,26.5,32.5,13.0
264,James Jones,SF,2003-04,6.7,,,79.25,,107.5,218.0,86.5,11.18,,3.19,30.5,33.0,9.0
265,Dahntay Jones,SG-SF,2003-04,2.6,,,76.75,,102.5,214.0,81.0,10.91,,3.11,30.0,39.5,
266,Chris Kaman,C-PF,2003-04,16.3,,,83.5,,110.5,252.0,83.75,11.33,,3.37,23.5,30.5,15.0
267,Jason Kapono,SG-SF,2003-04,11.7,,,78.5,,102.0,215.0,78.5,11.04,,3.38,23.5,30.0,8.0
268,Jason Keep,C-PF,2003-04,8.6,,,81.75,,106.5,270.0,84.5,11.18,,3.3,29.5,34.0,27.0
269,Bernard King,SG-PG,2003-04,12.9,,,75.75,,98.5,200.0,77.5,11.37,,3.18,28.0,33.5,11.0
270,Brandin Knight,PG,2003-04,10.5,,,71.75,,95.5,190.0,78.0,,,,,,6.0
271,Kyle Korver,SF,2003-04,6.7,,,78.25,,102.5,211.0,81.5,11.42,,3.47,25.5,31.5,13.0
272,James Lang,C-PF,2003-04,21.4,,,80.25,,110.0,316.0,90.25,14.01,,3.55,24.5,32.0,8.0
273,Donald Little,PF-C,2003-04,7.3,,,81.5,,97.0,229.0,87.0,11.18,,3.2,33.0,37.0,18.0
274,Chris Marcus,C,2003-04,23.1,,,84.0,,114.0,334.0,92.0,,,,,,12.0
275,Chris Massie,PF-C,2003-04,14.8,,,78.5,,106.5,259.0,85.0,12.48,,3.22,26.5,33.0,13.0
276,Will McDonald,C-PF,2003-04,13.6,,,81.5,,109.5,258.0,87.5,11.83,,3.42,25.0,32.5,17.0
277,Darko Milicic,PF,2003-04,8.0,,,83.5,,111.5,250.0,89.0,11.3,,3.36,26.5,32.5,13.0
278,Jeff Newton,PF,2003-04,5.3,,,80.0,,106.0,199.0,85.0,11.18,,3.23,27.5,34.0,9.0
279,Uche Nsonwu-Amadi,PF-C,2003-04,6.0,,,79.75,,106.5,246.0,87.75,11.83,,3.25,27.5,29.0,21.0
280,Ugonna Okyekwe,SF,2003-04,4.3,,,79.25,,109.0,228.0,87.0,11.43,,3.2,32.0,36.5,8.0
281,Marlon Parmer,PG,2003-04,9.3,,,72.75,,97.0,184.0,75.5,,,3.42,28.0,32.0,13.0
282,Stephane Pelle,PF-SF,2003-04,12.4,,,79.0,,107.0,246.0,86.0,11.37,,3.27,28.5,33.0,17.0
283,Kirk Penney,SG-SF,2003-04,8.0,,,77.0,,97.0,218.0,77.25,10.44,,3.04,32.0,35.5,15.0
284,Pavel Podkolzin,C,2003-04,16.3,,,87.5,,116.0,303.0,89.75,13.4,,3.8,19.5,22.5,5.0
285,Josh Powell,PF-SF,2003-04,8.0,,,80.0,,107.5,227.0,85.0,11.72,,3.2,32.5,38.5,15.0
286,Hollis Price,PG-SG,2003-04,7.3,,,71.5,,94.5,165.0,76.5,10.72,,3.25,27.5,33.0,1.0
287,Luke Ridnour,PG,2003-04,5.3,,,73.0,,95.5,167.0,75.0,11.0,,3.28,26.0,32.5,
288,Joe Shipp,SG,2003-04,11.7,,,76.0,,103.0,224.0,82.0,11.75,,3.2,29.0,34.5,17.0
289,Ron Slay,SF-PF,2003-04,16.3,,,78.0,,103.5,236.0,82.0,12.01,,3.43,28.5,31.5,10.0
290,Theron Smith,PF-SF,2003-04,9.3,,,78.5,,104.5,234.0,82.25,10.99,,3.1,28.5,32.0,25.0
291,Tommy Smith,PF-SF,2003-04,6.7,,,81.0,,107.5,200.0,86.5,11.54,,3.14,30.0,33.0,2.0
292,Marvin Stone,C-PF,2003-04,17.4,,,81.5,,109.5,261.0,87.5,12.1,,3.5,25.5,27.5,9.0
293,Michael Sweetney,PF,2003-04,14.1,,,79.25,,107.5,262.0,85.0,12.9,,3.28,26.0,31.5,3.0
294,Sasha Vujacic,PG-SG,2003-04,14.1,,,77.5,,101.0,193.0,77.5,,,,,,
295,Dwyane Wade,SG-SF,2003-04,6.7,,,75.75,,102.0,212.0,82.75,10.56,,3.08,31.5,35.0,9.0
296,Wayne Wallace,PF,2003-04,4.6,,,79.25,,108.0,187.0,86.0,11.85,,3.24,29.5,36.0,6.0
297,Luke Walton,SF-PF,2003-04,9.3,,,79.75,,104.0,235.0,80.5,,,,28.0,,12.0
298,David West,PF-SF,2003-04,8.0,,,80.25,,108.25,226.0,88.25,12.18,,3.43,28.5,31.5,11.0
299,Mo Williams,PG-SG,2003-04,6.7,,,72.75,,98.5,189.0,77.5,,,,,,3.0
300,Wesley Wilson,C-PF,2003-04,12.4,,,82.25,,110.5,257.0,87.0,12.19,,3.3,27.0,30.5,20.0
301,Doug Wrenn,SF-PF,2003-04,7.3,,,77.75,,100.5,220.0,91.5,11.38,,3.17,34.5,41.0,15.0
302,Derrick Zimmerman,PG,2003-04,5.3,,,73.0,,96.25,190.0,81.0,11.09,,3.1,34.0,40.5,13.0
303,Tony Allen,SG,2004-05,6.7,,,75.5,76.25,102.0,214.0,81.0,10.7,,3.19,31.5,36.5,17.0
304,Trevor Ariza,SG-SF,2004-05,8.0,,,79.0,80.25,107.5,201.0,86.0,11.63,,3.29,29.5,32.0,8.0
305,Andre Barrett,PG,2004-05,6.7,,,68.75,69.75,92.0,171.0,73.0,10.63,,3.08,29.0,34.5,13.0
306,Brandon Bass,PF,2004-05,9.3,,,78.25,79.25,106.5,246.0,86.5,11.61,,3.24,31.5,33.0,18.0
307,Andris Biedrins,C,2004-05,9.3,,,,,,,,,,,,,
308,Tony Bobbitt,SG,2004-05,7.3,,,74.75,76.0,100.0,185.0,79.0,,,,,,1.0
309,Brian Boddicker,SF-PF,2004-05,11.2,,,79.5,80.75,105.5,230.0,82.0,10.93,,3.25,28.0,30.0,16.0
310,Tim Bowers,PG-SG,2004-05,2.6,,,72.5,73.75,98.0,181.0,81.0,11.24,,3.21,37.0,43.5,13.0
311,Andre Brown,PF-C,2004-05,6.0,,,80.0,81.5,107.0,236.0,83.0,11.7,,3.22,32.0,35.5,18.0
312,Antonio Burks,PG,2004-05,9.9,,,72.0,72.75,96.5,191.0,78.5,,,,,,9.0
313,Jackie Butler,C,2004-05,16.3,,,80.0,81.5,109.0,263.0,85.5,13.32,,3.4,23.0,25.0,14.0
314,Aleksandar Capin,PG,2004-05,9.3,,,72.0,73.25,94.0,176.0,73.5,11.5,,3.27,23.0,29.0,4.0
315,Ales Chan,C,2004-05,14.8,,,84.0,86.0,113.0,255.0,87.0,12.9,,3.62,21.0,29.0,2.0
316,Josh Childress,SG-SF,2004-05,9.3,,,77.75,79.25,105.0,196.0,83.0,11.95,,3.38,29.0,36.0,11.0
317,TJ Cummings,SF,2004-05,6.7,,,79.5,80.75,106.5,215.0,81.5,11.58,,3.12,27.0,31.0,6.0
318,Erik Daniels,SF-PF,2004-05,18.5,,,78.25,79.5,106.0,223.0,83.0,11.38,,3.19,31.0,32.0,4.0
319,Luol Deng,SF,2004-05,6.7,,,79.0,80.0,108.5,220.0,84.5,11.46,,3.34,27.5,31.5,5.0
320,Marcus Douthit,C-PF,2004-05,13.7,,,81.5,83.0,111.5,223.0,88.0,11.64,,3.34,25.5,31.5,1.0
321,Chris Duhon,PG,2004-05,6.7,,,72.0,73.25,98.0,193.0,78.5,10.45,,3.14,31.5,35.0,7.0
322,John Edwards,C,2004-05,14.1,,,83.25,85.0,113.0,264.0,88.5,,,,,,15.0
323,Andre Emmett,SG-SF,2004-05,6.7,,,75.5,76.5,100.0,216.0,81.0,,,,,,
324,Desmon Farmer,SG,2004-05,5.3,,,76.5,77.75,103.0,214.0,80.5,10.89,,3.2,24.0,31.0,12.0
325,Luis Flores,PG-SG,2004-05,6.0,,,72.5,73.75,98.5,202.0,79.5,10.97,,3.1,29.0,32.0,15.0
326,Matt Freije,SF-PF,2004-05,10.8,,,80.25,81.5,108.5,234.0,85.0,11.15,,3.25,29.5,31.0,13.0
327,Chris Garnett,C-PF,2004-05,14.8,,,80.25,81.75,108.0,260.0,85.0,11.75,,3.36,27.0,31.5,22.0
328,Ryan Gomes,SF-PF,2004-05,,,,78.5,79.75,106.5,248.0,86.0,12.49,,3.24,26.5,30.5,9.0
329,Ben Gordon,PG-SG,2004-05,5.3,,,73.0,74.25,99.0,192.0,80.5,11.28,,3.19,31.5,37.5,12.0
330,Devin Harris,PG,2004-05,5.3,,,73.75,75.0,98.5,170.0,79.5,11.03,,3.19,30.5,37.0,5.0
331,Dwight Howard,PF-C,2004-05,10.5,,,81.0,82.25,111.5,240.0,88.5,11.21,,3.14,30.5,35.5,7.0
332,Rolando Howell,PF,2004-05,11.7,,,79.5,80.5,107.0,229.0,84.5,11.91,,3.28,28.5,34.5,
333,Kris Humphries,PF,2004-05,6.7,,,80.25,81.5,106.5,238.0,84.5,11.33,,3.2,29.5,36.0,22.0
334,Andre Iguodala,SG-SF,2004-05,6.7,,,77.75,78.75,105.5,217.0,83.0,11.17,,3.18,30.5,34.5,4.0
335,Martin Iti,C-PF,2004-05,10.5,,,80.5,81.75,111.5,233.0,89.0,12.28,,3.41,26.5,32.5,13.0
336,Luke Jackson,SF-SG,2004-05,8.0,,,78.0,79.0,103.0,212.0,80.5,11.1,,3.24,26.5,36.0,13.0
337,Al Jefferson,PF-SF,2004-05,10.5,,,80.5,81.75,110.0,263.0,86.5,13.08,,3.29,28.5,30.0,3.0
338,Arthur Johnson,PF-C,2004-05,16.3,,,79.0,80.5,109.0,262.0,87.0,11.81,,3.38,26.5,28.5,14.0
339,Ivan Koljevic,PG,2004-05,6.7,,,73.0,74.0,95.0,172.0,74.5,11.07,,3.28,26.0,28.5,4.0
340,Herve Lamizana,SF-PF,2004-05,6.7,,,79.5,80.5,107.0,210.0,85.5,,,,,,
341,Sergei Lishouk,PF-SF,2004-05,10.5,,,82.25,83.5,109.5,244.0,84.0,,,,,,
342,Shaun Livingston,PG-SG,2004-05,6.7,,,78.25,79.5,105.5,186.0,83.0,10.72,,3.23,26.5,30.0,
343,Jaime Lloreda,PF,2004-05,9.9,,,78.75,80.5,107.0,247.0,81.5,12.93,,3.23,25.5,29.5,6.0
344,Bryant Matthews,SF-SG,2004-05,6.7,,,77.75,78.75,105.5,206.0,84.5,11.08,,3.13,29.0,34.5,13.0
345,Marcus Melvin,SF-PF,2004-05,10.5,,,78.75,80.5,105.5,241.0,84.0,11.81,,3.33,25.0,30.5,11.0
346,Rich Melzer,PF-SF,2004-05,12.4,,,79.5,80.75,107.0,229.0,86.0,11.74,,3.39,24.5,28.5,8.0
347,Ricky Minard,PG-SG,2004-05,8.0,,,75.25,76.25,101.5,198.0,79.0,10.94,,3.1,27.5,33.0,13.0
348,James Moore,PF-SF,2004-05,8.0,,,78.5,80.0,107.0,198.0,84.5,11.01,,3.21,28.5,32.5,
349,Marcus Moore,PG-SG,2004-05,14.8,,,76.0,77.25,101.5,202.0,81.0,11.31,,3.34,25.0,30.0,
350,Michel Morandais,SG-SF,2004-05,8.6,,,75.75,76.75,102.0,205.0,83.5,11.45,,3.22,30.5,33.5,16.0
351,Jameer Nelson,PG,2004-05,8.0,,,71.0,72.5,95.0,199.0,74.5,10.95,,3.14,28.5,33.5,15.0
352,Misan Nikagbatse,SG-PG,2004-05,12.9,,,75.5,76.75,102.0,223.0,82.0,11.27,,3.32,27.5,32.5,11.0
353,Emeka Okafor,C-PF,2004-05,5.3,,,80.75,82.0,110.5,257.0,88.0,12.32,,3.15,31.5,34.0,22.0
354,Randall Orr,PF-SF,2004-05,6.7,,,81.0,82.75,107.5,193.0,82.5,11.18,,3.27,26.5,33.0,6.0
355,Dylan Page,SF,2004-05,12.3,,,79.5,80.75,105.0,239.0,79.0,10.99,,3.4,26.0,30.0,17.0
356,Drago Pasalic,PF,2004-05,12.9,,,81.25,82.75,108.0,231.0,83.5,12.97,,3.56,25.5,30.0,8.0
357,Rickey Paulding,SG,2004-05,5.3,,,74.75,76.0,101.5,210.0,81.5,11.14,,3.17,30.0,36.0,17.0
358,Kelvin Pena,SG-PG,2004-05,8.6,,,74.25,75.25,99.5,182.0,78.5,11.5,,3.24,27.5,32.5,1.0
359,Tim Pickett,PG-SG,2004-05,6.0,,,75.0,76.25,100.5,207.0,79.5,,,,,,
360,Omar Quintero,PG,2004-05,14.1,,,69.75,71.25,92.5,170.0,71.5,11.37,,3.25,25.0,29.0,2.0
361,Peter Ramos,C,2004-05,6.7,,,85.75,87.25,111.5,266.0,89.5,12.61,,3.6,24.0,26.5,2.0
362,Jared Reiner,C-PF,2004-05,12.9,,,82.0,83.75,109.0,246.0,84.5,12.65,,3.56,22.0,26.0,15.0
363,Lawrence Roberts,PF,2004-05,9.3,,,79.5,81.0,106.5,233.0,81.5,12.52,,3.3,27.5,33.0,18.0
364,Bernard Robinson,SG-SF,2004-05,6.0,,,77.25,78.5,102.0,208.0,82.0,10.91,,3.17,28.5,34.5,14.0
365,Nate Robinson,PG,2004-05,6.7,,,67.75,69.0,91.5,181.0,73.0,10.75,,2.96,35.5,43.5,13.0
366,Aerick Sanders,PF,2004-05,6.7,,,78.5,79.5,106.0,205.0,83.5,11.98,,3.37,24.5,30.5,9.0
367,Romain Sato,SG,2004-05,6.0,,,74.0,75.25,102.5,204.0,83.0,11.27,,3.18,31.5,35.5,8.0
368,Blagota Sekulic,SF-PF,2004-05,9.3,,,81.25,82.5,107.0,234.0,83.0,10.93,,3.39,23.5,31.5,8.0
369,Josh Smith,SG-SF,2004-05,6.7,,,79.0,80.25,106.5,221.0,84.0,11.43,,3.24,32.5,39.5,12.0
370,J.R. Smith,SG-SF,2004-05,6.7,,,77.5,78.75,104.0,227.0,82.0,10.93,,3.21,29.0,35.5,5.0
371,Kirk Snyder,SG-SF,2004-05,9.3,,,78.0,78.75,104.0,228.0,81.0,10.79,,3.13,30.0,35.0,19.0
372,Pape Sow,PF-C,2004-05,9.3,,,80.5,82.0,108.5,233.0,86.0,12.13,,3.27,28.0,31.5,18.0
373,Tiago Splitter,C-PF,2004-05,5.3,,,82.25,83.75,109.5,233.0,86.0,11.65,,3.38,26.0,31.5,8.0
374,Blake Stepp,PG,2004-05,8.0,,,,,,,,,,,,,
375,Tom Timmerrmans,PF-C,2004-05,15.2,,,82.5,83.5,107.5,272.0,83.0,13.13,,3.63,23.0,26.5,15.0
376,Marko Tomas,SG-PG,2004-05,9.3,,,78.5,79.75,103.5,198.0,79.0,11.8,,3.23,32.0,31.5,
377,Beno Udrih,PG,2004-05,9.3,,,74.5,75.75,98.0,199.0,76.5,,,,,,2.0
378,Jackson Vroman,PF-C,2004-05,6.7,,,81.25,82.75,105.5,226.0,84.0,10.75,,3.25,29.5,33.5,12.0
379,Delonte West,PG-SG,2004-05,6.7,,,73.5,74.75,99.5,183.0,78.0,11.2,,3.15,30.0,35.0,12.0
380,Damien Wilkins,SG-SF,2004-05,7.3,,,76.5,78.0,106.0,222.0,84.0,11.92,,3.15,26.5,31.0,15.0
381,Mike Williams,SF,2004-05,9.3,,,77.5,78.5,105.5,197.0,83.5,11.59,,3.42,23.5,27.5,
382,Nate Williams,PF-SF,2004-05,12.4,,,80.5,82.0,109.5,240.0,85.5,12.6,,3.35,23.5,26.0,1.0
383,Rashad Wright,PG,2004-05,8.0,,,72.5,73.75,98.5,190.0,82.0,11.15,,3.28,28.5,32.5,10.0
384,Alex Acker,SG,2005-06,,,,75.75,76.75,102.5,183.0,84.0,11.67,,3.35,28.0,32.0,11.0
385,Deji Akindele,C-PF,2005-06,,,,81.5,83.0,108.5,236.4,87.0,12.58,,3.35,30.5,32.5,13.0
386,Mustafa Al-Sayyad,PF-C,2005-06,,,,,,,,,11.56,,3.42,26.5,30.5,
387,Nemanja Aleksandrov,PF-SF,2005-06,,,,82.0,84.0,110.0,220.6,83.0,,,,,,5.0
388,Alan Anderson,SG-SF,2005-06,,,,76.5,78.0,104.0,223.2,81.5,10.32,,3.27,26.5,30.5,10.0
389,Martynas Andriuskevicius,C-PF,2005-06,,,,85.25,87.0,112.5,227.8,83.25,11.94,,3.42,24.0,27.5,
390,Sean Banks,SF,2005-06,,,,77.75,79.0,108.0,206.4,85.0,11.74,,3.35,25.0,31.5,7.0
391,Eddie Basden,SG-SF,2005-06,,,,76.25,77.5,101.0,210.0,82.25,10.52,,3.21,33.0,36.5,14.0
392,Mike Bell,SF-PF,2005-06,,,,80.75,81.25,104.5,206.2,85.5,11.73,,3.29,33.5,39.5,13.0
393,Andrew Bogut,C-PF,2005-06,,,,83.0,84.25,110.5,250.6,87.0,12.06,,3.51,27.5,33.5,13.0
394,Dee Brown,PG-SG,2005-06,,,,71.0,72.0,94.0,179.0,74.0,,,,,,
395,Will Bynum,PG-SG,2005-06,,,,70.5,71.5,93.0,188.8,75.5,11.12,,3.0,33.0,40.5,15.0
396,Marcus Campbell,C,2005-06,,,,82.25,84.25,114.0,280.4,90.0,,,,,,9.0
397,Will Conroy,PG,2005-06,,,,73.0,74.0,96.5,188.6,75.0,10.51,,3.28,30.5,36.5,14.0
398,Taylor Coppenrath,PF-SF,2005-06,,,,79.75,81.25,106.5,252.4,83.5,11.51,,3.44,24.5,27.0,5.0
399,Travis Diener,PG-SG,2005-06,,,,71.75,73.0,93.5,165.2,71.75,10.85,,3.26,24.5,31.0,1.0
400,Ike Diogu,PF,2005-06,,,,78.5,80.0,109.0,255.4,87.5,11.94,,3.45,28.0,31.0,21.0
401,Daryl Dorsey,PG,2005-06,,,,71.25,72.5,94.0,160.8,71.5,11.41,,3.24,25.0,30.5,
402,Monta Ellis,SG-PG,2005-06,,,,74.25,75.25,98.0,176.6,74.75,12.13,,3.31,26.5,31.5,
403,Raymond Felton,PG,2005-06,,,,71.5,72.25,98.0,199.4,76.25,10.5,,3.06,29.0,33.5,6.0
404,Rudy Fernandez,SG,2005-06,,,,76.75,78.0,101.5,172.0,79.5,10.48,,3.33,26.5,35.5,
405,D'Or Fischer,C-PF,2005-06,,,,81.25,82.5,110.5,242.4,90.0,12.53,,3.5,28.0,30.5,2.0
406,Eddy Fobbs,C-PF,2005-06,,,,82.25,83.25,111.5,235.2,90.75,11.53,,3.28,29.5,34.0,12.0
407,Sharrod Ford,PF,2005-06,,,,79.25,80.25,106.0,212.8,85.5,11.92,,3.2,28.5,37.0,9.0
408,Channing Frye,PF-C,2005-06,,,,81.5,82.5,110.5,243.6,86.5,11.6,,3.38,27.5,31.0,19.0
409,Deng Gai,PF-C,2005-06,,,,79.75,81.25,110.5,214.0,88.5,12.51,,3.27,31.5,35.5,11.0
410,Francisco Garcia,SF-SG,2005-06,,,,77.75,79.0,103.0,189.6,82.75,10.63,,3.33,27.5,31.5,5.0
411,John Gilchrist,PG,2005-06,,,,73.25,74.5,96.5,195.2,81.25,11.48,,3.15,30.5,36.5,12.0
412,Marcin Gortat,PF-C,2005-06,,,,83.0,84.0,110.0,225.2,87.5,11.48,,3.33,29.5,36.0,18.0
413,Joey Graham,SF,2005-06,,,,77.25,78.5,104.0,216.6,80.0,10.62,,3.05,30.0,36.0,26.0
414,Danny Granger,,2005-06,,,,79.5,80.5,103.0,225.4,85.5,10.84,,3.34,31.0,34.0,10.0
415,Gerald Green,SF,2005-06,,,,78.0,79.25,104.0,192.0,81.75,11.2,,3.21,31.5,39.0,7.0
416,Charles Hayes,SF-PF,2005-06,,,,77.5,78.75,104.5,232.4,82.0,10.7,,3.34,30.0,33.0,20.0
417,Luther Head,PG-SG,2005-06,,,,74.0,75.0,98.5,178.8,77.25,11.12,,3.21,31.5,38.5,14.0
418,Julius Hodge,SG-SF,2005-06,,,,78.0,79.0,107.5,202.2,84.5,10.89,,3.18,24.5,29.0,14.0
419,Jared Homan,C-PF,2005-06,,,,79.75,80.75,104.5,248.2,85.25,,,,,,16.0
420,Ersan Ilyasova,SF,2005-06,,,,79.75,81.0,109.5,208.8,85.25,11.59,,3.56,22.0,30.0,2.0
421,Jarrett Jack,PG,2005-06,,,,74.5,75.5,100.0,197.6,79.5,10.87,,3.24,26.0,28.5,5.0
422,Dwayne Jones,C-PF,2005-06,,,,80.5,82.0,108.5,242.2,86.75,11.87,,3.25,28.0,31.5,15.0
423,Mindaugas Katelynas,SF-PF,2005-06,,,,79.5,80.5,105.5,217.0,83.0,11.6,,3.38,31.5,35.0,7.0
424,Jason Klotz,C-PF,2005-06,,,,80.5,81.75,107.5,249.4,82.0,13.13,,3.68,21.5,27.0,12.0
425,Carl Krauser,PG-SG,2005-06,,,,71.5,72.75,98.5,193.4,77.5,11.62,,3.38,26.0,31.0,8.0
426,Keith Langford,SG-SF,2005-06,,,,74.25,75.5,101.0,203.2,81.0,11.38,,3.23,32.0,29.5,8.0
427,David Lee,PF,2005-06,,,,79.75,81.0,106.5,229.5,84.0,10.8,,3.19,30.5,32.5,14.0
428,David Lucas,PF,2005-06,,,,78.5,79.75,103.5,233.4,84.0,,,,,,17.0
429,John Lucas III,PG,2005-06,,,,69.25,70.5,92.0,154.4,72.0,10.44,,3.14,29.0,34.0,4.0
430,Rawle Marshall,SG-SF,2005-06,,,,76.5,77.75,104.0,186.6,85.0,11.64,,3.21,30.5,37.0,7.0
431,Jason Maxiell,PF,2005-06,,,,77.0,78.25,107.0,257.6,87.25,,,,,,
432,Sean May,PF,2005-06,,,,79.0,80.5,105.0,258.8,85.25,11.04,,3.29,30.0,33.0,12.0
433,Rashad McCants,SG,2005-06,,,,74.75,76.0,103.5,201.0,82.75,10.39,,3.11,32.5,34.5,15.0
434,Ivan McFarlin,PF,2005-06,,,,77.5,78.75,105.5,228.6,81.0,10.64,,3.27,26.5,32.0,10.0
435,Juan Mendez,PF-SF,2005-06,,,,77.25,78.75,106.5,231.4,84.0,11.7,,3.24,29.0,33.0,14.0
436,Aaron Miles,PG,2005-06,,,,72.0,73.5,94.0,174.6,75.5,10.69,,3.22,32.0,37.5,7.0
437,Ellis Myles,PF,2005-06,,,,78.0,79.25,105.5,255.2,81.75,12.8,,3.42,26.0,28.5,15.0
438,Larry O'Bannon,SG,2005-06,,,,75.0,76.25,99.5,196.0,78.0,11.44,,3.18,31.5,36.5,17.0
439,Drago Pasalic,SF-PF,2005-06,,,,81.5,83.0,108.5,238.8,83.75,12.12,,3.48,25.0,30.5,11.0
440,Chris Paul,PG,2005-06,,,,71.75,73.0,93.0,178.0,76.25,11.09,,3.22,32.0,38.0,10.0
441,Kevin Pittsnogle,PF,2005-06,,,,81.25,82.25,106.0,259.2,82.5,,,,,,
