,player,pos,year,bodyfat%,hand_len_in,hand_width_in,height_wo_shoes,height_w_shoes,standing_reach,weight_lbs,wingspan,lane_agility_s,shuttle_run_s,three_q_sprint_s,standing_vert_in,max_vert_in,max_bench_reps
52,Terrance Roberson,SF,2000-01,,,,77.5,,103.5,209.0,80.0,11.66,,,29.0,32.5,11.0
53,Julius Doc Robinson,PG,2000-01,,,,72.0,,95.5,184.0,75.75,12.54,,3.41,30.0,37.5,
54,Pepe Sanchez,PG,2000-01,,,,75.0,,96.0,194.0,75.5,11.62,,3.44,26.0,31.0,8.0
55,Matt Santangelo,PG,2000-01,,,,72.0,,94.0,177.0,75.0,10.66,,3.06,33.5,43.0,12.0
56,Alex Scales,SG-PG,2000-01,,,,74.25,,97.5,184.5,81.0,10.98,,3.21,38.5,42.5,10.0
57,Karim Shabazz,C,2000-01,,,,83.5,,111.5,224.0,87.0,12.72,,3.36,24.5,28.0,2.0
58,Nick Sheppard,PF-C,2000-01,,,,81.5,,107.5,273.0,83.0,12.14,,3.52,23.5,25.5,18.0
59,Mike Smith,SF,2000-01,,,,78.5,,103.0,198.0,80.5,11.32,,3.22,33.0,21.0,12.0
60,Jabari Smith,PF-C,2000-01,,,,81.75,,109.5,240.5,86.5,12.45,,3.43,24.5,30.0,15.0
61,Jarrett Stephens,PF,2000-01,,,,77.25,,103.0,258.0,81.25,11.98,,3.46,27.0,29.0,13.0
62,Bootsy Thornton,SG,2000-01,,,,75.5,,101.5,194.5,78.5,12.08,,3.33,26.5,31.0,7.0
63,Jaquay Walls,PG,2000-01,,,,73.25,,96.5,165.5,74.5,10.75,,3.23,28.5,35.5,
64,Jameel Watkins,PF-C,2000-01,,,,81.5,,110.0,244.5,90.0,12.38,,3.45,28.0,30.5,11.0
65,Adam Allenspach,C,2001-02,12.4,,,83.5,,107.0,259.0,84.5,11.9,,3.4,28.5,31.0,16.0
66,Gilbert Arenas,SG,2001-02,5.3,,,74.25,,99.5,199.0,81.5,,,3.25,31.5,36.0,12.0
67,Brandon Armstrong,SG,2001-02,9.3,,,75.5,,99.5,188.0,81.5,10.91,,3.2,30.0,37.0,6.0
68,Shane Battier,SF-PF,2001-02,9.3,,,80.25,,105.0,229.0,82.5,10.95,,3.3,29.5,33.0,12.0
69,Cookie Belcher,SG-PG,2001-02,5.3,,,75.0,,99.0,206.0,80.5,11.26,,2.91,35.0,41.5,7.0
70,Charlie Bell,PG,2001-02,6.7,,,74.5,,97.5,200.0,79.5,10.59,,3.12,31.5,38.0,15.0
71,Ruben Boumtje-Boumtje,C,2001-02,6.0,,,83.5,,111.0,245.0,88.0,11.84,,3.33,26.5,31.0,6.0
72,Calvin Bowman,PF,2001-02,8.6,,,80.75,,104.0,214.0,83.5,11.96,,3.21,28.5,34.5,7.0
73,Michael Bradley,PF,2001-02,9.3,,,81.5,,107.0,227.0,85.5,11.11,,3.35,27.0,30.0,13.0
74,Jamison Brewer,PG,2001-02,6.7,,,74.5,,102.5,178.0,80.75,9.65,,3.15,26.0,32.5,12.0
75,Kwame Brown,PF-C,2001-02,8.9,,,82.0,,108.0,243.0,85.0,11.59,,3.45,30.0,33.0,17.0
76,SirValiant Brown,PG,2001-02,6.7,,,71.0,,92.5,176.0,76.0,11.23,,3.0,31.0,39.5,10.0
77,Damone Brown,SF,2001-02,6.7,,,80.25,,104.5,202.0,83.75,11.81,,3.27,32.0,37.0,6.0
78,Ryan Carroll,SF-SG,2001-02,8.0,,,76.0,,99.0,202.0,80.25,11.0,,3.1,34.5,39.0,14.0
79,Tyson Chandler,SF-PF,2001-02,6.7,,,83.5,,110.0,224.0,87.0,12.13,,3.36,31.0,33.5,2.0
80,Eric Chenowith,C,2001-02,12.9,,,85.0,,111.0,264.0,88.0,12.5,,3.59,23.5,27.5,6.0
81,Sam Clancy,PF,2001-02,8.0,,,78.25,,107.0,242.0,86.75,11.47,,3.13,31.0,34.0,15.0
82,Gyasi Cline-Heard,PF,2001-02,8.0,,,78.25,,103.0,231.0,83.5,11.4,,3.23,31.5,34.5,11.0
83,Jason Collins,PF-C,2001-02,12.9,,,82.25,,110.0,251.0,88.5,12.1,,3.54,25.5,28.5,8.0
84,Jarron Collins,C-PF,2001-02,15.2,,,81.25,,104.0,252.0,87.0,11.65,,3.6,23.0,29.0,10.0
85,Omar Cook,PG,2001-02,5.5,,,71.5,,92.0,189.0,77.5,10.77,,3.2,31.0,35.5,9.0
86,Eddy Curry,C,2001-02,16.5,,,82.5,,111.0,301.0,90.5,12.25,,3.53,28.0,31.0,16.0
87,Tate Decker,SF,2001-02,13.6,,,81.25,,107.0,218.0,83.75,12.19,,3.47,25.5,28.5,13.0
88,DeSagana Diop,C,2001-02,21.0,,,82.0,,113.0,314.0,90.5,12.37,,3.56,21.5,25.5,15.0
89,Robb Dryden,C,2001-02,8.0,,,85.0,,110.25,241.0,86.5,12.47,,3.46,27.0,30.0,8.0
90,Anthony Evans,PF,2001-02,12.9,,,78.0,,101.5,267.0,83.5,12.56,,3.31,31.5,33.0,18.0
91,Maurice Evans,SG,2001-02,4.0,,,76.25,,101.0,221.0,80.0,10.08,,3.12,34.5,37.5,22.0
