Season,Lg,Tm,Voting,Player Name,Position
1975-76,NBA,1st,(V),Pete Maravich,G
1975-76,NBA,2nd,(V),Dave Cowens,C
1975-76,NBA,2nd,(V),John Havlicek,F
1975-76,NBA,2nd,(V),Elvin Hayes,F
1975-76,NBA,2nd,(V),Phil Smith,G
1975-76,NBA,2nd,(V),Randy Smith,G
1974-75,NBA,1st,(V),Bob McAdoo,C
1974-75,NBA,1st,(V),Rick Barry,F
1974-75,NBA,1st,(V),Elvin Hayes,F
1974-75,NBA,1st,(V),Tiny Archibald,G
1974-75,NBA,1st,(V),Walt Frazier,G
1974-75,NBA,2nd,(V),Dave Cowens,C
1974-75,NBA,2nd,(V),John Havlicek,F
1974-75,NBA,2nd,(V),Spencer Haywood,F
1974-75,NBA,2nd,(V),Phil Chenier,G
1974-75,NBA,2nd,(V),Jo Jo White,G
1973-74,NBA,1st,(V),Kareem Abdul-Jabbar,C
1973-74,NBA,1st,(V),Rick Barry,F
1973-74,NBA,1st,(V),John Havlicek,F
1973-74,NBA,1st,(V),Walt Frazier,G
1973-74,NBA,1st,(V),Gail Goodrich,G
1973-74,NBA,2nd,(V),Bob McAdoo,C
1973-74,NBA,2nd,(V),Elvin Hayes,F
1973-74,NBA,2nd,(V),Spencer Haywood,F
1973-74,NBA,2nd,(V),Dave Bing,G
1973-74,NBA,2nd,(V),Norm Van Lier,G
1972-73,NBA,1st,(V),Kareem Abdul-Jabbar,C
1972-73,NBA,1st,(V),John Havlicek,F
1972-73,NBA,1st,(V),Spencer Haywood,F
1972-73,NBA,1st,(V),Tiny Archibald,G
1972-73,NBA,1st,(V),Jerry West,G
1972-73,NBA,2nd,(V),Dave Cowens,C
1972-73,NBA,2nd,(V),Rick Barry,F
1972-73,NBA,2nd,(V),Elvin Hayes,F
1972-73,NBA,2nd,(V),Walt Frazier,G
1972-73,NBA,2nd,(V),Pete Maravich,G
1971-72,NBA,1st,(V),Kareem Abdul-Jabbar,C
1971-72,NBA,1st,(V),John Havlicek,F
1971-72,NBA,1st,(V),Spencer Haywood,F
1971-72,NBA,1st,(V),Walt Frazier,G
1971-72,NBA,1st,(V),Jerry West,G
1971-72,NBA,2nd,(V),Wilt Chamberlain,C
1971-72,NBA,2nd,(V),Billy Cunningham,F
1971-72,NBA,2nd,(V),Bob Love,F
1971-72,NBA,2nd,(V),Tiny Archibald,G
1971-72,NBA,2nd,(V),Archie Clark,G
1970-71,NBA,1st,(V),Kareem Abdul-Jabbar,C
1970-71,NBA,1st,(V),Billy Cunningham,F
1970-71,NBA,1st,(V),John Havlicek,F
1970-71,NBA,1st,(V),Dave Bing,G
1970-71,NBA,1st,(V),Jerry West,G
1970-71,NBA,2nd,(V),Willis Reed,C
1970-71,NBA,2nd,(V),Gus Johnson,F
1970-71,NBA,2nd,(V),Bob Love,F
1970-71,NBA,2nd,(V),Walt Frazier,G
1970-71,NBA,2nd,(V),Oscar Robertson,G
1969-70,NBA,1st,(V),Willis Reed,C
1969-70,NBA,1st,(V),Billy Cunningham,F
1969-70,NBA,1st,(V),Connie Hawkins,F
1969-70,NBA,1st,(V),Walt Frazier,G
1969-70,NBA,1st,(V),Jerry West,G
1969-70,NBA,2nd,(V),Kareem Abdul-Jabbar,C
1969-70,NBA,2nd,(V),John Havlicek,F
1969-70,NBA,2nd,(V),Gus Johnson,F
1969-70,NBA,2nd,(V),Lou Hudson,G
1969-70,NBA,2nd,(V),Oscar Robertson,G
1968-69,NBA,1st,(V),Wes Unseld,C
1968-69,NBA,1st,(V),Elgin Baylor,F
1968-69,NBA,1st,(V),Billy Cunningham,F
1968-69,NBA,1st,(V),Earl Monroe,G
1968-69,NBA,1st,(V),Oscar Robertson,G
1968-69,NBA,2nd,(V),Willis Reed,C
1968-69,NBA,2nd,(V),Dave DeBusschere,F
1968-69,NBA,2nd,(V),John Havlicek,F
1968-69,NBA,2nd,(V),Hal Greer,G
1968-69,NBA,2nd,(V),Jerry West,G
1967-68,NBA,1st,(V),Wilt Chamberlain,C
1967-68,NBA,1st,(V),Elgin Baylor,F
1967-68,NBA,1st,(V),Jerry Lucas,F
1967-68,NBA,1st,(V),Dave Bing,G
1967-68,NBA,1st,(V),Oscar Robertson,G
1967-68,NBA,2nd,(V),Bill Russell,C
1967-68,NBA,2nd,(V),John Havlicek,F
1967-68,NBA,2nd,(V),Willis Reed,F
1967-68,NBA,2nd,(V),Hal Greer,G
1967-68,NBA,2nd,(V),Jerry West,G
1966-67,NBA,1st,(V),Wilt Chamberlain,C
1966-67,NBA,1st,(V),Rick Barry,F
1966-67,NBA,1st,(V),Elgin Baylor,F
1966-67,NBA,1st,(V),Oscar Robertson,G
1966-67,NBA,1st,(V),Jerry West,G
1966-67,NBA,2nd,(V),Bill Russell,C
1966-67,NBA,2nd,(V),Jerry Lucas,F
1966-67,NBA,2nd,(V),Willis Reed,F
1966-67,NBA,2nd,(V),Hal Greer,G
1966-67,NBA,2nd,(V),Sam Jones,G
