,Season,Team,W,G,L,W%,FG%,2P%,3P%,FT%,TS%,eFG%,MP/G,FG/G,FGA/G,2P/G,2PA/G,3P/G,3PA/G,FT/G,FTA/G,ORB/G,DRB/G,TRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G
27,1984,BOS,63,82,19,0.768,0.508,0.515,0.356,0.806,0.564,51.549,240.3048780487805,45.3780487804878,89.32926829268293,44.03658536585366,85.5609756097561,1.3414634146341464,3.768292682926829,22.682926829268293,28.134146341463413,13.609756097560975,32.073170731707314,45.68292682926829,27.890243902439025,7.865853658536586,5.048780487804878,16.24390243902439,21.71951219512195,114.78048780487805
28,1981,BOS,63,82,19,0.768,0.499,0.505,0.266,0.74,0.545,50.198,241.21951219512195,44.59756097560975,89.4390243902439,44.0,87.1951219512195,0.5975609756097561,2.2439024390243905,22.158536585365855,29.963414634146343,15.28048780487805,30.353658536585368,45.63414634146341,25.926829268292682,7.951219512195122,6.926829268292683,17.70731707317073,24.5609756097561,111.95121951219512
29,2013,SAS,62,82,20,0.756,0.486,0.517,0.397,0.785,0.571,53.697,240.91463414634146,40.5609756097561,83.46341463414635,32.048780487804876,62.03658536585366,8.512195121951219,21.426829268292682,15.71951219512195,20.024390243902438,9.292682926829269,33.97560975609756,43.26829268292683,25.170731707317074,7.365853658536586,5.121951219512195,14.390243902439025,18.23170731707317,105.35365853658537
30,2010,CHI,62,82,20,0.756,0.462,0.489,0.361,0.743,0.541,50.061,241.82926829268294,37.09756097560975,80.32926829268293,30.865853658536587,63.073170731707314,6.2317073170731705,17.25609756097561,18.195121951219512,24.48780487804878,11.792682926829269,32.36585365853659,44.15853658536585,22.28048780487805,7.219512195121951,5.7073170731707314,14.158536585365853,19.98780487804878,98.6219512195122
31,2008,BOS,62,82,20,0.756,0.486,0.51,0.397,0.765,0.571,52.803,242.4390243902439,37.5,77.23170731707317,30.9390243902439,60.707317073170735,6.560975609756097,16.524390243902438,19.353658536585368,25.304878048780488,10.597560975609756,31.536585365853657,42.13414634146341,22.70731707317073,7.573170731707317,4.719512195121951,15.609756097560975,23.134146341463413,100.91463414634147
32,2004,PHO,62,82,20,0.756,0.477,0.512,0.393,0.748,0.571,53.42,241.21951219512195,40.86585365853659,85.58536585365853,31.158536585365855,60.8780487804878,9.707317073170731,24.70731707317073,18.975609756097562,25.365853658536587,11.792682926829269,32.34146341463415,44.13414634146341,23.5,6.975609756097561,5.524390243902439,13.71951219512195,19.0609756097561,110.41463414634147
33,1997,CHI,62,82,20,0.756,0.451,0.471,0.323,0.743,0.516,47.339,242.1341463414634,37.36585365853659,82.9390243902439,33.573170731707314,71.20731707317073,3.792682926829268,11.731707317073171,18.195121951219512,24.5,15.158536585365853,29.73170731707317,44.890243902439025,23.804878048780488,8.487804878048781,4.304878048780488,14.365853658536585,20.621951219512194,96.71951219512195
34,1997,UTA,62,82,20,0.756,0.49,0.504,0.372,0.773,0.569,50.998,241.21951219512195,36.5,74.54878048780488,33.46341463414634,66.3780487804878,3.0365853658536586,8.170731707317072,24.926829268292682,32.24390243902439,11.731707317073171,29.329268292682926,41.0609756097561,25.24390243902439,7.902439024390244,5.024390243902439,15.365853658536585,23.914634146341463,100.96341463414635
35,1994,SAS,62,82,20,0.756,0.484,0.507,0.375,0.738,0.562,51.638,242.1341463414634,39.46341463414634,81.54878048780488,34.170731707317074,67.42682926829268,5.2926829268292686,14.121951219512194,22.390243902439025,30.329268292682926,12.548780487804878,32.451219512195124,45.0,23.402439024390244,8.0,5.560975609756097,15.195121951219512,22.817073170731707,106.60975609756098
36,1992,PHO,62,82,20,0.756,0.493,0.516,0.363,0.753,0.566,52.065,240.609756097561,42.609756097560975,86.5,37.75609756097561,73.14634146341463,4.853658536585366,13.353658536585366,23.317073170731707,30.963414634146343,13.914634146341463,30.609756097560975,44.52439024390244,25.451219512195124,9.170731707317072,5.548780487804878,16.573170731707318,21.20731707317073,113.39024390243902
37,1987,LAL,62,82,20,0.756,0.505,0.52,0.297,0.789,0.566,51.526,241.52439024390245,43.609756097560975,86.3170731707317,41.8780487804878,80.48780487804878,1.7317073170731707,5.829268292682927,23.853658536585368,30.24390243902439,13.085365853658537,30.378048780487806,43.46341463414634,28.621951219512194,8.195121951219512,4.926829268292683,16.073170731707318,20.914634146341463,112.8048780487805
38,1985,LAL,62,82,20,0.756,0.522,0.533,0.337,0.778,0.575,53.153,241.82926829268294,46.75609756097561,89.54878048780488,45.073170731707314,84.5609756097561,1.6829268292682926,4.987804878048781,22.097560975609756,28.402439024390244,13.426829268292684,31.158536585365855,44.58536585365854,29.670731707317074,8.451219512195122,5.109756097560975,17.890243902439025,24.76829268292683,117.29268292682927
39,1984,LAL,62,82,20,0.756,0.545,0.555,0.305,0.763,0.589,55.101,240.91463414634146,48.19512195121951,88.46341463414635,47.09756097560975,84.86585365853658,1.0975609756097562,3.597560975609756,20.75609756097561,27.21951219512195,12.963414634146341,31.097560975609756,44.0609756097561,31.402439024390244,8.475609756097562,5.865853658536586,18.74390243902439,23.548780487804876,118.2439024390244
40,1983,BOS,62,82,20,0.756,0.5,0.508,0.24,0.792,0.554,50.359,243.35365853658536,44.09756097560975,88.23170731707317,43.426829268292686,85.4390243902439,0.6707317073170732,2.792682926829268,23.25609756097561,29.353658536585368,14.134146341463415,30.951219512195124,45.08536585365854,25.878048780487806,8.207317073170731,5.2439024390243905,17.317073170731707,23.76829268292683,112.1219512195122
41,1980,BOS,62,82,20,0.756,0.504,0.513,0.27,0.752,0.553,50.902,241.21951219512195,43.670731707317074,86.57317073170732,42.8780487804878,83.63414634146342,0.7926829268292683,2.9390243902439024,21.71951219512195,28.890243902439025,14.085365853658537,29.5609756097561,43.646341463414636,26.853658536585368,8.329268292682928,7.2439024390243905,19.23170731707317,24.26829268292683,109.85365853658537
42,1980,PHI,62,82,20,0.756,0.514,0.518,0.226,0.768,0.562,51.541,242.1341463414634,44.34146341463415,86.2560975609756,44.109756097560975,85.23170731707317,0.23170731707317074,1.024390243902439,22.74390243902439,29.597560975609756,13.304878048780488,31.926829268292682,45.23170731707317,28.890243902439025,10.451219512195122,7.2073170731707314,20.75609756097561,25.134146341463413,111.65853658536585
43,2016,SAS,61,82,21,0.744,0.469,0.5,0.391,0.797,0.564,52.426,241.52439024390245,39.292682926829265,83.70731707317073,30.109756097560975,60.207317073170735,9.182926829268293,23.5,17.5609756097561,22.024390243902438,10.012195121951219,33.86585365853659,43.8780487804878,23.829268292682926,7.987804878048781,5.902439024390244,13.426829268292684,18.26829268292683,105.32926829268293
44,2010,SAS,61,82,21,0.744,0.475,0.503,0.397,0.767,0.567,52.663,241.21951219512195,38.390243902439025,80.82926829268293,30.036585365853657,59.76829268292683,8.353658536585366,21.0609756097561,18.548780487804876,24.195121951219512,10.109756097560975,31.74390243902439,41.853658536585364,22.390243902439025,7.341463414634147,4.536585365853658,13.426829268292684,18.975609756097562,103.6829268292683
