player,pos,lane_agility_s,shuttle_run_s,three_q_sprint_s,standing_vert_in,max_vert_in,max_bench_reps,year
Jarron Collins,C-PF,11.65,-,3.60,23.0,29.0,10,2001-02
Omar Cook,PG,10.77,-,3.20,31.0,35.5,9,2001-02
Eddy Curry,C,12.25,-,3.53,28.0,31.0,16,2001-02
Tate Decker,SF,12.19,-,3.47,25.5,28.5,13,2001-02
DeSagana Diop,C,12.37,-,3.56,21.5,25.5,15,2001-02
Robb Dryden,C,12.47,-,3.46,27.0,30.0,8,2001-02
Anthony Evans,PF,12.56,-,3.31,31.5,33.0,18,2001-02
Maurice Evans,SG,10.08,-,3.12,34.5,37.5,22,2001-02
Benjamin Eze,C-PF,13.05,-,3.36,29.0,32.0,14,2001-02
Kimani Ffriend,C-PF,11.46,-,3.09,32.0,33.0,9,2001-02
Alton Ford,PF,11.70,-,3.16,34.5,36.5,21,2001-02
Joseph Forte,SG,11.51,-,3.19,26.5,33.0,10,2001-02
Jason Gardner,PG,10.88,-,2.92,34.5,40.0,9,2001-02
Jerry Green,PG-SG,11.70,-,3.17,28.5,35.0,13,2001-02
Kenny Gregory,SF,11.33,-,3.10,39.5,45.5,10,2001-02
Eddie Griffin,PF-SF,11.77,-,3.21,26.5,33.0,3,2001-02
Trenton Hassell,SG-SF,11.57,-,3.29,35.5,37.5,12,2001-02
Kirk Haston,PF-SF,12.25,-,3.35,27.0,31.5,11,2001-02
Charles Hathaway,C,-,-,-,-,-,-,2001-02
Brendan Haywood,C,12.87,-,3.50,27.0,28.5,17,2001-02
Michael Hicks,SG,11.38,-,3.19,33.0,40.5,13,2001-02
Steven Hunter,C-PF,11.99,-,3.15,30.5,38.5,11,2001-02
Andre Hutson,PF,11.25,-,3.30,29.0,32.5,17,2001-02
Nate James,SF,11.42,-,3.31,26.0,31.0,23,2001-02
Richard Jefferson,SF,11.19,-,3.15,33.0,38.5,14,2001-02
Horace Jenkins,PG,10.97,-,3.10,34.5,41.0,2,2001-02
Darrell Johns,C,12.41,-,3.59,23.5,30.0,18,2001-02
Ken Johnson,C,11.27,-,3.12,32.5,35.0,13,2001-02
Joe Johnson,SF-SG,12.05,-,3.40,32.5,36.5,12,2001-02
Darren Kelly,SG-PG,11.38,-,3.21,30.5,34.5,1,2001-02
Sean Lampley,SF,11.06,-,3.12,36.0,40.0,12,2001-02
Zach Marbury,PG-SG,11.53,-,3.10,33.0,36.5,-,2001-02
Mike Mardesich,C-PF,11.65,-,3.45,24.0,30.0,8,2001-02
DeMarcus Minor,SG,10.57,-,3.15,29.0,41.0,9,2001-02
Jamario Moon,SF,11.64,-,3.08,33.0,43.0,-,2001-02
Troy Murphy,PF,11.22,-,3.43,28.5,34.5,11,2001-02
Troy Ostler,PF-SF,13.42,-,3.50,26.5,29.5,2,2001-02
Lazaros Papadopoulos,C-PF,12.00,-,3.70,23.0,26.0,4,2001-02
Rashad Phillips,PG,11.93,-,3.27,27.0,32.0,5,2001-02
Demetrius Porter,PG,11.50,-,3.34,26.0,31.0,5,2001-02
Martin Rancik,PF-SF,10.77,-,3.19,32.0,37.0,14,2001-02
Jason Richardson,SF-SG,11.75,-,3.12,32.5,39.5,15,2001-02
Norman Richardson,SG,10.97,-,3.15,30.5,35.5,2,2001-02
Jeryl Sasser,PG-SG,11.47,-,3.22,29.0,34.0,1,2001-02
Kenny Satterfield,PG,12.05,-,3.20,28.5,33.0,3,2001-02
Brian Scalabrine,PF-SF,11.75,-,3.47,27.0,30.5,14,2001-02
Lee Scruggs,PF-SF,13.28,-,3.55,23.5,29.5,-,2001-02
Bobby Simmons,SF,11.69,-,3.41,27.5,34.0,12,2001-02
Will Solomon,PG-SG,11.30,-,3.22,28.5,35.0,4,2001-02
Greg Stevenson,SF,11.29,-,3.23,30.0,35.5,15,2001-02
Damone Thornton,PF,11.17,-,3.20,33.5,37.5,19,2001-02
Jamaal Tinsley,PG,11.96,-,3.20,28.0,37.5,1,2001-02
Tory Walker,SF,11.95,-,3.25,28.0,33.0,7,2001-02
Souleymane Wane,C,12.02,-,3.46,29.0,30.5,9,2001-02
Earl Watson,PG,10.97,-,3.19,32.5,37.5,4,2001-02
Rodney White,SF,12.07,-,3.47,27.5,33.0,16,2001-02
Loren Woods,C-PF,11.83,-,3.48,24.5,28.0,10,2001-02
Michael Wright,PF,11.37,-,3.21,27.5,33.5,18,2001-02
Brent Wright,PF-SF,12.25,-,3.30,23.0,29.0,19,2001-02
Nene,PF,10.73,-,3.19,30.0,34.0,16,2002-03
Robert Archibald,PF-C,11.34,-,3.33,24.0,27.5,10,2002-03
Maurice Baker,PG,12.19,-,3.29,29.5,33.0,2,2002-03
Matt Barnes,SF,10.68,-,3.28,35.5,40.5,11,2002-03
Lubos Barton,SF-SG,11.20,-,3.31,25.5,31.5,14,2002-03
Lonny Baxter,PF-C,11.77,-,3.21,28.0,32.5,14,2002-03
Lee Benson,SF-PF,11.44,-,3.29,27.5,32.5,14,2002-03
Carlos Boozer,PF,10.77,-,3.31,26.5,28.5,13,2002-03
Curtis Borchardt,C,12.56,-,3.63,24.0,27.0,7,2002-03
J.R. Bremer,SG-PG,10.93,-,3.10,30.0,35.5,24,2002-03
Brian Brown,PG-SG,11.43,-,3.29,26.0,33.0,8,2002-03
Sylvere Bryan,PF,12.03,-,3.20,28.5,29.5,13,2002-03
Chris Burgess,C,11.58,-,3.37,24.5,31.0,24,2002-03
Caron Butler,SF-SG,12.15,-,3.33,27.0,31.0,2,2002-03
Rasual Butler,SF,11.54,-,3.29,31.5,37.5,10,2002-03
Mire Chatman,PG-SG,11.12,-,3.18,29.0,33.0,1,2002-03
Chris Christoffersen,C,12.55,-,3.39,28.0,31.0,13,2002-03
Lenny Cooke,SG-SF,-,-,-,-,-,-,2002-03
Craig Dawson,SG-SF,12.06,-,3.25,26.0,30.0,-,2002-03
Mike Dunleavy,SF,11.55,-,3.30,24.5,29.0,11,2002-03
