,,,,,,,,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Shooting,Team Shooting,Team Shooting,Team Shooting,Team Shooting,Team Shooting
Rk,Season,Team,W,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%
302,2003-04,MEM,50,82,50,32,.610,19880,2963,6657,2516,5343,447,1314,1557,2143,1047,2381,3428,1915,795,565,1226,1903,7930,.445,.471,.340,.727,.522,47.867
303,2002-03,POR,50,82,50,32,.610,19855,2987,6491,2608,5341,379,1150,1450,1947,992,2378,3370,1860,725,316,1248,1634,7803,.460,.488,.330,.745,.531,48.937
304,2002-03,LAL,50,82,50,32,.610,19930,3091,6856,2605,5489,486,1367,1562,2129,1078,2554,3632,1909,639,470,1192,1874,8230,.451,.475,.356,.734,.528,48.629
305,2002-03,DET,50,82,50,32,.610,19905,2700,6277,2167,4789,533,1488,1559,2021,883,2445,3328,1620,556,468,1104,1748,7492,.430,.452,.358,.771,.523,47.260
306,2001-02,MIN,50,82,50,32,.610,19805,3175,6887,2779,5840,396,1047,1399,1754,1059,2562,3621,1993,524,427,1097,1739,8145,.461,.476,.378,.798,.532,48.976
307,2001-02,DET,50,82,50,32,.610,19680,2845,6300,2278,4791,567,1509,1478,1954,810,2366,3176,1765,648,565,1193,1695,7735,.452,.475,.376,.756,.540,49.659
308,2000-01,POR,50,82,50,32,.610,19780,3004,6417,2635,5360,369,1057,1447,1899,960,2481,3441,1963,672,419,1257,1745,7824,.468,.492,.349,.762,.539,49.688
309,2000-01,MIA,50,82,50,32,.610,19880,2694,6258,2216,4874,478,1384,1423,1874,813,2435,3248,1630,633,304,1122,1726,7289,.430,.455,.345,.759,.515,46.868
310,1999-00,NYK,50,82,50,32,.610,19830,2897,6374,2546,5437,351,937,1410,1805,802,2521,3323,1588,515,349,1201,1983,7555,.455,.468,.375,.781,.527,48.204
311,1999-00,MIN,50,82,50,32,.610,19905,3226,6910,2978,6194,248,716,1379,1769,1016,2471,3487,2205,622,444,1139,1913,8079,.467,.481,.346,.780,.525,48.480
312,1997-98,ATL,50,82,50,32,.610,19880,2887,6352,2550,5336,337,1016,1749,2314,1106,2417,3523,1569,653,491,1214,1671,7860,.455,.478,.332,.756,.533,48.103
313,1994-95,CHH,50,82,50,32,.610,19805,3051,6438,2491,5029,560,1409,1587,2042,832,2395,3227,2072,620,399,1224,1685,8249,.474,.495,.397,.777,.562,51.740
314,1993-94,GSW,50,82,50,32,.610,19780,3512,7145,3221,6286,291,859,1529,2304,1183,2396,3579,2198,804,511,1433,1789,8844,.492,.512,.339,.664,.542,51.190
315,1993-94,ORL,50,82,50,32,.610,19730,3341,6883,2947,5746,394,1137,1590,2346,1177,2356,3533,2070,683,456,1327,1713,8666,.485,.513,.347,.678,.547,51.402
316,1990-91,DET,50,82,50,32,.610,19805,3194,6875,3063,6435,131,440,1686,2211,1206,2452,3658,1825,487,367,1181,1869,8205,.465,.476,.298,.763,.523,47.411
317,1987-88,ATL,50,82,50,32,.610,19780,3443,7102,3358,6820,85,282,1873,2441,1228,2379,3607,2062,635,537,1225,2050,8844,.485,.492,.301,.767,.541,49.078
318,1987-88,CHI,50,82,50,32,.610,19855,3434,7015,3378,6772,56,243,1685,2221,1170,2459,3629,2149,712,475,1263,1849,8609,.490,.499,.230,.759,.539,49.351
319,1986-87,MIL,50,82,50,32,.610,19780,3457,7282,3272,6710,185,572,1953,2549,1119,2322,3441,2044,845,393,1260,2180,9052,.475,.488,.323,.766,.539,48.743
320,1985-86,ATL,50,82,50,32,.610,19805,3447,7029,3414,6863,33,166,1979,2704,1249,2405,3654,2025,736,434,1483,2170,8906,.490,.497,.199,.732,.542,49.274
321,1983-84,MIL,50,82,50,32,.610,19905,3432,6970,3373,6738,59,232,1743,2354,1135,2385,3520,2113,642,489,1415,2167,8666,.492,.501,.254,.740,.541,49.663
322,1980-81,NYK,50,82,50,32,.610,19830,3505,7255,3449,7019,56,236,1783,2386,1137,2205,3342,1976,861,314,1461,1917,8849,.483,.491,.237,.747,.533,48.697
323,1979-80,ATL,50,82,50,32,.610,19780,3261,7027,3248,6952,13,75,2038,2645,1369,2406,3775,1913,782,539,1495,2293,8573,.464,.467,.173,.771,.523,46.499
324,2023-24,PHO,49,82,49,33,.598,19780,3482,7063,2462,4392,1020,2671,1548,1915,831,2783,3614,2218,610,492,1221,1475,9532,.493,.561,.382,.808,.603,56.520
325,2023-24,NOP,49,82,49,33,.598,19705,3484,7165,2461,4492,1023,2673,1445,1873,852,2753,3605,2210,684,378,1067,1508,9436,.486,.548,.383,.771,.591,55.764
326,2023-24,MIL,49,82,49,33,.598,19805,3538,7258,2375,4136,1163,3122,1517,1960,772,2850,3622,2176,558,413,1059,1574,9756,.487,.574,.373,.774,.601,56.758
327,2021-22,UTA,49,82,49,33,.598,19730,3327,7067,2135,3759,1192,3308,1470,1916,884,2916,3800,1836,588,402,1149,1547,9316,.471,.568,.360,.767,.589,55.512
328,2020-21,PHI,49,72,49,23,.681,17430,2981,6257,2170,4088,811,2169,1409,1836,722,2522,3244,1706,655,447,1040,1456,8182,.476,.531,.374,.767,.579,54.123
329,2019-20,LAC,49,72,49,23,.681,17380,2992,6425,2097,4015,895,2410,1498,1894,767,2664,3431,1708,511,338,1051,1594,8377,.466,.522,.371,.791,.577,53.533
330,2018-19,OKC,49,82,49,33,.598,19855,3497,7706,2565,5029,932,2677,1461,2049,1031,2911,3942,1917,766,425,1145,1839,9387,.454,.510,.348,.713,.545,51.427
331,2018-19,BOS,49,82,49,33,.598,19780,3451,7423,2419,4594,1032,2829,1282,1598,804,2849,3653,2155,706,435,1019,1670,9216,.465,.527,.365,.802,.567,53.442
332,2017-18,POR,49,82,49,33,.598,19755,3222,7132,2377,4824,845,2308,1372,1715,835,2893,3728,1599,573,423,1109,1599,8661,.452,.493,.366,.800,.549,51.101
333,2016-17,WAS,49,82,49,33,.598,19855,3388,7137,2632,5107,756,2030,1421,1812,843,2671,3514,1956,693,336,1162,1745,8953,.475,.515,.372,.784,.564,52.767
334,2014-15,TOR,49,82,49,33,.598,19855,3108,6829,2382,4769,726,2060,1585,2014,881,2526,3407,1701,615,357,1057,1712,8527,.455,.499,.352,.787,.553,50.827
335,2013-14,DAL,49,82,49,33,.598,19830,3249,6858,2528,4981,721,1877,1378,1733,840,2514,3354,1935,704,356,1110,1636,8597,.474,.508,.384,.795,.564,52.632
336,2012-13,BRK,49,82,49,33,.598,19855,2942,6544,2314,4784,628,1760,1432,1958,1047,2460,3507,1668,599,391,1206,1500,7944,.450,.484,.357,.731,.536,49.756
337,2012-13,IND,49,81,49,32,.605,19590,2845,6525,2290,4926,555,1599,1429,1915,1043,2671,3714,1645,580,513,1227,1623,7674,.436,.465,.347,.746,.521,47.854
338,2008-09,NOH,49,82,49,33,.598,19755,2911,6366,2355,4840,556,1526,1479,1833,802,2453,3255,1609,593,338,1029,1665,7857,.457,.487,.364,.807,.548,50.094
339,2006-07,CHI,49,82,49,33,.598,19780,3046,6663,2566,5426,480,1237,1528,2083,984,2597,3581,1832,639,445,1310,1908,8100,.457,.473,.388,.734,.534,49.317
340,2005-06,NJN,49,82,49,33,.598,19780,2778,6317,2301,4870,477,1447,1658,2187,822,2539,3361,1884,558,278,1119,1903,7691,.440,.472,.330,.758,.528,47.752
341,2005-06,MEM,49,82,49,33,.598,19855,2746,6125,2156,4547,590,1578,1476,2077,834,2379,3213,1586,600,442,1134,1757,7558,.448,.474,.374,.711,.537,49.649
342,2004-05,DEN,49,82,49,33,.598,19755,3038,6615,2718,5675,320,940,1765,2313,967,2473,3440,1958,750,489,1224,1878,8161,.459,.479,.340,.763,.535,48.345
343,2002-03,NJN,49,82,49,33,.598,19755,2906,6585,2560,5544,346,1041,1662,2195,991,2528,3519,1887,717,374,1212,1772,7820,.441,.462,.332,.757,.518,46.758
344,2001-02,POR,49,82,49,33,.598,19830,3004,6671,2538,5353,466,1318,1451,1901,1085,2444,3529,1926,702,368,1172,1613,7925,.450,.474,.354,.763,.528,48.523
345,2001-02,BOS,49,82,49,33,.598,19830,2852,6731,2153,4785,699,1946,1498,1960,891,2570,3461,1722,793,292,1114,1776,7901,.424,.450,.359,.764,.520,47.564
346,1999-00,PHI,49,82,49,33,.598,19830,2993,6776,2785,6133,208,643,1577,2226,1147,2468,3615,1817,791,386,1284,1939,7771,.442,.454,.323,.708,.501,45.705
347,1999-00,CHH,49,82,49,33,.598,19780,2935,6533,2596,5532,339,1001,1863,2458,884,2635,3519,2023,732,480,1206,1670,8072,.449,.469,.339,.758,.530,47.520
348,1996-97,POR,49,82,49,33,.598,19855,3000,6465,2499,5064,501,1401,1613,2261,1058,2494,3552,1710,640,435,1357,1928,8114,.464,.493,.358,.713,.544,50.278
349,1992-93,SAS,49,82,49,33,.598,19855,3311,6762,3075,6070,236,692,1794,2346,919,2542,3461,2012,582,514,1227,1844,8652,.490,.507,.341,.765,.555,50.710
350,1988-89,MIL,49,82,49,33,.598,19755,3399,7167,3220,6600,179,567,1955,2382,1133,2272,3405,2071,821,323,1305,1953,8932,.474,.488,.316,.821,.544,48.674
351,1986-87,POR,49,82,49,33,.598,19805,3650,7249,3552,6910,98,339,2269,2928,1180,2413,3593,2359,767,387,1546,2082,9667,.504,.514,.289,.775,.566,51.028
352,1983-84,DET,49,82,49,33,.598,19905,3798,7910,3766,7769,32,141,1974,2547,1427,2434,3861,2256,697,417,1310,2177,9602,.480,.485,.227,.775,.532,48.217
353,1982-83,NJN,49,82,49,33,.598,19705,3510,7140,3480,6991,30,149,1622,2301,1266,2427,3693,2143,911,592,1873,2166,8672,.492,.498,.201,.705,.532,49.370
354,1979-80,MIL,49,82,49,33,.598,19805,3685,7553,3635,7398,50,155,1605,2102,1245,2396,3641,2277,778,510,1496,1937,9025,.488,.491,.323,.764,.532,49.120
355,2023-24,CLE,48,82,48,34,.585,19805,3425,7148,2317,4132,1108,3016,1278,1671,807,2742,3549,2299,605,380,1112,1436,9236,.479,.561,.367,.765,.586,55.666
356,2022-23,SAC,48,82,48,34,.585,19830,3573,7232,2445,4172,1128,3060,1624,2055,782,2699,3481,2237,574,275,1106,1616,9898,.494,.586,.369,.790,.608,57.204
357,2021-22,DEN,48,82,48,34,.585,19805,3416,7079,2377,4135,1039,2944,1372,1725,752,2865,3617,2279,592,305,1189,1639,9243,.483,.575,.353,.795,.590,55.594
358,2021-22,TOR,48,82,48,34,.585,19855,3332,7489,2353,4681,979,2808,1327,1749,1095,2622,3717,1809,738,376,1021,1607,8970,.445,.503,.349,.759,.543,51.028
359,2020-21,BRK,48,72,48,24,.667,17405,3106,6289,2086,3689,1020,2600,1305,1623,640,2559,3199,1929,484,379,975,1371,8537,.494,.565,.392,.804,.610,57.497
360,2019-20,BOS,48,72,48,24,.667,17430,2971,6448,2066,3961,905,2487,1336,1668,768,2549,3317,1655,595,406,995,1553,8183,.461,.522,.364,.801,.570,53.094
361,2018-19,SAS,48,82,48,34,.585,19805,3468,7248,2656,5177,812,2071,1408,1720,757,2910,3667,2013,501,386,992,1487,9156,.478,.513,.392,.819,.572,53.449
362,2018-19,LAC,48,82,48,34,.585,19830,3384,7178,2563,5060,821,2118,1853,2340,796,2936,3732,1970,561,385,1193,1913,9442,.471,.507,.388,.792,.575,52.863
363,2018-19,IND,48,82,48,34,.585,19705,3390,7135,2611,5054,779,2081,1298,1727,762,2766,3528,2128,713,404,1122,1594,8857,.475,.517,.374,.752,.561,52.971
364,2017-18,UTA,48,82,48,34,.585,19755,3139,6797,2252,4372,887,2425,1375,1766,740,2807,3547,1839,708,420,1205,1608,8540,.462,.515,.366,.779,.564,52.707
365,2017-18,OKC,48,82,48,34,.585,19830,3271,7221,2390,4730,881,2491,1421,1985,1024,2671,3695,1750,743,412,1147,1653,8844,.453,.505,.354,.716,.546,51.399
366,2017-18,NOP,48,82,48,34,.585,19955,3500,7241,2663,4929,837,2312,1324,1716,712,2924,3636,2195,657,485,1223,1570,9161,.483,.540,.362,.772,.573,54.115
367,2017-18,IND,48,82,48,34,.585,19755,3345,7083,2604,5073,741,2010,1225,1573,788,2684,3472,1819,721,340,1089,1544,8656,.472,.513,.369,.779,.557,52.457
368,2015-16,MIA,48,82,48,34,.585,19830,3150,6697,2652,5217,498,1480,1406,1889,807,2811,3618,1709,553,531,1155,1502,8204,.470,.508,.336,.744,.545,50.754
369,2015-16,CHO,48,82,48,34,.585,19855,3036,6922,2163,4512,873,2410,1534,1941,734,2869,3603,1778,595,438,1030,1487,8479,.439,.479,.362,.790,.545,50.166
370,2015-16,BOS,48,82,48,34,.585,19780,3216,7318,2499,5176,717,2142,1520,1929,950,2733,3683,1981,752,348,1127,1796,8669,.439,.483,.335,.788,.531,48.845
371,2015-16,ATL,48,82,48,34,.585,19830,3168,6923,2353,4597,815,2326,1282,1638,679,2772,3451,2100,747,486,1226,1570,8433,.458,.512,.350,.783,.552,51.647
372,2013-14,TOR,48,82,48,34,.585,19955,2992,6718,2279,4801,713,1917,1608,2055,935,2552,3487,1737,577,343,1159,1882,8305,.445,.475,.372,.782,.545,49.844
373,2013-14,PHO,48,82,48,34,.585,19755,3172,6845,2407,4790,765,2055,1520,2004,928,2601,3529,1563,688,374,1258,1798,8629,.463,.503,.372,.758,.558,51.928
374,2013-14,CHI,48,82,48,34,.585,19930,2843,6577,2335,5118,508,1459,1486,1908,937,2683,3620,1860,594,424,1223,1565,7680,.432,.456,.348,.779,.518,47.088
375,2010-11,POR,48,82,48,34,.585,19805,2951,6599,2433,5096,518,1503,1476,1835,996,2230,3226,1736,660,358,1070,1585,7896,.447,.477,.345,.804,.533,48.644
376,2008-09,UTA,48,82,48,34,.585,19880,3143,6623,2751,5501,392,1122,1814,2352,940,2423,3363,2024,719,374,1210,1830,8492,.475,.500,.349,.771,.554,50.415
377,2007-08,GSW,48,82,48,34,.585,19780,3403,7406,2642,5221,761,2185,1538,2044,1045,2496,3541,1833,744,377,1082,1875,9105,.459,.506,.348,.752,.548,51.087
378,2002-03,PHI,48,82,48,34,.585,19855,2975,6640,2730,5853,245,787,1746,2253,1042,2415,3457,1771,844,284,1212,1804,7941,.448,.466,.311,.775,.520,46.649
379,2002-03,IND,48,82,48,34,.585,19905,2911,6608,2532,5489,379,1119,1739,2271,1004,2622,3626,1910,696,443,1210,1811,7940,.441,.461,.339,.766,.522,46.920
380,2000-01,NYK,48,82,48,34,.585,19905,2755,6198,2364,5083,391,1115,1374,1727,773,2524,3297,1520,545,346,1189,1863,7275,.444,.465,.351,.796,.523,47.604
381,1995-96,HOU,48,82,48,34,.585,19805,3078,6638,2441,4877,637,1761,1611,2106,919,2455,3374,1982,645,476,1245,1753,8404,.464,.501,.362,.765,.555,51.168
382,1994-95,LAL,48,82,48,34,.585,19905,3284,7088,2759,5596,525,1492,1523,2072,1126,2316,3442,2078,750,563,1243,1933,8616,.463,.493,.352,.735,.539,50.035
383,1992-93,BOS,48,82,48,34,.585,19780,3453,7093,3343,6710,110,383,1486,1912,1076,2436,3512,1999,647,458,1174,1862,8502,.487,.498,.287,.777,.536,49.457
384,1991-92,DET,48,82,48,34,.585,19780,3191,6867,3026,6341,165,526,1566,2108,1210,2421,3631,1899,546,357,1212,1646,8113,.465,.477,.314,.743,.520,47.670
385,1990-91,MIL,48,82,48,34,.585,19855,3337,6948,3080,6195,257,753,1796,2241,1079,2162,3241,2075,894,330,1321,2033,8727,.480,.497,.341,.801,.550,49.878
386,1984-85,HOU,48,82,48,34,.585,19830,3748,7440,3707,7254,41,186,1581,2261,1325,2395,3720,2239,683,597,1605,2033,9118,.504,.511,.220,.699,.540,50.652
387,1983-84,POR,48,82,48,34,.585,19805,3632,7189,3607,7060,25,129,1988,2637,1251,2194,3445,2082,814,397,1483,2134,9277,.505,.511,.194,.754,.556,50.696
388,1982-83,SEA,48,82,48,34,.585,19805,3597,7277,3568,7139,29,138,1796,2459,1152,2569,3721,2278,677,437,1533,1969,9019,.494,.500,.210,.730,.539,49.629
389,1981-82,SAS,48,82,48,34,.585,19755,3698,7613,3634,7361,64,252,1812,2335,1253,2537,3790,2257,600,555,1293,2217,9272,.486,.494,.254,.776,.537,48.995
390,2023-24,LAL,47,82,47,35,.573,19855,3580,7177,2611,4605,969,2572,1550,1983,676,2859,3535,2340,605,453,1146,1283,9679,.499,.567,.377,.782,.601,56.632
391,2023-24,PHI,47,82,47,35,.573,19780,3404,7331,2412,4598,992,2733,1597,1934,906,2616,3522,2041,694,492,984,1668,9397,.464,.525,.363,.826,.574,53.199
392,2023-24,IND,47,82,47,35,.573,19705,3855,7599,2773,4708,1082,2891,1318,1685,827,2578,3405,2522,631,481,1059,1756,10110,.507,.589,.374,.782,.606,57.850
393,2023-24,ORL,47,82,47,35,.573,19780,3318,6964,2415,4396,903,2568,1519,2002,861,2608,3469,2023,669,423,1206,1618,9058,.476,.549,.352,.759,.577,54.128
394,2022-23,NYK,47,82,47,35,.573,19955,3444,7328,2407,4398,1037,2930,1589,2087,1031,2790,3821,1880,527,340,1065,1666,9514,.470,.547,.354,.761,.577,54.073
395,2020-21,DEN,47,72,47,25,.653,17480,3114,6422,2187,3960,927,2462,1129,1406,758,2442,3200,1933,582,323,972,1374,8284,.485,.552,.377,.803,.588,55.707
396,2020-21,LAC,47,72,47,25,.653,17280,3009,6242,1982,3744,1027,2498,1164,1387,678,2501,3179,1756,509,295,950,1383,8209,.482,.529,.411,.839,.599,56.432
397,2017-18,SAS,47,82,47,35,.573,19730,3202,6999,2506,5022,696,1977,1324,1715,849,2777,3626,1868,628,460,1078,1408,8424,.457,.499,.352,.772,.543,50.722
398,2017-18,MIN,47,82,47,35,.573,19805,3365,7063,2707,5218,658,1845,1592,1980,848,2593,3441,1861,689,345,1021,1495,8980,.476,.519,.357,.804,.566,52.301
399,2016-17,OKC,47,82,47,35,.573,19805,3237,7169,2545,5053,692,2116,1575,2113,1002,2821,3823,1721,648,408,1230,1715,8741,.452,.504,.327,.745,.540,49.979
400,2012-13,GSW,47,82,47,35,.573,19805,3130,6840,2472,5208,658,1632,1378,1744,885,2801,3686,1845,567,346,1236,1753,8296,.458,.475,.403,.790,.545,50.570
Rk,Season,Team,W,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%
401,2011-12,OKC,47,66,47,19,.712,15990,2462,5229,1990,3912,472,1317,1406,1744,726,2157,2883,1224,498,539,1079,1352,6802,.471,.509,.358,.806,.567,51.597
402,2009-10,MIA,47,82,47,35,.573,19880,2984,6518,2490,5092,494,1426,1452,1931,875,2553,3428,1548,605,457,1079,1710,7914,.458,.489,.346,.752,.537,49.570
403,2008-09,ATL,47,82,47,35,.573,19705,2956,6451,2359,4818,597,1633,1537,2085,870,2412,3282,1657,603,376,1048,1610,8046,.458,.490,.366,.737,.546,50.450
404,2006-07,TOR,47,82,47,35,.573,19755,3032,6547,2501,5083,531,1464,1562,1982,755,2480,3235,1822,581,321,1104,1672,8157,.463,.492,.363,.788,.550,50.367
405,2005-06,LAC,47,82,47,35,.573,19805,2993,6443,2703,5600,290,843,1694,2142,828,2704,3532,1708,534,503,1185,1872,7970,.465,.483,.344,.791,.540,48.704
406,2004-05,CHI,47,82,47,35,.573,19830,2849,6592,2338,5159,511,1433,1536,2048,1001,2591,3592,1743,576,369,1371,2028,7745,.432,.453,.357,.750,.517,47.095
407,2003-04,NJN,47,82,47,35,.573,19705,2813,6372,2436,5249,377,1123,1398,1856,862,2473,3335,2009,709,322,1209,1722,7401,.441,.464,.336,.753,.515,47.105
408,2002-03,UTA,47,82,47,35,.573,19780,2894,6189,2670,5548,224,641,1750,2349,1021,2381,3402,2103,708,467,1374,1837,7762,.468,.481,.349,.745,.537,48.570
409,2002-03,NOH,47,82,47,35,.573,19905,2914,6695,2510,5620,404,1075,1467,1910,1097,2475,3572,1807,656,394,1212,1769,7699,.435,.447,.376,.768,.511,46.542
410,2000-01,MIN,47,82,47,35,.573,19830,3148,6871,2826,5970,322,901,1364,1737,1002,2470,3472,2083,682,456,1136,1900,7982,.458,.473,.357,.785,.523,48.159
411,2000-01,TOR,47,82,47,35,.573,19955,3048,6972,2619,5808,429,1164,1482,1984,1118,2529,3647,2004,599,519,1080,1745,8007,.437,.451,.369,.747,.510,46.794
412,1997-98,CLE,47,82,47,35,.573,19830,2817,6207,2519,5406,298,801,1653,2187,955,2331,3286,1894,814,419,1418,1939,7585,.454,.466,.372,.756,.529,47.785
413,1995-96,CLE,47,82,47,35,.573,19830,2761,5998,2165,4416,596,1582,1355,1775,867,2055,2922,1818,674,340,1073,1685,7473,.460,.490,.377,.763,.551,51.000
414,1995-96,NYK,47,82,47,35,.573,19830,3003,6382,2518,5097,485,1285,1480,1954,829,2449,3278,1822,645,377,1272,1864,7971,.471,.494,.377,.757,.550,50.854
415,1994-95,HOU,47,82,47,35,.573,19730,3159,6579,2513,4822,646,1757,1527,2039,880,2440,3320,2060,721,514,1322,1714,8491,.480,.521,.368,.749,.568,52.926
416,1994-95,CHI,47,82,47,35,.573,19830,3191,6710,2748,5523,443,1187,1500,2065,1106,2294,3400,1970,797,352,1297,1962,8325,.476,.498,.373,.726,.546,50.857
417,1993-94,POR,47,82,47,35,.573,19755,3371,7427,3099,6657,272,770,1781,2396,1302,2460,3762,2070,744,409,1210,1827,8795,.454,.466,.353,.743,.518,47.220
418,1993-94,IND,47,82,47,35,.573,19755,3167,6516,2983,6016,184,500,1762,2387,1130,2409,3539,2055,706,457,1440,1974,8280,.486,.496,.368,.738,.547,50.015
419,1993-94,CLE,47,82,47,35,.573,19855,3133,6731,2839,5918,294,813,1736,2254,1090,2353,3443,2049,705,426,1136,1701,8296,.465,.480,.362,.770,.537,48.730
420,1992-93,UTA,47,82,47,35,.573,19755,3336,6828,3206,6414,130,414,1907,2491,1041,2463,3504,2177,746,344,1270,1965,8709,.489,.500,.314,.766,.550,49.810
421,1991-92,SAS,47,82,47,35,.573,19780,3377,7090,3259,6686,118,404,1652,2246,1229,2552,3781,2010,729,608,1308,1799,8524,.476,.487,.292,.736,.528,48.463
422,1991-92,SEA,47,82,47,35,.573,19855,3380,7128,3175,6481,205,647,1772,2263,1282,2257,3539,1877,775,448,1323,1952,8737,.474,.490,.317,.783,.538,48.857
423,1989-90,DAL,47,82,47,35,.573,19855,3246,6831,3089,6345,157,486,1735,2261,1042,2419,3461,1776,664,398,1228,1733,8384,.475,.487,.323,.767,.536,48.668
424,1988-89,CHI,47,82,47,35,.573,19780,3448,6968,3274,6438,174,530,1656,2106,1018,2453,3471,2213,722,376,1327,1855,8726,.495,.509,.328,.786,.553,50.732
425,1988-89,SEA,47,82,47,35,.573,19780,3564,7478,3271,6704,293,774,1775,2379,1397,2238,3635,2083,864,494,1403,2027,9196,.477,.488,.379,.746,.539,49.619
426,1987-88,UTA,47,82,47,35,.573,19705,3484,7092,3355,6688,129,404,1802,2404,1066,2553,3619,2407,771,627,1481,1986,8899,.491,.502,.319,.750,.546,50.035
427,1985-86,DEN,47,82,47,35,.573,19755,3705,7868,3634,7563,71,305,1929,2416,1223,2317,3540,2140,826,421,1336,2164,9410,.471,.480,.233,.798,.527,47.541
428,1983-84,NYK,47,82,47,35,.573,19855,3386,6837,3339,6672,47,165,1944,2510,1088,2230,3318,2041,803,360,1587,2281,8763,.495,.500,.285,.775,.552,49.868
429,1979-80,KCK,47,82,47,35,.573,19805,3582,7489,3557,7375,25,114,1671,2250,1187,2429,3616,2123,863,356,1439,2135,8860,.478,.482,.219,.743,.522,47.997
430,2023-24,SAC,46,82,46,36,.561,19855,3553,7455,2375,4236,1178,3219,1274,1710,888,2719,3607,2324,625,342,1078,1632,9558,.477,.561,.366,.745,.582,55.560
431,2023-24,MIA,46,82,46,36,.561,19755,3266,7022,2244,4257,1022,2765,1478,1806,766,2702,3468,2116,617,280,1038,1415,9032,.465,.527,.370,.818,.578,53.788
432,2023-24,GSW,46,82,46,36,.561,19830,3582,7515,2371,4324,1211,3191,1282,1644,996,2834,3830,2402,572,377,1174,1598,9657,.477,.548,.380,.780,.586,55.722
433,2021-22,MIN,46,82,46,36,.561,19780,3411,7458,2200,4072,1211,3386,1474,1894,921,2700,3621,2106,721,460,1175,1786,9507,.457,.540,.358,.778,.573,53.855
434,2021-22,CHI,46,82,46,36,.561,19730,3422,7127,2550,4763,872,2364,1436,1766,711,2760,3471,1958,585,336,1053,1540,9152,.480,.535,.369,.813,.579,54.132
435,2020-21,MIL,46,72,46,26,.639,17330,3221,6610,2183,3941,1038,2669,1169,1539,741,2724,3465,1834,585,334,995,1244,8649,.487,.554,.389,.760,.593,56.581
436,2019-20,DEN,46,73,46,27,.630,17745,3069,6488,2268,4254,801,2234,1185,1526,786,2436,3222,1952,586,337,1005,1485,8124,.473,.533,.359,.777,.567,53.476
437,2017-18,DEN,46,82,46,36,.561,19880,3338,7102,2398,4566,940,2536,1404,1830,902,2748,3650,2059,627,404,1227,1533,9020,.470,.525,.371,.767,.570,53.619
438,2014-15,WAS,46,82,46,36,.561,19955,3139,6790,2642,5409,497,1381,1305,1758,862,2801,3663,1969,601,378,1233,1707,8080,.462,.488,.360,.742,.534,49.890
439,2011-12,MIA,46,66,46,20,.697,16040,2446,5212,2076,4182,370,1030,1238,1598,686,2060,2746,1317,585,355,1002,1282,6500,.469,.496,.359,.775,.549,50.480
440,2010-11,NOH,46,82,46,36,.561,19830,2944,6416,2500,5184,444,1232,1452,1897,824,2468,3292,1691,624,359,1069,1719,7784,.459,.482,.360,.765,.537,49.345
441,2010-11,MEM,46,82,46,36,.561,19880,3200,6801,2891,5875,309,926,1486,1981,970,2391,3361,1691,771,441,1145,1705,8195,.471,.492,.334,.750,.534,49.324
442,2009-10,MIL,46,82,46,36,.561,19980,3050,6998,2405,5185,645,1813,1264,1675,965,2560,3525,1740,580,385,1085,1823,8009,.436,.464,.356,.755,.518,48.192
443,2008-09,PHO,46,82,46,36,.561,19755,3373,6695,2820,5250,553,1445,1675,2251,900,2520,3420,1905,589,420,1288,1691,8974,.504,.537,.383,.744,.584,54.511
444,2000-01,CHH,46,82,46,36,.561,19880,2800,6501,2460,5517,340,984,1599,2146,1033,2608,3641,1900,665,455,1183,1753,7539,.431,.446,.346,.745,.506,45.685
445,1997-98,POR,46,82,46,36,.561,19830,2885,6397,2561,5350,324,1047,1640,2226,1086,2522,3608,1766,585,464,1383,1859,7734,.451,.479,.309,.737,.524,47.632
446,1995-96,ATL,46,82,46,36,.561,19730,2985,6665,2419,5070,566,1595,1523,2012,1182,2148,3330,1609,771,319,1228,1714,8059,.448,.477,.355,.757,.534,49.032
447,1995-96,DET,46,82,46,36,.561,19830,2810,6122,2265,4772,545,1350,1657,2206,884,2440,3324,1610,506,352,1215,1953,7822,.459,.475,.404,.751,.551,50.351
448,1988-89,PHI,46,82,46,36,.561,19780,3500,7201,3296,6555,204,646,1970,2504,1143,2356,3499,2110,689,354,1214,1721,9174,.486,.503,.316,.787,.552,50.021
449,1987-88,HOU,46,82,46,36,.561,19680,3465,7354,3396,7063,69,291,1936,2483,1239,2530,3769,1936,712,502,1367,1865,8935,.471,.481,.237,.780,.529,47.586
450,1985-86,DET,46,82,46,36,.561,19780,3754,7750,3699,7568,55,182,1800,2300,1276,2461,3737,2319,738,340,1343,2101,9363,.484,.489,.302,.783,.534,48.794
