Rk,Player,WS,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,-9999
81,Giannis Antetokounmpo,13.2,2023-24,29,MIL,73,73,1,35.2,11.5,18.8,11.0,17.1,0.5,1.7,7.0,10.7,2.7,8.8,11.5,6.5,1.2,1.1,3.4,2.9,30.4,.611,.645,.274,.657,.649,62.381,F-G,antetgi01
82,James Harden,13.1,2019-20,30,HOU,68,68,1,36.5,9.9,22.3,5.5,9.9,4.4,12.4,10.2,11.8,1.0,5.5,6.6,7.5,1.8,0.9,4.5,3.3,34.3,.444,.556,.355,.865,.626,54.260,G,hardeja01
83,Derrick Rose,13.1,2010-11,22,CHI,81,81,1,37.4,8.8,19.7,7.2,15.0,1.6,4.8,5.9,6.9,1.0,3.1,4.1,7.7,1.0,0.6,3.4,1.7,25.0,.445,.481,.332,.858,.550,48.528,G,rosede01
84,Tim Duncan,13.1,2003-04,27,SAS,69,68,1,36.6,8.6,17.1,8.6,16.9,0.0,0.2,5.1,8.5,3.3,9.2,12.4,3.1,0.9,2.7,2.7,2.4,22.3,.501,.505,.167,.599,.534,50.212,F-C,duncati01
85,Russell Westbrook,13.1,2016-17,28,OKC,81,81,1,34.6,10.2,24.0,7.7,16.8,2.5,7.2,8.8,10.4,1.7,9.0,10.7,10.4,1.6,0.4,5.4,2.3,31.6,.425,.459,.343,.845,.554,47.604,G,westbru01
86,Karl Malone,13.1,2000-01,37,UTA,81,81,1,35.7,8.3,16.6,8.2,16.5,0.0,0.1,6.6,8.3,1.4,6.9,8.3,4.5,1.1,0.8,3.0,2.7,23.2,.498,.499,.400,.793,.572,49.888,F,malonka01
87,Tim Duncan,13.0,2006-07,30,SAS,80,80,1,34.1,7.7,14.1,7.7,14.0,0.0,0.1,4.5,7.1,2.7,7.9,10.6,3.4,0.8,2.4,2.8,2.5,20.0,.546,.550,.111,.637,.579,54.686,F-C,duncati01
88,Kobe Bryant,13.0,2006-07,28,LAL,77,77,1,40.8,10.6,22.8,8.8,17.6,1.8,5.2,8.7,10.0,1.0,4.7,5.7,5.4,1.4,0.5,3.3,2.7,31.6,.463,.497,.344,.868,.580,50.171,G-F,bryanko01
89,Shawn Marion,13.0,2002-03,24,PHO,81,81,1,41.6,8.2,18.1,6.4,13.6,1.7,4.5,3.1,3.6,2.5,7.1,9.5,2.4,2.3,1.2,1.9,2.6,21.2,.452,.473,.387,.851,.538,49.966,F,mariosh01
90,Dwyane Wade,13.0,2009-10,28,MIA,77,77,1,36.3,9.3,19.6,8.4,16.5,0.9,3.2,6.9,9.1,1.4,3.5,4.8,6.5,1.8,1.1,3.3,2.4,26.6,.476,.509,.300,.761,.562,50.000,G,wadedw01
91,Giannis Antetokounmpo,12.9,2021-22,27,MIL,67,67,1,32.9,10.3,18.6,9.2,15.0,1.1,3.6,8.3,11.4,2.0,9.6,11.6,5.8,1.1,1.4,3.3,3.2,29.9,.553,.616,.293,.722,.633,58.193,F-G,antetgi01
92,Vince Carter,12.9,2000-01,24,TOR,75,75,1,39.7,10.2,22.1,8.0,16.8,2.2,5.3,5.1,6.7,2.3,3.2,5.5,3.9,1.5,1.1,2.2,2.7,27.6,.460,.477,.408,.765,.551,50.906,G-F,cartevi01
93,LeBron James,12.9,2016-17,32,CLE,74,74,1,37.8,9.9,18.2,8.3,13.5,1.7,4.6,4.8,7.2,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,26.4,.548,.611,.363,.674,.619,59.375,F-G,jamesle01
94,Paul Pierce,12.9,2001-02,24,BOS,82,82,1,40.3,8.6,19.5,6.1,13.1,2.6,6.3,6.3,7.8,1.0,5.9,6.9,3.2,1.9,1.0,2.9,2.9,26.1,.442,.461,.404,.809,.570,50.814,F-G,piercpa01
95,Dwight Howard,12.9,2007-08,22,ORL,82,82,1,37.7,7.1,11.9,7.1,11.8,0.0,0.0,6.5,10.9,3.4,10.8,14.2,1.3,0.9,2.1,3.2,3.3,20.7,.599,.601,.000,.590,.619,59.856,C,howardw01
96,Dirk Nowitzki,12.9,2007-08,29,DAL,77,77,1,36.0,8.2,17.1,7.2,14.2,1.0,2.9,6.2,7.1,1.2,7.3,8.6,3.5,0.7,0.9,2.1,2.6,23.6,.479,.504,.359,.879,.585,50.951,F-C,nowitdi01
97,Kevin Garnett,12.9,2007-08,31,BOS,71,71,1,32.8,7.5,13.9,7.5,13.8,0.0,0.2,3.8,4.7,1.9,7.3,9.2,3.4,1.4,1.3,1.9,2.3,18.8,.539,.545,.000,.801,.588,53.939,F-C,garneke01
98,Dwyane Wade,12.8,2010-11,29,MIA,76,76,1,37.1,9.1,18.2,8.3,15.5,0.8,2.7,6.5,8.6,1.6,4.8,6.4,4.6,1.5,1.1,3.1,2.6,25.5,.500,.534,.306,.758,.581,52.276,G,wadedw01
99,James Harden,12.8,2012-13,23,HOU,78,78,1,38.3,7.5,17.1,5.2,10.9,2.3,6.2,8.6,10.2,0.8,4.1,4.9,5.8,1.8,0.5,3.8,2.3,25.9,.438,.477,.368,.851,.600,50.449,G,hardeja01
100,Kevin Garnett,12.8,2001-02,25,MIN,81,81,1,39.2,8.1,17.3,7.7,15.9,0.5,1.4,4.4,5.5,3.0,9.1,12.1,5.2,1.2,1.6,2.8,2.3,21.2,.470,.484,.319,.801,.536,48.358,F-C,garneke01
101,James Harden,12.8,2013-14,24,HOU,73,73,1,38.0,7.5,16.5,5.1,9.9,2.4,6.6,7.9,9.1,0.8,3.9,4.7,6.1,1.6,0.4,3.6,2.4,25.4,.456,.515,.366,.866,.618,52.905,G,hardeja01
102,Chris Paul,12.7,2015-16,30,LAC,74,74,1,32.7,7.0,15.1,5.3,10.6,1.6,4.4,4.0,4.4,0.5,3.7,4.2,10.0,2.1,0.2,2.6,2.5,19.5,.462,.501,.371,.896,.575,51.706,G,paulch01
103,Kobe Bryant,12.7,2001-02,23,LAL,80,80,1,38.3,9.4,20.0,9.0,18.3,0.4,1.7,6.1,7.4,1.4,4.1,5.5,5.5,1.5,0.4,2.8,2.9,25.2,.469,.489,.250,.829,.544,47.934,G-F,bryanko01
104,Kobe Bryant,12.7,2008-09,30,LAL,82,82,1,36.1,9.8,20.9,8.3,16.8,1.4,4.1,5.9,6.9,1.1,4.1,5.2,4.9,1.5,0.5,2.6,2.3,26.8,.467,.496,.351,.856,.561,50.175,G-F,bryanko01
105,Chris Paul,12.7,2011-12,26,LAC,60,60,1,36.4,7.1,14.8,5.8,11.3,1.3,3.6,4.3,5.0,0.7,2.9,3.6,9.1,2.5,0.1,2.1,2.3,19.8,.478,.511,.371,.861,.581,52.191,G,paulch01
106,Gary Payton,12.6,2001-02,33,SEA,82,82,1,40.3,9.0,19.2,8.1,16.4,0.9,2.9,3.3,4.1,1.0,3.9,4.8,9.0,1.6,0.3,2.5,2.2,22.1,.467,.494,.314,.797,.526,49.049,G,paytoga01
107,Damian Lillard,12.6,2017-18,27,POR,73,73,1,36.6,8.5,19.4,5.4,10.8,3.1,8.6,6.8,7.4,0.8,3.6,4.5,6.6,1.1,0.4,2.8,1.6,26.9,.439,.501,.361,.916,.594,51.908,G,lillada01
108,Stephen Curry,12.6,2016-17,28,GSW,79,79,1,33.4,8.5,18.3,4.4,8.3,4.1,10.0,4.1,4.6,0.8,3.7,4.5,6.6,1.8,0.2,3.0,2.3,25.3,.468,.537,.411,.898,.624,58.004,G,curryst01
109,Domantas Sabonis,12.6,2022-23,26,SAC,79,79,1,34.6,7.3,11.9,6.9,10.8,0.4,1.1,4.1,5.5,3.2,9.1,12.3,7.3,0.8,0.5,2.9,3.5,19.1,.615,.639,.373,.742,.668,63.166,C-F,sabondo01
110,Steve Nash,12.6,2006-07,32,PHO,76,76,1,35.3,6.8,12.8,4.8,8.3,2.1,4.5,2.9,3.3,0.4,3.1,3.5,11.6,0.8,0.1,3.8,1.5,18.6,.532,.575,.455,.899,.654,61.277,G,nashst01
111,Isaiah Thomas,12.5,2016-17,27,BOS,76,76,1,33.8,9.0,19.4,5.8,10.9,3.2,8.5,7.8,8.5,0.6,2.1,2.7,5.9,0.9,0.2,2.8,2.2,28.9,.463,.528,.379,.909,.625,54.616,G,thomais02
112,Shawn Marion,12.5,2004-05,26,PHO,81,81,1,38.8,7.6,15.9,6.2,11.7,1.4,4.2,2.8,3.4,2.9,8.4,11.3,1.9,2.0,1.5,1.5,2.5,19.4,.476,.526,.334,.833,.556,51.978,F,mariosh01
113,Giannis Antetokounmpo,12.4,2016-17,22,MIL,80,80,1,35.6,8.2,15.7,7.6,13.5,0.6,2.3,5.9,7.7,1.8,7.0,8.8,5.4,1.6,1.9,2.9,3.1,22.9,.521,.563,.272,.770,.599,54.051,F-G,antetgi01
114,Paul Pierce,12.4,2007-08,30,BOS,80,80,1,35.9,6.4,13.7,4.6,9.2,1.8,4.6,5.1,6.1,0.7,4.5,5.1,4.5,1.3,0.5,2.8,2.5,19.6,.464,.499,.392,.843,.599,52.869,F-G,piercpa01
115,Steve Nash,12.4,2005-06,31,PHO,79,79,1,35.4,6.8,13.4,4.9,9.0,1.9,4.3,3.3,3.5,0.6,3.6,4.2,10.5,0.8,0.2,3.5,1.5,18.8,.512,.548,.439,.921,.632,58.333,G,nashst01
116,Joel Embiid,12.3,2022-23,28,PHI,66,66,1,34.6,11.0,20.1,10.0,17.1,1.0,3.0,10.0,11.7,1.7,8.4,10.2,4.2,1.0,1.7,3.4,3.1,33.1,.548,.587,.330,.857,.655,57.304,C,embiijo01
117,Dirk Nowitzki,12.3,2009-10,31,DAL,81,80,1,37.5,8.9,18.5,8.3,17.0,0.6,1.5,6.6,7.2,1.0,6.7,7.7,2.7,0.9,1.0,1.8,2.6,25.0,.481,.487,.421,.915,.578,49.833,F-C,nowitdi01
118,Blake Griffin,12.2,2013-14,24,LAC,80,80,1,35.8,9.0,17.0,8.8,16.4,0.2,0.6,6.0,8.4,2.4,7.1,9.5,3.9,1.2,0.6,2.8,3.3,24.1,.528,.537,.273,.715,.583,53.274,F-C,griffbl01
119,Kevin Durant,12.2,2011-12,23,OKC,66,66,1,38.6,9.7,19.7,7.7,14.4,2.0,5.2,6.5,7.6,0.6,7.4,8.0,3.5,1.3,1.2,3.8,2.0,28.0,.496,.535,.387,.860,.610,54.703,F-G,duranke01
120,Chris Paul,12.2,2013-14,28,LAC,62,62,1,35.0,6.5,14.0,5.3,10.6,1.3,3.4,4.8,5.6,0.6,3.7,4.3,10.7,2.5,0.1,2.3,2.5,19.1,.467,.498,.368,.855,.580,51.149,G,paulch01
121,Tracy McGrady,12.2,2000-01,21,ORL,77,77,1,40.1,10.2,22.4,9.5,20.2,0.8,2.2,5.6,7.6,2.5,5.0,7.5,4.6,1.5,1.5,2.6,2.1,26.8,.457,.468,.355,.733,.521,47.419,G-F,mcgratr01
122,David Robinson,12.1,2000-01,35,SAS,80,80,1,29.6,5.0,10.3,5.0,10.3,0.0,0.0,4.4,5.9,2.6,6.0,8.6,1.5,1.0,2.5,1.5,2.7,14.4,.486,.487,.000,.747,.559,48.603,C,robinda01
123,Damian Lillard,12.1,2018-19,28,POR,80,80,1,35.5,8.5,19.2,5.6,11.1,3.0,8.0,5.9,6.4,0.9,3.8,4.6,6.9,1.1,0.4,2.7,1.9,25.8,.444,.499,.369,.912,.588,52.153,G,lillada01
124,Sam Cassell,12.1,2003-04,34,MIN,81,81,1,35.0,7.7,15.7,6.7,13.4,0.9,2.3,3.6,4.1,0.5,2.8,3.3,7.3,1.3,0.2,2.7,3.0,19.8,.488,.504,.398,.873,.566,51.732,G,cassesa01
125,Joel Embiid,12.0,2021-22,27,PHI,68,68,1,33.8,9.8,19.6,8.4,15.9,1.4,3.7,9.6,11.8,2.1,9.6,11.7,4.2,1.1,1.5,3.1,2.7,30.6,.499,.529,.371,.814,.616,53.411,C,embiijo01
126,Luka Dončić,12.0,2023-24,24,DAL,70,70,1,37.5,11.5,23.6,7.4,13.0,4.1,10.6,6.8,8.7,0.8,8.4,9.2,9.8,1.4,0.5,4.0,2.1,33.9,.487,.573,.382,.786,.617,57.264,G-F,doncilu01
127,Pau Gasol,12.0,2005-06,25,MEM,80,80,1,39.2,7.5,14.9,7.5,14.8,0.0,0.2,5.3,7.7,2.4,6.5,8.9,4.6,0.6,1.9,2.9,2.3,20.4,.503,.505,.250,.689,.555,50.377,C-F,gasolpa01
128,Kevin Durant,12.0,2016-17,28,GSW,62,62,1,33.4,8.9,16.5,7.0,11.5,1.9,5.0,5.4,6.2,0.6,7.6,8.3,4.8,1.1,1.6,2.2,1.9,25.1,.537,.608,.375,.875,.651,59.405,F-G,duranke01
129,Shawn Marion,12.0,2006-07,28,PHO,80,80,1,37.6,7.0,13.4,6.0,10.2,1.0,3.2,2.5,3.1,2.2,7.7,9.8,1.7,2.0,1.5,1.4,2.7,17.5,.524,.587,.317,.810,.594,56.116,F,mariosh01
130,Kevin Durant,12.0,2010-11,22,OKC,78,78,1,38.9,9.1,19.7,7.3,14.4,1.9,5.3,7.6,8.7,0.7,6.1,6.8,2.7,1.1,1.0,2.8,2.0,27.7,.462,.504,.350,.880,.589,50.943,F-G,duranke01
131,Tracy McGrady,12.0,2004-05,25,HOU,78,78,1,40.8,9.2,21.3,7.3,15.7,1.8,5.6,5.5,7.1,0.9,5.3,6.2,5.7,1.7,0.7,2.6,2.1,25.7,.431,.468,.326,.774,.526,47.349,G-F,mcgratr01
132,Giannis Antetokounmpo,11.9,2017-18,23,MIL,75,75,1,36.7,9.9,18.7,9.3,16.8,0.6,1.9,6.5,8.5,2.1,8.0,10.0,4.8,1.5,1.4,3.0,3.1,26.9,.529,.554,.307,.760,.598,54.458,F-G,antetgi01
133,Paul George,11.9,2018-19,28,OKC,77,77,1,36.9,9.2,21.0,5.4,11.1,3.8,9.8,5.9,7.0,1.4,6.8,8.2,4.1,2.2,0.4,2.7,2.8,28.0,.438,.484,.386,.839,.583,52.850,F-G,georgpa01
134,DeAndre Jordan,11.8,2016-17,28,LAC,81,81,1,31.7,5.1,7.1,5.1,7.1,0.0,0.0,2.5,5.2,3.7,10.1,13.8,1.2,0.6,1.7,1.4,2.6,12.7,.714,.717,.000,.482,.673,71.404,C,jordade01
135,Anthony Davis,11.8,2023-24,30,LAL,76,76,1,35.5,9.4,16.9,9.0,15.5,0.4,1.4,5.5,6.8,3.1,9.5,12.6,3.5,1.2,2.3,2.1,2.3,24.7,.556,.582,.271,.816,.621,56.703,F-C,davisan02
136,Nikola Jokić,11.8,2018-19,23,DEN,80,80,1,31.3,7.7,15.1,6.7,11.7,1.0,3.4,3.6,4.4,2.9,8.0,10.8,7.3,1.4,0.7,3.1,2.9,20.1,.511,.569,.307,.821,.589,54.519,C-F,jokicni01
137,Allen Iverson,11.8,2000-01,25,PHI,71,71,1,42.0,10.7,25.5,9.4,21.2,1.4,4.3,8.2,10.1,0.7,3.1,3.8,4.6,2.5,0.3,3.3,2.1,31.1,.420,.441,.320,.814,.518,44.732,G,iversal01
138,Kevin Garnett,11.8,2000-01,24,MIN,81,81,1,39.5,8.7,18.2,8.5,17.4,0.2,0.8,4.4,5.8,2.7,8.7,11.4,5.0,1.4,1.8,2.8,2.5,22.0,.477,.486,.288,.764,.531,48.373,F-C,garneke01
139,Rudy Gobert,11.7,2021-22,29,UTA,66,66,1,32.1,5.5,7.7,5.5,7.6,0.0,0.1,4.6,6.7,3.7,11.0,14.7,1.1,0.7,2.1,1.8,2.7,15.6,.713,.718,.000,.690,.732,71.260,C,goberru01
140,Russell Westbrook,11.6,2012-13,24,OKC,82,82,1,34.9,8.2,18.7,7.0,15.1,1.2,3.7,5.6,7.0,1.4,3.9,5.2,7.4,1.8,0.3,3.3,2.3,23.2,.438,.466,.323,.800,.532,47.003,G,westbru01
141,Allen Iverson,11.6,2007-08,32,DEN,82,82,1,41.8,8.7,19.0,7.5,15.6,1.2,3.4,7.9,9.7,0.6,2.4,3.0,7.1,2.0,0.1,3.0,1.3,26.4,.458,.482,.345,.809,.567,48.811,G,iversal01
142,Steve Nash,11.6,2002-03,28,DAL,82,82,1,33.1,6.3,13.6,5.0,10.3,1.4,3.3,3.8,4.1,0.8,2.1,2.9,7.3,1.0,0.1,2.3,1.6,17.7,.465,.482,.413,.909,.576,51.481,G,nashst01
143,Kyle Lowry,11.6,2015-16,29,TOR,77,77,1,37.0,6.6,15.6,3.9,8.5,2.8,7.1,5.2,6.4,0.7,4.0,4.7,6.4,2.1,0.4,2.9,2.7,21.2,.427,.461,.388,.811,.578,51.586,G,lowryky01
144,Anthony Mason,11.6,2000-01,34,MIA,80,80,1,40.7,5.8,11.9,5.8,11.9,0.0,0.0,4.6,5.9,2.1,7.5,9.6,3.1,1.0,0.3,2.2,2.9,16.1,.482,.482,,.781,.555,48.218,F,masonan01
145,Paul Pierce,11.6,2010-11,33,BOS,80,80,1,34.7,6.3,12.8,5.0,9.1,1.4,3.7,4.8,5.6,0.4,5.0,5.4,3.3,1.0,0.6,2.1,2.9,18.9,.497,.547,.374,.860,.620,55.093,F-G,piercpa01
146,Damian Lillard,11.6,2019-20,29,POR,66,66,1,37.5,9.5,20.4,5.4,10.2,4.1,10.2,7.0,7.8,0.5,3.8,4.3,8.0,1.1,0.3,2.9,1.7,30.0,.463,.524,.401,.888,.627,56.264,G,lillada01
147,Andrei Kirilenko,11.6,2003-04,22,UTA,78,78,1,37.1,5.3,11.9,4.4,9.4,0.9,2.6,5.0,6.4,2.9,5.2,8.1,3.1,1.9,2.8,2.8,2.2,16.5,.443,.471,.338,.790,.559,47.905,F,kirilan01
148,Gilbert Arenas,11.5,2004-05,23,WAS,80,80,1,40.9,8.2,19.0,5.6,12.0,2.6,7.0,6.5,8.0,1.0,3.7,4.7,5.1,1.7,0.3,3.0,3.1,25.5,.431,.469,.365,.814,.565,49.803,G,arenagi01
149,Dirk Nowitzki,11.5,2003-04,25,DAL,77,77,1,37.9,7.9,17.0,6.6,13.2,1.3,3.8,4.8,5.5,1.2,7.5,8.7,2.7,1.2,1.4,1.8,2.8,21.8,.462,.496,.341,.877,.561,49.962,F-C,nowitdi01
150,Kevin Durant,11.5,2018-19,30,GSW,78,78,1,34.6,9.2,17.7,7.5,12.8,1.8,5.0,5.7,6.5,0.4,5.9,6.4,5.9,0.7,1.1,2.9,2.0,26.0,.521,.587,.353,.885,.631,57.086,F-G,duranke01
151,Gerald Wallace,11.5,2009-10,27,CHA,76,76,1,41.0,6.0,12.4,5.3,10.6,0.7,1.8,5.6,7.2,2.0,8.1,10.0,2.1,1.5,1.1,2.3,2.6,18.2,.484,.503,.371,.776,.586,51.113,F,wallage01
152,Tracy McGrady,11.5,2001-02,22,ORL,76,76,1,38.3,9.4,20.9,8.1,17.1,1.4,3.7,5.5,7.3,2.0,5.9,7.9,5.3,1.6,1.0,2.5,1.8,25.6,.451,.470,.364,.748,.532,48.329,G-F,mcgratr01
153,Paul Pierce,11.5,2005-06,28,BOS,79,79,1,39.0,8.7,18.5,7.3,14.5,1.4,4.0,7.9,10.3,1.0,5.7,6.7,4.7,1.4,0.4,3.5,2.8,26.8,.471,.503,.354,.772,.582,50.923,F-G,piercpa01
154,Kevin Love,11.4,2010-11,22,MIN,73,73,1,35.8,6.6,14.1,5.4,11.2,1.2,2.9,5.8,6.8,4.5,10.7,15.2,2.5,0.6,0.4,2.1,2.0,20.2,.470,.483,.417,.850,.593,51.267,F-C,loveke01
155,Shai Gilgeous-Alexander,11.4,2022-23,24,OKC,68,68,1,35.5,10.4,20.3,9.5,17.8,0.9,2.5,9.8,10.9,0.9,4.0,4.8,5.5,1.6,1.0,2.8,2.8,31.4,.510,.533,.345,.905,.626,53.077,G,gilgesh01
156,Chauncey Billups,11.4,2006-07,30,DET,70,70,1,36.2,5.0,11.6,3.4,7.1,1.6,4.5,5.5,6.2,0.3,3.1,3.4,7.2,1.2,0.2,2.0,2.3,17.0,.427,.479,.345,.883,.591,49.387,G,billuch01
157,Yao Ming,11.4,2003-04,23,HOU,82,82,1,32.8,6.5,12.5,6.5,12.5,0.0,0.0,4.4,5.4,2.4,6.6,9.0,1.5,0.3,1.9,2.5,3.3,17.5,.522,.523,.000,.809,.586,52.195,C,mingya01
158,Jason Kidd,11.3,2002-03,29,NJN,80,80,1,37.4,6.4,15.6,4.9,10.9,1.6,4.6,4.2,5.0,1.4,4.9,6.3,8.9,2.2,0.3,3.7,1.6,18.7,.414,.445,.341,.841,.526,46.463,G,kiddja01
159,Kobe Bryant,11.3,2000-01,22,LAL,68,68,1,40.9,10.3,22.2,9.4,19.3,0.9,2.9,7.0,8.2,1.5,4.3,5.9,5.0,1.7,0.6,3.2,3.3,28.5,.464,.489,.305,.853,.552,48.444,G-F,bryanko01
160,Rudy Gobert,11.3,2020-21,28,UTA,71,71,1,30.8,5.5,8.2,5.5,8.1,0.0,0.1,3.3,5.3,3.4,10.1,13.5,1.3,0.6,2.7,1.7,2.3,14.3,.675,.680,.000,.623,.683,67.530,C,goberru01
161,Jalen Brunson,11.2,2023-24,27,NYK,77,77,1,35.4,10.3,21.4,7.5,14.6,2.7,6.8,5.5,6.5,0.6,3.1,3.6,6.7,0.9,0.2,2.4,1.9,28.7,.479,.516,.401,.847,.592,54.339,G,brunsja01
162,Amar'e Stoudemire,11.2,2006-07,24,PHO,82,78,1,32.8,7.4,12.9,7.4,12.8,0.0,0.0,5.6,7.1,2.7,6.9,9.6,1.0,1.0,1.3,2.8,3.6,20.4,.575,.577,.000,.781,.637,57.536,F-C,stoudam01
163,Paul Pierce,11.2,2004-05,27,BOS,82,82,1,36.1,6.8,14.9,5.5,11.4,1.3,3.6,6.7,8.1,1.0,5.6,6.6,4.2,1.6,0.5,2.8,3.1,21.6,.455,.481,.370,.822,.583,49.877,F-G,piercpa01
164,Tim Duncan,11.2,2004-05,28,SAS,66,66,1,33.4,7.8,15.8,7.8,15.7,0.0,0.1,4.6,6.9,3.1,8.0,11.1,2.7,0.7,2.6,1.9,2.2,20.3,.496,.498,.333,.670,.540,49.760,F-C,duncati01
165,Jimmy Butler,11.2,2014-15,25,CHI,65,65,1,38.7,6.5,14.0,5.4,11.1,1.1,3.0,5.9,7.1,1.8,4.1,5.8,3.3,1.8,0.6,1.4,1.7,20.0,.462,.484,.378,.834,.583,50.164,F-G,butleji01
166,Joakim Noah,11.2,2013-14,28,CHI,80,80,1,35.3,4.8,10.0,4.8,10.0,0.0,0.0,3.1,4.2,3.5,7.7,11.3,5.4,1.2,1.5,2.4,3.1,12.6,.475,.476,.000,.737,.531,47.500,C,noahjo01
167,Giannis Antetokounmpo,11.1,2019-20,25,MIL,63,63,1,30.4,10.9,19.7,9.5,15.0,1.4,4.7,6.3,10.0,2.2,11.4,13.6,5.6,1.0,1.0,3.7,3.1,29.5,.553,.631,.304,.633,.613,58.926,F-G,antetgi01
168,Ray Allen,11.1,2008-09,33,BOS,79,79,1,36.4,6.3,13.2,3.8,7.0,2.5,6.2,3.0,3.2,0.8,2.7,3.5,2.8,0.9,0.2,1.7,2.0,18.2,.480,.542,.409,.952,.624,57.548,G,allenra02
169,Dirk Nowitzki,11.1,2010-11,32,DAL,73,73,1,34.3,8.4,16.2,7.5,13.8,0.9,2.3,5.4,6.1,0.7,6.3,7.0,2.6,0.5,0.6,1.9,2.4,23.0,.517,.538,.393,.892,.612,54.538,F-C,nowitdi01
170,Anthony Davis,11.1,2019-20,26,LAL,62,62,1,34.4,8.9,17.7,7.7,14.2,1.2,3.5,7.2,8.5,2.3,7.0,9.3,3.2,1.5,2.3,2.5,2.5,26.1,.503,.546,.330,.846,.610,53.558,F-C,davisan02
171,Draymond Green,11.1,2015-16,25,GSW,81,81,1,34.7,5.0,10.1,3.7,6.9,1.2,3.2,2.8,4.1,1.7,7.8,9.5,7.4,1.5,1.4,3.2,3.0,14.0,.490,.537,.388,.696,.587,55.067,F,greendr01
172,Steve Francis,11.1,2002-03,25,HOU,81,81,1,41.0,7.0,16.2,6.0,13.2,1.0,3.0,5.9,7.3,2.0,4.2,6.2,6.2,1.7,0.5,3.7,3.1,21.0,.435,.453,.354,.800,.541,46.761,G,francst01
173,Tim Duncan,11.1,2007-08,31,SAS,78,78,1,34.0,7.5,15.1,7.5,15.1,0.0,0.1,4.3,5.9,3.0,8.3,11.3,2.8,0.7,1.9,2.3,2.4,19.3,.497,.498,.000,.730,.546,49.660,F-C,duncati01
174,Anthony Davis,11.0,2016-17,23,NOP,75,75,1,36.1,10.3,20.3,9.7,18.6,0.5,1.8,6.9,8.6,2.3,9.5,11.8,2.1,1.3,2.2,2.4,2.2,28.0,.505,.524,.299,.802,.580,51.769,F-C,davisan02
175,Rasheed Wallace,11.0,2000-01,26,POR,77,75,1,38.2,7.7,15.3,7.0,13.2,0.7,2.1,3.2,4.2,1.9,5.9,7.8,2.8,1.2,1.8,2.1,2.7,19.2,.501,.530,.321,.766,.560,52.292,F-C,wallara01
176,Pau Gasol,11.0,2009-10,29,LAL,65,65,1,37.0,7.0,13.0,7.0,12.9,0.0,0.1,4.4,5.6,3.7,7.6,11.3,3.4,0.6,1.7,2.2,2.3,18.3,.536,.539,.000,.790,.593,53.555,C-F,gasolpa01
177,Chris Webber,11.0,2000-01,27,SAC,70,70,1,40.5,11.2,23.4,11.2,23.0,0.0,0.4,4.6,6.6,2.6,8.5,11.1,4.2,1.3,1.7,2.8,3.2,27.1,.481,.488,.071,.703,.516,48.135,F-C,webbech01
178,Dwyane Wade,11.0,2004-05,23,MIA,77,77,1,38.6,8.2,17.1,8.0,16.5,0.2,0.6,7.5,9.9,1.4,3.7,5.2,6.8,1.6,1.1,4.2,3.0,24.1,.478,.485,.289,.762,.561,48.293,G,wadedw01
179,Manu Ginóbili,11.0,2004-05,27,SAS,74,74,1,29.6,5.0,10.5,3.6,7.1,1.3,3.5,4.8,6.0,1.0,3.4,4.4,3.9,1.6,0.4,2.3,2.6,16.0,.471,.517,.376,.803,.609,53.269,G,ginobma01
180,Shaquille O'Neal,11.0,2004-05,32,MIA,73,73,1,34.1,9.0,15.0,9.0,15.0,0.0,0.0,4.8,10.5,3.5,6.9,10.4,2.7,0.5,2.3,2.8,3.6,22.9,.601,.601,,.461,.583,60.091,C,onealsh01
181,LaMarcus Aldridge,10.9,2017-18,32,SAS,75,75,1,33.5,9.2,18.0,8.8,16.7,0.4,1.2,4.5,5.3,3.3,5.2,8.5,2.0,0.6,1.2,1.5,2.1,23.1,.510,.526,.293,.837,.570,52.004,F-C,aldrila01
182,Tim Duncan,10.9,2009-10,33,SAS,78,77,1,31.3,7.2,13.9,7.2,13.7,0.0,0.1,3.5,4.8,2.8,7.3,10.1,3.2,0.6,1.5,1.8,1.9,17.9,.518,.522,.182,.725,.560,51.941,F-C,duncati01
183,Kobe Bryant,10.9,2012-13,34,LAL,78,78,1,38.6,9.5,20.4,7.8,15.2,1.7,5.2,6.7,8.0,0.8,4.7,5.6,6.0,1.4,0.3,3.7,2.2,27.3,.463,.510,.324,.839,.570,50.408,G-F,bryanko01
184,Dirk Nowitzki,10.9,2008-09,30,DAL,81,81,1,37.7,9.6,20.0,8.8,17.9,0.8,2.1,6.0,6.7,1.1,7.3,8.4,2.4,0.8,0.8,1.9,2.2,25.9,.479,.493,.359,.890,.564,49.783,F-C,nowitdi01
185,Steve Nash,10.9,2004-05,30,PHO,75,75,1,34.3,5.7,11.4,4.5,8.5,1.3,2.9,2.8,3.2,0.8,2.6,3.3,11.5,1.0,0.1,3.3,1.8,15.5,.502,.526,.431,.887,.606,55.659,G,nashst01
