Rk,Player,PTS/G,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,-9999
1,Jimmer Fredette,28.9,MIL,1,10,2011,Brigham Young,2010-11,Brigham Young,37,37,35.8,9.4,20.7,6.0,12.2,3.4,8.5,6.8,7.6,0.6,2.8,3.4,4.3,1.3,0.0,3.5,1.3,28.9,.452,.491,.396,.894,.594,.533,G,SR,jimmer-fredette-1
2,Adam Morrison,28.1,CHA,1,3,2006,Gonzaga,2005-06,Gonzaga,33,32,36.5,9.3,18.7,7.0,13.5,2.2,5.2,7.3,9.4,1.4,4.1,5.5,1.7,1.1,0.3,2.3,2.0,28.1,.496,.523,.428,.772,.605,.556,F,JR,adam-morrison-1
3,Trae Young,27.4,DAL,1,5,2018,Oklahoma,2017-18,Oklahoma,32,32,35.4,8.2,19.3,4.5,9.1,3.7,10.3,7.4,8.6,0.4,3.5,3.9,8.7,1.7,0.3,5.2,1.8,27.4,.422,.493,.360,.861,.585,.518,G,FR,trae-young-1
4,J.J. Redick,26.8,ORL,1,11,2006,Duke,2005-06,Duke,36,36,37.1,8.4,17.9,4.5,8.7,3.9,9.2,6.1,7.1,0.2,1.8,2.0,2.6,1.4,0.1,2.5,1.5,26.8,.470,.521,.421,.863,.630,.578,G,SR,jj-redick-1
5,Doug McDermott,26.7,DEN,1,11,2014,Creighton,2013-14,Creighton,35,35,33.7,9.4,17.9,6.7,11.8,2.7,6.1,5.1,5.9,1.6,5.3,7.0,1.6,0.2,0.1,1.8,1.9,26.7,.526,.567,.449,.864,.644,.603,F,SR,doug-mcdermott-1
6,Michael Beasley,26.2,MIA,1,2,2008,Kansas State,2007-08,Kansas State,33,33,31.5,9.3,17.5,8.2,14.6,1.1,2.9,6.5,8.5,4.0,8.4,12.4,1.2,1.3,1.6,2.9,2.6,26.2,.532,.562,.379,.774,.610,.563,F,FR,michael-beasley-1
7,Stephen Curry,25.9,GSW,1,7,2009,Davidson,2007-08,Davidson,36,36,33.1,8.8,18.2,4.3,8.0,4.5,10.3,3.8,4.2,0.8,3.8,4.6,2.9,2.0,0.4,2.6,2.4,25.9,.483,.540,.439,.894,.640,.607,G,SO,stephen-curry-1
8,Kevin Durant,25.8,OKC,1,2,2007,Texas,2006-07,Texas,35,35,35.9,8.7,18.5,6.4,12.7,2.3,5.8,6.0,7.3,3.0,8.1,11.1,1.3,1.9,1.9,2.8,2.0,25.8,.473,.505,.404,.816,.587,.536,F,FR,kevin-durant-1
9,Buddy Hield,25.0,NOH,1,6,2016,Oklahoma,2015-16,Oklahoma,37,37,35.4,8.1,16.2,4.2,7.5,4.0,8.7,4.8,5.4,1.2,4.5,5.7,2.0,1.1,0.5,3.1,2.1,25.0,.501,.552,.457,.880,.665,.623,G,SR,buddy-hield-1
10,T.J. Warren,24.9,PHO,1,14,2014,NC State,2013-14,NC State,35,35,35.4,9.8,18.6,8.9,15.3,0.9,3.3,4.5,6.5,3.2,3.9,7.1,1.1,1.8,0.6,2.4,2.8,24.9,.525,.580,.267,.690,.574,.548,F,SO,tj-warren-1
11,Luis Flores,24.6,HOU,2,55,2004,Manhattan,2002-03,Manhattan,30,30,38.9,7.7,16.9,5.8,12.1,1.9,4.8,7.4,8.2,1.6,4.0,5.6,2.9,1.9,0.4,3.3,2.3,24.6,.455,.482,.386,.902,.592,.510,G,JR,luis-flores-1
12,Ja Morant,24.5,MEM,1,2,2019,Murray State,2018-19,Murray State,33,33,36.6,8.0,16.1,6.3,11.3,1.7,4.8,6.7,8.2,1.2,4.5,5.7,10.0,1.8,0.8,5.2,1.5,24.5,.499,.556,.363,.813,.612,.553,G,SO,temetrius-morant-1
13,Carsen Edwards,24.3,PHI,2,33,2019,Purdue,2018-19,Purdue,36,36,35.4,7.7,19.5,3.9,9.0,3.8,10.6,5.1,6.1,0.4,3.2,3.6,2.9,1.3,0.3,3.1,2.0,24.3,.394,.440,.355,.837,.541,.490,G,JR,carsen-edwards-1
14,Luka Garza,24.1,DET,2,52,2021,Iowa,2020-21,Iowa,31,31,31.5,9.1,16.4,7.6,13.2,1.4,3.2,4.5,6.4,3.0,5.7,8.7,1.7,0.7,1.6,1.5,2.3,24.1,.553,.581,.440,.709,.620,.596,F,SR,luka-garza-1
15,Luis Flores,24.0,HOU,2,55,2004,Manhattan,2003-04,Manhattan,31,31,36.2,7.5,17.1,5.4,11.2,2.2,5.9,6.7,7.8,1.2,2.8,3.9,1.6,1.9,0.1,2.4,2.5,24.0,.442,.478,.374,.863,.578,.507,G,SR,luis-flores-1
16,Kyle Hill,23.8,DAL,2,44,2001,Eastern Illinois,2000-01,Eastern Illinois,31,31,33.6,8.1,17.1,5.3,10.6,2.8,6.4,4.9,5.8,1.5,3.3,4.9,4.0,1.5,0.7,2.9,1.8,23.8,.473,.497,.432,.839,.600,.554,G,SR,kyle-hill-1
17,Kemba Walker,23.5,CHA,1,9,2011,Connecticut,2010-11,Connecticut,41,41,37.6,7.7,18.0,5.9,12.5,1.8,5.5,6.3,7.7,1.3,4.1,5.4,4.5,1.9,0.2,2.3,1.4,23.5,.428,.471,.330,.819,.543,.478,G,JR,kemba-walker-1
18,Keegan Murray,23.5,SAC,1,4,2022,Iowa,2021-22,Iowa,35,35,31.9,8.8,15.8,6.9,11.1,1.9,4.7,4.1,5.4,2.9,5.8,8.7,1.5,1.3,1.9,1.1,1.9,23.5,.554,.621,.398,.747,.638,.614,F,SO,keegan-murray-1
19,Doug McDermott,23.2,DEN,1,11,2014,Creighton,2012-13,Creighton,36,36,31.6,7.9,14.4,5.8,10.0,2.1,4.4,5.3,6.0,1.6,6.1,7.7,1.6,0.2,0.1,2.6,1.6,23.2,.548,.573,.490,.875,.672,.623,F,JR,doug-mcdermott-1
20,Tyler Harvey,23.1,ORL,2,51,2015,Eastern Washington,2014-15,Eastern Washington,32,32,36.9,7.2,15.3,3.2,6.0,4.0,9.3,4.7,5.5,0.6,3.0,3.6,2.6,1.1,0.1,2.0,1.9,23.1,.469,.528,.431,.852,.643,.600,G,JR,tyler-harvey-1
21,Cameron Thomas,23.0,NJN,1,27,2021,Louisiana State,2020-21,Louisiana State,29,29,34.0,7.0,17.2,4.7,10.0,2.3,7.2,6.7,7.6,0.6,2.8,3.4,1.4,0.9,0.2,1.7,1.4,23.0,.406,.464,.325,.882,.553,.474,G,FR,cameron-thomas-1
22,Doug McDermott,22.9,DEN,1,11,2014,Creighton,2011-12,Creighton,35,35,31.9,8.8,14.6,7.2,11.4,1.5,3.2,3.8,4.8,2.4,5.8,8.2,1.1,0.2,0.1,2.3,1.7,22.9,.601,.633,.486,.796,.678,.654,F,SO,doug-mcdermott-1
23,Blake Griffin,22.7,LAC,1,1,2009,Oklahoma,2008-09,Oklahoma,35,35,33.3,8.6,13.1,8.5,12.9,0.1,0.2,5.5,9.3,3.9,10.5,14.4,2.3,1.1,1.2,3.3,2.5,22.7,.654,.659,.375,.590,.648,.657,F,SO,blake-griffin-1
24,R.J. Barrett,22.6,NYK,1,3,2019,Duke,2018-19,Duke,38,38,35.3,8.4,18.5,6.5,12.2,1.9,6.2,3.9,5.9,1.6,6.0,7.6,4.3,0.9,0.4,3.2,1.8,22.6,.454,.529,.308,.665,.532,.506,F,FR,rj-barrett-1
25,Tyler Hansbrough,22.6,IND,1,13,2009,North Carolina,2007-08,North Carolina,39,39,33.0,7.4,13.7,7.4,13.5,0.0,0.2,7.8,9.7,3.9,6.4,10.2,0.9,1.5,0.4,2.1,2.4,22.6,.540,.547,.000,.806,.618,.540,F,JR,tyler-hansbrough-1
26,Zion Williamson,22.6,NOH,1,1,2019,Duke,2018-19,Duke,33,33,30.0,9.0,13.2,8.2,11.0,0.7,2.2,3.9,6.2,3.5,5.4,8.9,2.1,2.1,1.8,2.4,2.1,22.6,.680,.747,.338,.640,.702,.708,F,FR,zion-williamson-1
27,Chris Kaman,22.4,LAC,1,6,2003,Central Michigan,2002-03,Central Michigan,31,31,34.0,7.9,12.6,7.9,12.6,0.0,0.0,6.6,8.9,3.6,8.4,12.0,1.2,0.6,3.2,4.4,3.2,22.4,.622,.622,,.749,.664,.622,C,JR,chris-kaman-1
28,Eric Maynor,22.4,UTA,1,20,2009,VCU,2008-09,VCU,34,34,35.5,7.3,15.8,5.4,10.4,1.9,5.4,5.8,7.1,0.5,3.1,3.6,6.2,1.7,0.2,3.0,2.4,22.4,.463,.516,.361,.815,.583,.524,G,SR,eric-maynor-1
29,James Anderson,22.3,SAS,1,20,2010,Oklahoma State,2009-10,Oklahoma State,33,33,34.1,6.8,15.0,4.6,8.4,2.2,6.6,6.3,7.8,1.9,3.9,5.8,2.4,1.4,0.6,2.4,2.7,22.3,.457,.549,.341,.810,.596,.532,G,JR,james-anderson-3
30,Nate Wolters,22.3,WAS,2,38,2013,South Dakota State,2012-13,South Dakota State,33,33,38.1,7.3,15.1,5.4,10.0,1.9,5.1,5.7,7.0,1.1,4.5,5.6,5.8,1.7,0.1,2.3,1.5,22.3,.485,.539,.379,.813,.604,.549,G,SR,nate-wolters-1
31,Carmelo Anthony,22.2,DEN,1,3,2003,Syracuse,2002-03,Syracuse,35,35,36.4,7.9,17.5,6.3,12.7,1.6,4.7,4.8,6.8,2.9,7.1,10.0,2.2,1.6,0.9,2.2,2.2,22.2,.453,.496,.337,.706,.537,.498,F,FR,carmelo-anthony-1
32,Jimmer Fredette,22.1,MIL,1,10,2011,Brigham Young,2009-10,Brigham Young,34,33,31.1,6.6,14.4,4.4,9.3,2.3,5.1,6.6,7.4,0.7,2.4,3.1,4.7,1.2,0.1,2.7,1.1,22.1,.458,.468,.440,.892,.615,.537,G,JR,jimmer-fredette-1
33,Steve Logan,22.0,GSW,2,30,2002,Cincinnati,2001-02,Cincinnati,35,35,34.1,7.0,15.4,4.6,8.8,2.5,6.6,5.5,6.3,0.3,2.8,3.1,5.3,0.9,0.0,2.5,1.8,22.0,.457,.519,.374,.873,.599,.537,G,SR,steve-logan-1
34,Casey Jacobsen,21.9,PHO,1,22,2002,Stanford,2001-02,Stanford,30,30,35.3,6.8,15.5,4.7,9.8,2.1,5.7,6.1,7.9,1.5,3.0,4.5,3.5,0.6,0.1,2.4,1.8,21.9,.441,.481,.372,.776,.570,.510,G,JR,casey-jacobsen-1
35,C.J. McCollum,21.9,POR,1,10,2013,Lehigh,2011-12,Lehigh,35,35,33.1,7.3,16.4,5.5,11.3,1.7,5.0,5.7,7.0,1.4,5.1,6.5,3.5,2.6,0.5,2.3,2.1,21.9,.443,.489,.341,.811,.556,.496,G,JR,cj-mccollum-1
36,J.J. Redick,21.8,ORL,1,11,2006,Duke,2004-05,Duke,33,33,37.3,6.1,15.0,2.5,5.9,3.7,9.1,5.9,6.3,0.4,2.8,3.3,2.6,1.1,0.1,2.5,1.1,21.8,.408,.415,.403,.938,.607,.530,G,JR,jj-redick-1
37,Nick Fazekas,21.8,DAL,2,34,2007,Nevada,2005-06,Nevada,33,33,31.8,8.1,15.4,7.2,12.1,0.9,3.2,4.7,5.5,3.0,7.3,10.4,2.1,1.1,1.5,1.8,1.8,21.8,.529,.593,.290,.846,.607,.559,F,JR,nick-fazekas-1
38,Luke Harangody,21.8,BOS,2,52,2010,Notre Dame,2009-10,Notre Dame,30,25,33.0,8.1,16.9,7.3,14.2,0.8,2.7,4.7,5.9,2.2,6.9,9.1,1.6,0.5,0.7,1.8,2.3,21.8,.481,.514,.309,.787,.552,.506,F,SR,luke-harangody-1
39,Troy Murphy,21.8,GSW,1,14,2001,Notre Dame,2000-01,Notre Dame,30,29,36.3,7.4,15.8,6.4,12.9,1.0,2.9,5.9,7.7,3.1,6.1,9.2,2.1,0.9,1.7,3.0,3.2,21.8,.471,.499,.349,.766,.560,.503,F,JR,troy-murphy-1
40,Grayson Allen,21.6,UTA,1,21,2018,Duke,2015-16,Duke,36,35,36.6,6.6,14.3,4.1,8.3,2.5,6.0,5.9,7.0,0.7,3.9,4.6,3.5,1.3,0.1,2.0,2.7,21.6,.466,.502,.417,.837,.616,.554,G,SO,grayson-allen-1
41,Troy Bell,21.6,BOS,1,16,2003,Boston College,2001-02,Boston College,32,32,37.5,6.5,15.9,4.4,9.1,2.0,6.8,6.6,7.5,1.8,2.3,4.1,3.8,2.3,0.3,3.0,2.6,21.6,.407,.486,.301,.883,.555,.471,G,JR,troy-bell-1
42,Jay Williams,21.6,CHI,1,2,2002,Duke,2000-01,Duke,39,39,31.8,7.3,15.5,3.9,7.5,3.4,7.9,3.6,5.4,0.8,2.5,3.3,6.1,2.0,0.1,3.9,2.2,21.6,.473,.520,.427,.659,.598,.582,G,SO,jay-williams-1
43,Dwyane Wade,21.5,MIA,1,5,2003,Marquette,2002-03,Marquette,33,33,32.1,7.6,15.2,7.2,13.8,0.4,1.3,5.9,7.5,1.8,4.5,6.3,4.4,2.2,1.3,3.2,2.3,21.5,.501,.519,.318,.779,.573,.515,G,JR,dwyane-wade-1
44,Stephen Curry,21.5,GSW,1,7,2009,Davidson,2006-07,Davidson,34,33,30.9,7.1,15.4,3.5,6.6,3.6,8.8,3.6,4.3,0.9,3.7,4.6,2.8,1.8,0.2,2.8,2.6,21.5,.463,.536,.408,.855,.617,.579,G,FR,stephen-curry-1
45,Toney Douglas,21.5,LAL,1,29,2009,Florida State,2008-09,Florida State,35,35,36.5,6.8,15.3,4.4,9.0,2.4,6.3,5.4,6.6,0.8,3.1,3.9,2.9,1.8,0.4,2.5,2.2,21.5,.446,.489,.385,.810,.581,.525,G,SR,toney-douglas-1
46,Sindarius Thornwell,21.4,MIL,2,48,2017,South Carolina,2016-17,South Carolina,31,31,33.9,6.3,14.2,4.4,9.4,1.9,4.8,6.9,8.4,2.5,4.6,7.1,2.8,2.1,1.0,2.5,2.3,21.4,.444,.471,.392,.830,.590,.510,G,SR,sindarius-thornwell-1
47,Hakim Warrick,21.4,MEM,1,19,2005,Syracuse,2004-05,Syracuse,34,34,37.5,7.4,13.6,7.2,12.7,0.3,0.9,6.2,9.1,3.1,5.5,8.6,1.5,1.0,0.8,2.5,2.3,21.4,.548,.566,.290,.681,.596,.557,F,SR,hakim-warrick-1
48,Jay Williams,21.3,CHI,1,2,2002,Duke,2001-02,Duke,35,35,33.6,7.1,15.6,4.0,7.5,3.1,8.1,4.0,5.9,0.8,2.8,3.5,5.3,2.2,0.1,3.7,2.3,21.3,.457,.536,.383,.676,.580,.556,G,JR,jay-williams-1
49,Dylan Windler,21.3,CLE,1,26,2019,Belmont,2018-19,Belmont,33,33,33.2,7.4,13.6,4.3,6.6,3.0,7.1,3.5,4.2,1.9,8.9,10.8,2.5,1.4,0.6,2.1,2.1,21.3,.540,.659,.429,.847,.681,.651,F,SR,dylan-windler-1
50,Nate Wolters,21.2,WAS,2,38,2013,South Dakota State,2011-12,South Dakota State,34,34,35.8,7.4,16.4,6.4,12.4,1.0,4.0,5.5,7.1,0.9,4.2,5.1,5.9,1.7,0.1,2.2,1.9,21.2,.448,.515,.241,.783,.536,.478,G,JR,nate-wolters-1
51,Kareem Rush,21.1,TOR,1,20,2002,Missouri,2000-01,Missouri,26,25,30.6,7.4,16.7,4.7,10.8,2.7,5.9,3.7,4.6,2.2,4.5,6.7,2.0,1.3,0.8,3.3,2.4,21.1,.442,.439,.448,.800,.559,.522,F,SO,kareem-rush-1
52,Marcus Thornton,21.1,MIA,2,43,2009,Louisiana State,2008-09,Louisiana State,35,35,31.9,7.3,15.5,5.1,9.7,2.2,5.7,4.3,5.7,2.0,3.5,5.5,2.1,1.6,0.4,1.8,2.1,21.1,.472,.522,.388,.745,.580,.544,G,SR,marcus-thornton-1
53,Ben Bentil,21.1,BOS,2,51,2016,Providence,2015-16,Providence,35,33,34.2,7.0,15.2,5.5,10.7,1.5,4.5,5.5,7.1,2.7,5.0,7.7,1.1,0.9,1.0,1.9,2.8,21.1,.462,.517,.329,.782,.567,.510,F,SO,ben-bentil-1
54,Orlando Johnson,21.1,SAC,2,36,2012,UC Santa Barbara,2010-11,UC Santa Barbara,32,32,33.3,6.9,14.6,4.9,9.5,2.1,5.1,5.1,6.4,1.5,4.7,6.2,2.9,1.2,0.5,2.7,2.1,21.1,.475,.513,.405,.804,.598,.546,G,JR,orlando-johnson-1
55,Marvin Bagley III,21.0,SAC,1,2,2018,Duke,2017-18,Duke,33,32,33.9,8.2,13.3,7.5,11.6,0.7,1.8,4.0,6.3,4.0,7.1,11.1,1.5,0.8,0.9,2.3,1.8,21.0,.614,.647,.397,.627,.643,.640,F,FR,marvin-bagleyiii-1
56,Bol Bol,21.0,MIA,2,44,2019,Oregon,2018-19,Oregon,9,9,29.8,8.2,14.7,6.8,11.9,1.4,2.8,3.1,4.1,2.1,7.4,9.6,1.0,0.8,2.7,2.0,1.7,21.0,.561,.570,.520,.757,.632,.610,C,FR,bol-bol-1
57,Dan Dickau,21.0,SAC,1,28,2002,Gonzaga,2001-02,Gonzaga,32,32,34.7,6.1,13.8,2.4,5.8,3.7,8.0,5.2,6.0,0.5,2.5,3.0,4.7,0.8,0.1,2.9,1.9,21.0,.441,.419,.457,.864,.631,.574,G,SR,dan-dickau-1
58,Trayce Jackson-Davis,20.9,WAS,2,57,2023,Indiana,2022-23,Indiana,32,32,34.5,8.2,14.1,8.2,14.1,0.0,0.0,4.6,6.6,2.8,8.0,10.8,4.0,0.8,2.9,2.5,1.7,20.9,.581,.581,,.695,.608,.581,F,SR,trayce-jackson-davis-1
59,Frank Mason,20.9,SAC,2,34,2017,Kansas,2016-17,Kansas,36,36,36.1,6.7,13.7,4.4,8.8,2.3,4.8,5.3,6.6,0.6,3.6,4.2,5.2,1.3,0.1,2.4,2.0,20.9,.490,.500,.471,.794,.622,.573,G,SR,frank-mason-1
60,Joseph Forte,20.9,BOS,1,21,2001,North Carolina,2000-01,North Carolina,33,32,34.7,7.6,16.9,5.9,12.5,1.7,4.4,4.0,4.7,1.2,4.8,6.1,3.5,2.0,0.4,2.5,1.8,20.9,.450,.476,.377,.853,.546,.499,G,SO,joseph-forte-1
61,Eric Gordon Jr,20.9,LAC,1,7,2008,Indiana,2007-08,Indiana,32,32,34.7,5.8,13.3,3.6,6.8,2.2,6.5,7.2,8.7,0.7,2.5,3.3,2.4,1.3,0.6,3.6,2.2,20.9,.433,.525,.337,.834,.601,.515,G,FR,eric-gordon-1
62,Sam Merrill,20.9,NOH,2,60,2020,Utah State,2018-19,Utah State,35,35,35.3,6.5,14.1,4.1,7.6,2.5,6.5,5.4,5.9,0.3,3.6,3.9,4.2,1.1,0.3,1.9,2.5,20.9,.461,.534,.376,.909,.616,.547,G,JR,sam-merrill-1
63,O.J. Mayo,20.7,MIN,1,3,2008,Southern California,2007-08,Southern California,33,32,36.8,7.2,16.2,4.5,9.7,2.7,6.5,3.7,4.6,1.1,3.5,4.5,3.3,1.5,0.4,3.5,2.4,20.7,.442,.464,.409,.803,.562,.524,G,FR,oj-mayo-1
64,Tyler Hansbrough,20.7,IND,1,13,2009,North Carolina,2008-09,North Carolina,34,34,30.3,6.6,12.8,6.3,12.1,0.3,0.7,7.3,8.7,3.0,5.1,8.1,1.0,1.2,0.4,1.9,2.3,20.7,.514,.521,.391,.841,.613,.524,F,SR,tyler-hansbrough-1
65,Joe Young,20.7,IND,2,43,2015,Oregon,2014-15,Oregon,36,35,36.7,7.4,16.4,4.8,9.4,2.5,7.1,3.4,3.7,0.5,3.9,4.4,3.8,1.1,0.0,2.4,1.4,20.7,.448,.516,.357,.925,.568,.524,G,SR,joseph-young-1
66,Nick Fazekas,20.7,DAL,2,34,2007,Nevada,2004-05,Nevada,32,32,31.5,7.0,13.9,5.9,10.7,1.0,3.2,5.7,7.3,1.9,7.5,9.4,0.9,0.6,1.6,2.2,1.8,20.7,.502,.554,.327,.789,.597,.539,F,SO,nick-fazekas-1
67,Nolan Smith,20.6,POR,1,21,2011,Duke,2010-11,Duke,37,37,34.0,7.0,15.4,5.5,10.9,1.5,4.4,5.1,6.2,1.2,3.3,4.5,5.1,1.2,0.1,3.2,1.9,20.6,.458,.501,.350,.813,.564,.508,G,SR,nolan-smith-1
68,Andre Emmett,20.6,OKC,2,35,2004,Texas Tech,2003-04,Texas Tech,34,33,37.0,7.6,14.5,7.2,13.2,0.5,1.3,4.9,6.6,2.0,4.6,6.6,1.8,1.3,0.3,2.1,1.4,20.6,.526,.543,.356,.730,.583,.543,G,SR,andre-emmett-1
69,Jameer Nelson,20.6,DEN,1,20,2004,Saint Joseph's,2003-04,Saint Joseph's,32,32,33.9,7.3,15.4,5.0,9.6,2.3,5.8,3.7,4.7,1.0,3.7,4.7,5.3,2.8,0.0,2.8,1.8,20.6,.475,.526,.390,.792,.584,.549,G,SR,jameer-nelson-1
70,JaJuan Johnson,20.5,NJN,1,27,2011,Purdue,2010-11,Purdue,34,33,35.4,7.6,15.3,7.1,13.8,0.4,1.5,5.0,6.1,2.4,6.1,8.6,1.0,0.9,2.3,1.6,1.6,20.5,.494,.516,.294,.809,.564,.509,F,SR,jajuan-johnson-1
71,Randy Foye,20.5,BOS,1,7,2006,Villanova,2005-06,Villanova,33,33,34.7,6.8,16.7,4.2,9.0,2.7,7.7,4.1,5.2,1.6,4.1,5.8,3.0,1.4,0.6,2.2,2.2,20.5,.411,.463,.350,.791,.536,.492,G,SR,randy-foye-1
72,Georges Niang,20.5,IND,2,50,2016,Iowa State,2015-16,Iowa State,35,35,33.2,8.1,14.8,6.5,10.7,1.6,4.1,2.7,3.4,1.3,4.9,6.2,3.3,0.9,0.6,2.6,3.2,20.5,.546,.605,.392,.807,.625,.600,F,SR,georges-niang-1
73,Jordan Crawford,20.5,NJN,1,27,2010,Xavier,2009-10,Xavier,35,34,32.8,7.4,16.1,5.2,10.3,2.3,5.8,3.4,4.4,1.0,3.8,4.7,2.9,1.3,0.2,2.4,1.6,20.5,.462,.501,.391,.773,.564,.532,G,SO,jordan-crawford-1
74,Leon Powe Jr,20.5,DEN,2,49,2006,California,2005-06,California,27,27,35.3,6.6,13.3,6.5,13.0,0.1,0.3,7.2,10.0,3.3,6.8,10.1,1.4,0.9,0.6,2.4,2.5,20.5,.496,.500,.333,.719,.567,.500,F,SO,leon-powe-1
75,Andrew Bogut,20.4,MIL,1,1,2005,Utah,2004-05,Utah,35,35,35.0,8.0,12.9,7.8,12.2,0.3,0.7,4.1,5.9,3.7,8.5,12.2,2.3,1.0,1.9,2.7,2.2,20.4,.620,.636,.360,.692,.648,.630,F,SO,andrew-bogut-1
76,Courtney Lee,20.4,ORL,1,22,2008,Western Kentucky,2007-08,Western Kentucky,36,36,30.0,7.2,15.1,5.3,10.3,1.9,4.8,4.1,5.0,1.3,3.5,4.9,2.1,1.8,0.8,2.3,2.4,20.4,.477,.515,.397,.822,.585,.541,G,SR,courtney-lee-1
77,Juan Dixon,20.4,WAS,1,17,2002,Maryland,2001-02,Maryland,36,36,33.6,7.0,14.9,4.4,8.4,2.6,6.4,3.9,4.4,1.4,3.3,4.6,2.9,2.6,0.2,2.5,2.0,20.4,.469,.525,.397,.898,.603,.555,G,SR,juan-dixon-1
78,Cameron Bairstow,20.4,CHI,2,49,2014,New Mexico,2013-14,New Mexico,34,34,32.9,7.0,12.5,6.9,12.4,0.0,0.1,6.4,8.8,2.2,5.1,7.4,1.6,0.6,1.5,2.0,2.1,20.4,.556,.558,.333,.735,.611,.558,F,SR,cameron-bairstow-1
79,Evan Turner,20.4,PHI,1,2,2010,Ohio State,2009-10,Ohio State,31,31,35.7,7.6,14.7,7.0,13.0,0.6,1.8,4.5,5.9,2.0,7.2,9.2,6.0,1.7,0.9,4.4,2.8,20.4,.519,.540,.364,.754,.581,.540,G,JR,evan-turner-1
80,Nick Fazekas,20.4,DAL,2,34,2007,Nevada,2006-07,Nevada,32,32,30.3,7.8,13.7,6.9,11.6,0.9,2.0,4.0,4.7,3.0,8.1,11.1,1.8,0.8,1.5,2.0,2.3,20.4,.568,.591,.431,.848,.641,.600,F,SR,nick-fazekas-1
81,Troy Bell,20.4,BOS,1,16,2003,Boston College,2000-01,Boston College,32,32,34.2,5.8,12.7,3.6,7.1,2.2,5.6,6.6,7.7,2.1,2.3,4.3,4.2,2.6,0.4,2.3,2.3,20.4,.459,.513,.391,.857,.625,.546,G,SO,troy-bell-1
82,Luke Harangody,20.4,BOS,2,52,2010,Notre Dame,2007-08,Notre Dame,33,33,29.0,7.8,15.7,7.8,15.4,0.1,0.3,4.6,6.0,3.5,7.1,10.6,1.7,0.8,0.9,2.3,2.6,20.4,.500,.503,.333,.763,.549,.503,F,SO,luke-harangody-1
83,Aaron Holiday,20.3,IND,1,23,2018,UCLA,2017-18,UCLA,33,33,37.7,6.4,13.9,3.8,7.7,2.7,6.2,4.8,5.8,0.5,3.2,3.7,5.8,1.3,0.2,3.8,2.6,20.3,.461,.486,.429,.828,.609,.557,G,JR,aaron-holiday-1
84,Caron Butler,20.3,MIA,1,10,2002,Connecticut,2001-02,Connecticut,34,34,36.0,7.4,15.3,6.6,13.1,0.9,2.2,4.6,5.9,3.2,4.4,7.5,3.0,2.1,0.4,2.9,2.2,20.3,.486,.500,.400,.779,.561,.514,F,SO,caron-butler-1
85,Shan Foster,20.3,DAL,2,51,2008,Vanderbilt,2007-08,Vanderbilt,34,34,33.7,7.1,13.6,3.2,5.2,3.9,8.4,2.1,2.8,1.1,3.8,4.9,1.6,1.1,0.2,1.7,1.9,20.3,.523,.610,.469,.760,.679,.667,G,SR,shan-foster-1
86,Wayne Simien Jr,20.3,MIA,1,29,2005,Kansas,2004-05,Kansas,26,26,34.3,7.3,13.3,7.2,12.8,0.2,0.5,5.5,6.7,3.2,7.8,11.0,1.4,0.6,0.6,2.3,2.6,20.3,.552,.563,.286,.816,.616,.558,F,SR,wayne-simien-1
87,Kris Murray,20.2,POR,1,23,2023,Iowa,2022-23,Iowa,29,29,34.9,7.5,15.7,5.2,8.9,2.3,6.8,3.0,4.1,2.8,5.2,7.9,2.0,1.0,1.2,1.5,2.1,20.2,.476,.583,.335,.729,.572,.548,F,JR,kris-murray-1
88,Brandon Roy,20.2,MIN,1,6,2006,Washington,2005-06,Washington,33,33,31.7,6.9,13.6,5.7,10.7,1.2,2.9,5.2,6.4,2.1,3.5,5.6,4.1,1.4,0.8,2.3,2.5,20.2,.508,.537,.402,.810,.606,.551,G,SR,brandon-roy-1
89,Cade Cunningham,20.1,DET,1,1,2021,Oklahoma State,2020-21,Oklahoma State,27,26,35.4,6.5,14.8,4.2,9.1,2.3,5.7,4.9,5.8,0.7,5.5,6.2,3.5,1.6,0.8,4.0,2.5,20.1,.438,.461,.400,.846,.574,.515,G,FR,cade-cunningham-1
90,Ayo Dosunmu,20.1,CHI,2,38,2021,Illinois,2020-21,Illinois,28,28,35.1,7.5,15.4,6.4,12.4,1.1,2.9,4.0,5.1,1.1,5.2,6.3,5.3,1.1,0.2,3.3,2.1,20.1,.488,.511,.390,.783,.566,.526,G,JR,ayo-dosunmu-1
91,David West,20.1,NOH,1,18,2003,Xavier,2002-03,Xavier,32,32,36.5,6.7,13.0,6.4,12.2,0.3,0.8,6.5,8.0,3.1,8.7,11.8,3.2,1.3,1.6,2.7,3.0,20.1,.513,.524,.346,.816,.600,.524,F,SR,david-west-1
92,Deandre Ayton,20.1,PHO,1,1,2018,Arizona,2017-18,Arizona,35,35,33.5,7.9,12.9,7.5,11.9,0.3,1.0,4.0,5.5,3.4,8.2,11.6,1.6,0.6,1.9,2.0,2.3,20.1,.612,.635,.343,.733,.650,.625,F,FR,deandre-ayton-1
