Rk,Player,PTS/G,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,-9999
1487,Marcus Douthit,5.4,LAL,2,56,2004,Providence,2000-01,Providence,31,2,15.6,2.2,4.6,2.2,4.6,0.0,0.0,1.0,1.3,1.5,2.5,4.0,1.0,0.5,1.6,1.9,3.0,5.4,.483,.483,,.750,.519,.483,C,FR,marcus-douthit-1
1488,Brice Johnson,5.4,LAC,1,25,2016,North Carolina,2012-13,North Carolina,36,2,10.6,2.5,4.9,2.5,4.9,0.0,0.0,0.4,0.7,0.9,2.3,3.2,0.3,0.5,0.5,0.5,1.6,5.4,.511,.511,,.577,.518,.511,F,FR,brice-johnson-1
1489,David Noel III,5.4,MIL,2,39,2006,North Carolina,2003-04,North Carolina,24,3,21.3,2.1,3.7,2.0,3.2,0.1,0.5,1.2,1.9,2.3,2.6,4.9,1.5,1.0,0.3,1.7,2.3,5.4,.562,.623,.167,.622,.589,.573,G,SO,david-noel-1
1490,Sviatoslav Mykhailiuk,5.4,LAL,2,47,2018,Kansas,2015-16,Kansas,35,0,12.8,1.9,4.3,0.9,1.6,1.1,2.6,0.5,0.7,0.3,1.0,1.3,0.9,0.3,0.1,0.7,1.2,5.4,.450,.526,.402,.680,.584,.574,G,SO,sviatoslav-mykhailiuk-1
1491,JaJuan Johnson,5.4,NJN,1,27,2011,Purdue,2007-08,Purdue,34,17,16.6,2.0,4.7,2.0,4.6,0.0,0.1,1.4,2.2,1.1,2.0,3.1,0.3,0.4,1.0,0.6,1.7,5.4,.421,.427,.000,.649,.469,.421,F,FR,jajuan-johnson-1
1492,Danny Green,5.2,CLE,2,46,2009,North Carolina,2006-07,North Carolina,37,0,13.6,1.8,4.3,1.1,2.1,0.6,2.2,1.1,1.2,0.8,1.9,2.8,1.1,0.6,0.7,0.8,1.4,5.2,.411,.532,.296,.848,.537,.487,F,SO,danny-green-1
1493,Immanuel Quickley,5.2,OKC,1,25,2020,Kentucky,2018-19,Kentucky,37,7,18.5,1.5,4.0,0.7,1.6,0.8,2.4,1.4,1.7,0.1,1.7,1.8,1.2,0.4,0.0,0.9,1.2,5.2,.372,.410,.345,.828,.541,.473,G,FR,immanuel-quickley-1
1494,Dereck Lively II,5.2,OKC,1,12,2023,Duke,2022-23,Duke,34,27,20.6,2.3,3.4,2.2,3.1,0.1,0.4,0.6,1.0,2.1,3.3,5.4,1.1,0.5,2.4,0.7,2.7,5.2,.658,.721,.154,.600,.662,.667,C,FR,dereck-lively-ii-1
1495,Sterling Brown,5.2,PHI,2,46,2017,SMU,2014-15,SMU,34,17,23.9,1.9,3.6,1.3,2.3,0.6,1.3,0.9,1.1,1.5,3.1,4.6,2.1,0.9,0.2,0.9,1.9,5.2,.525,.571,.444,.784,.634,.607,G,SO,sterling-brown-2
1496,Dakari Johnson,5.2,OKC,2,48,2015,Kentucky,2013-14,Kentucky,39,18,14.1,2.1,3.7,2.1,3.7,0.0,0.0,1.0,2.2,2.0,1.9,3.9,0.3,0.2,0.6,0.6,2.0,5.2,.569,.569,,.447,.548,.569,C,FR,dakari-johnson-1
1497,Grant Jerrett,5.2,POR,2,40,2013,Arizona,2012-13,Arizona,34,2,17.8,1.9,4.5,0.9,2.2,0.9,2.3,0.5,0.6,1.1,2.5,3.6,0.5,0.5,1.0,0.6,1.3,5.2,.409,.413,.405,.818,.535,.513,F,FR,grant-jerrett-1
1498,Orien Greene,5.2,BOS,2,53,2005,Louisiana–Lafayette,2001-02,Florida,31,30,23.8,2.0,4.7,1.4,2.5,0.6,2.1,0.5,0.7,1.0,1.8,2.8,2.9,2.0,0.2,1.6,2.6,5.2,.434,.544,.303,.636,.515,.503,G,SO,orien-greene-1
1499,Miles Plumlee,5.2,IND,1,26,2012,Duke,2009-10,Duke,40,24,16.4,2.1,3.7,2.1,3.7,0.0,0.0,1.0,1.5,1.6,3.3,4.9,0.3,0.5,0.7,1.1,2.6,5.2,.561,.558,1.000,.661,.585,.564,F,SO,miles-plumlee-1
1500,Rakeem Christmas,5.1,MIN,2,36,2015,Syracuse,2012-13,Syracuse,40,40,20.9,2.2,4.1,2.2,4.1,0.0,0.0,0.8,1.4,1.8,2.8,4.6,0.2,0.5,1.8,0.9,2.5,5.1,.530,.530,,.574,.540,.530,F,SO,rakeem-christmas-1
1501,Nick Richards,5.1,NOH,2,42,2020,Kentucky,2017-18,Kentucky,37,37,14.7,1.9,3.0,1.9,3.0,0.0,0.0,1.4,1.9,1.5,2.9,4.4,0.2,0.1,0.9,0.7,2.1,5.1,.616,.616,,.718,.648,.616,F,FR,nick-richards-2
1502,Dave Young,5.1,OKC,2,41,2004,,2002-03,Xavier,10,2,15.2,1.8,5.3,1.1,2.4,0.7,2.9,0.8,1.4,1.1,1.2,2.3,0.4,0.7,0.0,0.4,1.3,5.1,.340,.458,.241,.571,.427,.406,G,SR,dave-young-1
1503,Jordan Bell,5.1,CHI,2,38,2017,Oregon,2014-15,Oregon,35,20,23.7,2.4,4.0,2.4,4.0,0.0,0.0,0.3,0.6,1.9,4.2,6.1,1.3,0.8,2.7,1.1,2.7,5.1,.597,.597,,.524,.594,.597,F,FR,jordan-bell-1
1504,Jericho Sims,5.0,NYK,2,58,2021,Texas,2017-18,Texas,34,11,18.5,2.1,3.4,2.1,3.4,0.0,0.0,0.9,2.0,1.1,2.8,3.9,0.2,0.3,0.5,0.8,1.8,5.0,.607,.612,.000,.426,.573,.607,F,FR,jericho-sims-1
1505,Colton Iverson,5.0,IND,2,53,2013,Colorado State,2009-10,Minnesota,35,4,16.9,1.9,4.0,1.9,4.0,0.0,0.0,1.1,2.2,1.4,3.0,4.4,0.6,0.3,0.9,1.3,1.9,5.0,.482,.482,,.526,.497,.482,F,SO,colton-iverson-1
1506,Denzel Valentine,5.0,CHI,1,14,2016,Michigan State,2012-13,Michigan State,36,15,20.8,1.9,4.3,1.5,2.7,0.4,1.6,0.7,1.1,1.1,3.1,4.1,2.4,0.8,0.3,2.0,1.9,5.0,.445,.541,.281,.667,.519,.497,G,FR,denzel-valentine-1
1507,Udoka Azubuike,5.0,UTA,1,27,2020,Kansas,2016-17,Kansas,11,6,12.9,2.0,3.2,2.0,3.2,0.0,0.0,1.0,2.6,1.2,3.2,4.4,0.2,0.2,1.6,1.4,2.8,5.0,.629,.629,,.379,.564,.629,C,FR,udoka-azubuike-1
1508,Jermareo Davidson,5.0,GSW,2,36,2007,Alabama,2003-04,Alabama,33,28,23.2,2.0,4.3,2.0,4.3,0.0,0.0,0.9,1.6,1.6,2.7,4.3,0.5,0.2,1.4,1.1,2.1,5.0,.472,.472,,.577,.492,.472,F,FR,jermareo-davidson-1
1509,Ryan Reid,4.9,IND,2,57,2010,Florida State,2008-09,Florida State,35,16,19.1,1.8,4.0,1.8,4.0,0.0,0.0,1.4,2.2,1.5,2.2,3.7,0.7,0.7,0.7,2.1,2.0,4.9,.440,.440,,.632,.486,.440,F,JR,ryan-reid-1
1510,Vince Williams Jr.,4.9,MEM,2,47,2022,VCU,2018-19,VCU,33,0,15.5,1.5,3.3,1.3,2.5,0.2,0.8,1.7,2.4,1.0,2.3,3.3,1.0,1.0,0.4,1.5,2.0,4.9,.459,.524,.240,.688,.548,.486,G,FR,vince-williams-2
