Player,2P,3P,FT,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FG%,Pos_G,Pos_F,Pos_C
LeBron James,3.2279916569778053,0.7130476147547826,3.6802403664554575,-0.3668925217473645,1.6091156616518723,3.0815461139015476,1.2022344505824456,0.2958534904453886,1.4584195799074873,-1.111938298208459,3.8476327942719557,-0.038767873050410954,1,1,0
LeBron James,3.6698995846686664,0.46427334574081713,2.0191383499760023,-0.3668925217473645,1.9564934711836202,3.1447968911701047,1.2022344505824456,0.04977280039916293,1.4584195799074873,-1.7612628569727364,3.437827476329628,1.0940144985547768,1,1,0
Kevin Durant,3.2279916569778053,1.7081446908106432,4.843011777991076,-1.0238817961901774,1.8870179092772708,2.006282900336074,0.4161596233817627,-0.19630788964706272,2.1695744229130054,-0.2461722198560887,4.769694759642196,0.16990256382422922,1,1,0
Kevin Durant,2.6387810867233235,0.837434749261765,4.593846475519158,-1.1333800085973127,2.3038712807153683,1.4370259049190581,0.6126783301819332,0.5419341804916141,2.1695744229130054,-0.8954967786203661,3.77079429715777,0.2742377822615493,1,1,0
LeBron James,3.4489456208232365,0.837434749261765,4.095515870575321,-0.8048853713759064,1.678591223558222,3.96705699566135,1.005715743782275,0.1728131454222757,2.0273434543119015,-1.3283798177965511,4.180599615100097,0.16990256382422922,1,1,0
Kevin Garnett,4.406412797486769,-1.1527594028499566,1.3546975433842203,1.4945770891739385,4.804991509343954,1.6900290139932874,0.8091970369821042,1.6492972856996295,0.8894957055030728,0.619593858496281,2.771893834673344,0.11028243900290345,0,1,1
Chris Paul,2.6387810867233235,-0.2820494613010783,2.434413854095866,-0.8048853713759064,0.49750667115027897,5.485075650106725,3.3639402253843236,-0.9345499597857395,1.4584195799074873,1.0524768976724663,2.4133141814738073,0.16990256382422922,1,0,0
Stephen Curry,1.0184520185234978,5.066597322499172,1.437752644208193,-0.8048853713759064,0.428031109243929,2.7652922275587613,1.9883092777831288,-0.8115096147626265,1.885112485710798,-0.4626137394441813,4.283050944585681,0.18480759502956065,1,0,0
Tim Duncan,4.111807512359529,-1.277146537356939,3.2649648623355936,1.8230717263953449,3.76285808074871,0.8677689095020429,-0.762952617419262,2.018418320768968,1.7428815171096947,0.8360353780843737,3.104860655501486,0.24442771985088643,0,1,1
Chris Paul,2.196873159032462,0.215499076726852,1.1055322409123023,-0.9143835837830419,-0.5446267574449649,5.8645803137180685,3.1674215185841534,-0.9345499597857395,0.7472647369019689,0.18671081932009567,1.9778960311600833,-0.05367290425574239,1,0,0
Dirk Nowitzki,3.080689014414185,0.46427334574081713,3.1819097615116214,-0.25739430934022917,2.5122979664344167,0.29851191408502703,-0.762952617419262,0.1728131454222757,-0.10612107470465308,-0.4626137394441813,3.386601811586837,-0.17291315389839393,0,1,1
Nikola Jokić,4.185458833641339,0.09111194221986958,1.3546975433842203,1.2755806643596674,3.832333642655059,4.2200601047355795,0.6126783301819332,0.04977280039916293,1.4584195799074873,0.619593858496281,3.3353761468440455,1.3623050602507427,0,1,1
Tim Duncan,3.6698995846686664,-1.1527594028499566,2.2683036524479205,1.7135735139882098,3.971284766467758,0.9942704640391573,-0.762952617419262,2.5105797008614186,1.6006505485085911,1.4853599368486508,2.5413783433307846,0.3189528758775436,0,1,1
James Harden,1.2394059823689292,1.9569189598246086,4.92606687881505,-0.8048853713759064,0.49750667115027897,2.9550445593644334,1.595271864182787,-0.19630788964706272,2.880729265918524,0.8360353780843737,3.5915044705580006,-0.7691144021116507,1,0,0
Dirk Nowitzki,2.9333863718505646,-0.1576623267940957,2.932744459039703,-0.03839788452595802,2.3038712807153683,0.6780165776963708,-0.762952617419262,-0.07326754462394984,0.1783408624975545,-0.02973070026799603,2.874345164158927,0.1549975326188978,0,1,1
LeBron James,4.259110154923149,0.7130476147547826,3.9294056689273757,-0.8048853713759064,1.470164537839173,2.702041450290204,1.005715743782275,-0.07326754462394984,1.885112485710798,0.18671081932009567,4.616017765413822,-0.17291315389839393,1,1,0
Dirk Nowitzki,2.270524480314272,1.0862090182757302,2.600524055743812,-0.695387158968771,3.415480271216962,0.42501346862214173,0.6126783301819332,0.1728131454222757,-0.10612107470465308,0.8360353780843737,3.002409326015904,-0.42629868438902757,0,1,1
Tracy McGrady,3.6698995846686664,1.5837575563036603,4.012460769751349,-0.03839788452595802,0.6364577949629783,2.006282900336074,1.2022344505824456,-0.07326754462394984,0.8894957055030728,-0.2461722198560887,4.795307592013591,-0.5157288716210162,1,1,0
Kevin Garnett,3.3752942995414266,-1.1527594028499566,2.1021934507999753,1.4945770891739385,4.527089261718555,2.1327844548731885,0.8091970369821042,0.6649745255147268,1.0317266741041766,0.619593858496281,2.2596371872454335,0.1549975326188978,0,1,1
Kevin Durant,3.2279916569778053,0.7130476147547826,5.258287282110939,-0.3668925217473645,1.6091156616518723,0.29851191408502703,0.6126783301819332,0.1728131454222757,1.885112485710798,-0.2461722198560887,4.283050944585681,-0.23253327871971968,1,1,0
Chris Paul,1.0921033398053084,0.837434749261765,0.5241465351444927,-1.1333800085973127,0.011177737805831695,4.9790694319582665,1.595271864182787,-0.8115096147626265,0.4628027996997614,0.619593858496281,1.4656393837321728,-0.09838799787173672,1,0,0
LeBron James,3.5225969421050465,0.5886604802477998,2.3513587532718936,-0.5858889465616354,1.3312134140264742,2.512289118484532,1.005715743782275,-0.688469269739514,2.1695744229130054,-1.3283798177965511,3.514665973443815,1.1238245609654398,1,1,0
