Rk,Season,Team,W,G,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,MOV,SOS,SRS,Pace,ORtg,DRtg,TOV%,ORB%,DRB%,FTr
1,2015-16,GSW,73,82,9,0.89,19880,3489,7159,2412,4567,1077,2592,1366,1790,816,2972,3788,2373,689,498,1245,1701,9421,0.487,0.528,0.416,0.763,0.593,0.563,10.76,-0.38,10.38,99.3,114.5,103.8,13.5,23.5,76,0.25
2,1995-96,CHI,72,82,10,0.878,19730,3293,6892,2749,5543,544,1349,1495,2004,1247,2411,3658,2033,745,345,1175,1807,8625,0.478,0.496,0.403,0.746,0.555,0.517,12.24,-0.44,11.8,91.1,115.2,101.8,13.1,36.9,71.1,0.291
3,1996-97,CHI,69,82,13,0.841,19730,3277,6923,2754,5520,523,1403,1381,1848,1235,2461,3696,2142,716,332,1109,1617,8458,0.473,0.499,0.373,0.747,0.547,0.511,10.8,-0.11,10.7,90,114.4,102.4,12.5,35.9,69.3,0.267
4,2016-17,GSW,67,82,15,0.817,19780,3532,7140,2550,4578,982,2562,1457,1850,770,2873,3643,2491,785,555,1211,1585,9503,0.495,0.557,0.383,0.788,0.597,0.563,11.63,-0.28,11.35,99.8,115.6,104,13.2,22.8,74.9,0.259
5,2015-16,SAS,67,82,15,0.817,19705,3289,6797,2719,5279,570,1518,1342,1672,770,2831,3601,2010,677,485,1071,1433,8490,0.484,0.515,0.375,0.803,0.564,0.526,10.63,-0.36,10.28,93.8,110.3,99,12.4,23,79.1,0.246
6,2014-15,GSW,67,82,15,0.817,19730,3410,7137,2527,4920,883,2217,1313,1709,853,2814,3667,2248,762,496,1185,1628,9016,0.478,0.514,0.398,0.768,0.571,0.54,10.1,-0.09,10.01,98.3,111.6,101.4,13.1,24.1,74.5,0.239
7,2006-07,DAL,67,82,15,0.817,19755,3010,6442,2475,5038,535,1404,1646,2045,920,2515,3435,1632,560,408,1140,1837,8201,0.467,0.491,0.381,0.805,0.559,0.509,7.22,0.06,7.28,89.5,111.3,103.2,13.4,28.7,75,0.317
8,1999-00,LAL,67,82,15,0.817,19805,3137,6836,2793,5789,344,1047,1649,2368,1117,2738,3855,1921,613,534,1143,1841,8267,0.459,0.482,0.329,0.696,0.525,0.484,8.55,-0.14,8.41,93.3,107.3,98.2,12.7,30.6,73.1,0.346
9,1991-92,CHI,67,82,15,0.817,19830,3643,7168,3505,6714,138,454,1587,2132,1173,2439,3612,2279,672,480,1088,1693,9011,0.508,0.522,0.304,0.744,0.556,0.518,10.44,-0.37,10.07,94.4,115.5,104.5,11.8,35.1,69.3,0.297
10,1985-86,BOS,67,82,15,0.817,19855,3718,7312,3580,6919,138,393,1785,2248,1054,2753,3807,2387,641,511,1360,1756,9359,0.508,0.517,0.351,0.794,0.564,0.518,9.41,-0.36,9.06,101.2,111.8,102.6,14.1,31.3,71.7,0.307
11,2012-13,MIA,66,82,16,0.805,19880,3148,6348,2431,4539,717,1809,1423,1887,676,2490,3166,1890,710,441,1143,1533,8436,0.496,0.536,0.396,0.754,0.588,0.552,7.87,-0.84,7.03,90.7,112.3,103.7,13.7,22.2,73,0.297
12,2008-09,CLE,66,82,16,0.805,19780,3022,6454,2366,4784,656,1670,1523,2012,886,2574,3460,1663,593,435,1045,1663,8223,0.468,0.495,0.393,0.757,0.56,0.519,8.93,-0.25,8.68,88.7,112.4,102.4,12.5,27.7,74.6,0.312
13,2007-08,BOS,66,82,16,0.805,19755,2986,6286,2390,4722,596,1564,1677,2176,830,2615,3445,1833,696,379,1246,1864,8245,0.475,0.506,0.381,0.771,0.569,0.522,10.26,-0.95,9.3,90.9,110.2,98.9,14.7,26.6,74.4,0.346
14,2017-18,HOU,65,82,17,0.793,19755,3174,6906,1918,3436,1256,3470,1609,2061,739,2825,3564,1767,699,392,1135,1597,9213,0.46,0.558,0.362,0.781,0.59,0.551,8.48,-0.27,8.21,97.6,114.7,106.1,12.7,21.3,79.9,0.298
15,2008-09,LAL,65,82,17,0.793,19780,3307,6981,2760,5465,547,1516,1607,2087,1015,2587,3602,1908,718,420,1103,1698,8768,0.474,0.505,0.361,0.77,0.555,0.513,7.66,-0.55,7.11,94.3,112.8,104.7,12.3,29.4,73,0.299
16,1986-87,LAL,65,82,17,0.793,19730,3740,7245,3576,6798,164,447,2012,2550,1127,2515,3642,2428,728,482,1358,1853,9656,0.516,0.526,0.367,0.789,0.577,0.528,9.3,-0.99,8.32,101.6,115.6,106.5,14,34.1,66.3,0.352
17,1982-83,PHI,65,82,17,0.793,19830,3600,7212,3575,7103,25,109,1966,2650,1334,2596,3930,2016,812,577,1627,2041,9191,0.499,0.503,0.229,0.742,0.549,0.501,7.67,-0.14,7.53,102.7,108.3,100.9,16.3,37.1,66.2,0.367
18,2023-24,BOS,64,82,18,0.78,19830,3601,7396,2250,3914,1351,3482,1334,1654,876,2923,3799,2207,557,538,979,1326,9887,0.487,0.575,0.388,0.807,0.609,0.578,11.34,-0.6,10.75,97.2,123.2,111.6,10.8,24.9,76.3,0.224
19,2021-22,PHO,64,82,18,0.78,19730,3581,7389,2630,4773,951,2616,1303,1635,801,2913,3714,2244,702,359,1060,1633,9416,0.485,0.551,0.364,0.797,0.581,0.549,7.5,-0.56,6.94,99.8,114.8,107.3,11.6,22.3,77.1,0.221
20,2005-06,DET,64,82,18,0.78,19830,2983,6558,2426,5107,557,1451,1418,1950,975,2347,3322,1971,580,490,931,1513,7941,0.455,0.475,0.384,0.727,0.535,0.497,6.67,-0.44,6.24,86.8,110.8,103.1,11.2,28.9,71.2,0.297
21,1996-97,UTA,64,82,18,0.78,19830,3131,6217,2797,5315,334,902,1858,2416,889,2410,3299,2199,748,418,1259,1981,8454,0.504,0.526,0.37,0.769,0.581,0.53,8.79,-0.82,7.97,90,113.6,104,14.7,29.7,71.6,0.389
22,1995-96,SEA,64,82,18,0.78,19880,3074,6401,2493,4805,581,1596,1843,2424,954,2449,3403,1999,882,393,1441,1967,8572,0.48,0.519,0.364,0.76,0.574,0.526,7.79,-0.4,7.4,93.8,110.3,102.1,16.2,29.7,69.5,0.379
23,2005-06,SAS,63,82,19,0.768,19805,2993,6342,2469,4980,524,1362,1327,1891,851,2548,3399,1717,543,467,1126,1714,7837,0.472,0.496,0.385,0.702,0.546,0.513,6.82,-0.13,6.69,88.5,107.3,99.6,13.6,26,74.2,0.298
24,1993-94,SEA,63,82,19,0.768,19730,3338,6901,3096,6179,242,722,1769,2374,1148,2233,3381,2112,1053,365,1262,1914,8687,0.484,0.501,0.335,0.745,0.547,0.501,9.09,-0.41,8.68,95.1,111.1,101.5,13.7,34.4,67.3,0.344
25,1990-91,POR,63,82,19,0.768,19905,3577,7369,3236,6465,341,904,1912,2538,1202,2561,3763,2254,724,410,1309,1975,9407,0.485,0.501,0.377,0.753,0.554,0.509,8.68,-0.21,8.47,100.5,112.8,104.3,13.4,33.8,70.4,0.344
26,1989-90,LAL,63,82,19,0.768,19855,3434,7010,3125,6169,309,841,1902,2417,1097,2460,3557,2232,655,445,1226,1737,9079,0.49,0.507,0.367,0.787,0.562,0.512,6.78,-0.04,6.74,96.3,114,107,13.2,32.8,68.5,0.345
27,1988-89,DET,63,82,19,0.768,19830,3395,6879,3275,6479,120,400,1830,2379,1154,2546,3700,2027,522,406,1336,1939,8740,0.494,0.505,0.3,0.769,0.551,0.502,5.8,0.44,6.24,95.5,110.8,104.7,14.4,34.5,69.2,0.346
28,1984-85,BOS,63,82,19,0.768,19705,3721,7325,3611,7016,110,309,1860,2307,1116,2630,3746,2287,645,414,1332,1781,9412,0.508,0.515,0.356,0.806,0.564,0.515,6.65,-0.18,6.47,101.6,112.8,106.3,13.8,32.8,70.4,0.315
29,1981-82,BOS,63,82,19,0.768,19780,3657,7334,3608,7150,49,184,1817,2457,1253,2489,3742,2126,652,568,1452,2014,9180,0.499,0.505,0.266,0.74,0.545,0.502,6.38,-0.03,6.35,101.5,109.8,103.5,14.7,35.8,67.6,0.335
30,2013-14,SAS,62,82,20,0.756,19755,3326,6844,2628,5087,698,1757,1289,1642,762,2786,3548,2064,604,420,1180,1495,8639,0.486,0.517,0.397,0.785,0.571,0.537,7.72,0.28,8,95,110.5,102.4,13.5,22.7,76.4,0.24
31,2010-11,CHI,62,82,20,0.756,19830,3042,6587,2531,5172,511,1415,1492,2008,967,2654,3621,1827,592,468,1161,1639,8087,0.462,0.489,0.361,0.743,0.541,0.501,7.32,-0.79,6.53,90.4,108.3,100.3,13.5,29.4,76.2,0.305
32,2008-09,BOS,62,82,20,0.756,19880,3075,6333,2537,4978,538,1355,1587,2075,869,2586,3455,1862,621,387,1280,1897,8275,0.486,0.51,0.397,0.765,0.571,0.528,7.51,-0.07,7.44,90.4,110.5,102.3,15,27.9,75.6,0.328
33,2004-05,PHO,62,82,20,0.756,19780,3351,7018,2555,4992,796,2026,1556,2080,967,2652,3619,1927,572,453,1125,1563,9054,0.477,0.512,0.393,0.748,0.571,0.534,7.12,-0.04,7.08,95.9,114.5,107.1,12.4,27.5,68.3,0.296
34,1997-98,CHI,62,82,20,0.756,19855,3064,6801,2753,5839,311,962,1492,2009,1243,2438,3681,1952,696,353,1178,1691,7931,0.451,0.471,0.323,0.743,0.516,0.473,7.11,0.13,7.24,89,107.7,99.8,13.3,35.7,70.6,0.295
35,1997-98,UTA,62,82,20,0.756,19780,2993,6113,2744,5443,249,670,2044,2644,962,2405,3367,2070,648,412,1260,1961,8279,0.49,0.504,0.372,0.773,0.569,0.51,6.54,-0.81,5.73,89.2,112.7,105.4,14.8,32.3,71,0.433
36,1994-95,SAS,62,82,20,0.756,19855,3236,6687,2802,5529,434,1158,1836,2487,1029,2661,3690,1919,656,456,1246,1871,8742,0.484,0.507,0.375,0.738,0.562,0.516,5.96,-0.06,5.9,94.6,111.7,105.4,13.8,30.9,72.3,0.372
37,1992-93,PHO,62,82,20,0.756,19730,3494,7093,3096,5998,398,1095,1912,2539,1141,2510,3651,2087,752,455,1359,1739,9298,0.493,0.516,0.363,0.753,0.566,0.521,6.66,-0.39,6.27,99.8,113.3,106.7,14.2,33,69.2,0.358
38,1987-88,LAL,62,82,20,0.756,19805,3576,7078,3434,6600,142,478,1956,2480,1073,2491,3564,2347,672,404,1318,1715,9250,0.505,0.52,0.297,0.789,0.566,0.515,5.84,-1.03,4.81,99.1,113.1,107.3,13.9,32.3,67.9,0.35
39,1985-86,LAL,62,82,20,0.756,19830,3834,7343,3696,6934,138,409,1812,2329,1101,2555,3656,2433,693,419,1467,2031,9618,0.522,0.533,0.337,0.778,0.575,0.532,7.74,-0.91,6.84,102.7,113.3,105.8,14.9,33.1,69.8,0.317
40,1984-85,LAL,62,82,20,0.756,19755,3952,7254,3862,6959,90,295,1702,2232,1063,2550,3613,2575,695,481,1537,1931,9696,0.545,0.555,0.305,0.763,0.589,0.551,7.35,-0.87,6.48,103.2,114.1,107,15.7,33.8,67.1,0.308
41,1983-84,BOS,62,82,20,0.756,19955,3616,7235,3561,7006,55,229,1907,2407,1159,2538,3697,2122,673,430,1420,1949,9194,0.5,0.508,0.24,0.792,0.554,0.504,6.56,-0.14,6.42,99.7,110.9,104.4,14.6,34.2,69.7,0.333
42,1980-81,BOS,62,82,20,0.756,19780,3581,7099,3516,6858,65,241,1781,2369,1155,2424,3579,2202,683,594,1577,1990,9008,0.504,0.513,0.27,0.752,0.553,0.509,5.88,0.17,6.05,100.8,108.4,102.6,16.2,34.7,67,0.334
43,1980-81,PHI,62,82,20,0.756,19855,3636,7073,3617,6989,19,84,1865,2427,1091,2618,3709,2369,857,591,1702,2061,9156,0.514,0.518,0.226,0.768,0.562,0.515,7.85,-0.09,7.76,103.4,107,99.5,17.3,32.3,67.1,0.343
44,2016-17,SAS,61,82,21,0.744,19805,3222,6864,2469,4937,753,1927,1440,1806,821,2777,3598,1954,655,484,1101,1498,8637,0.469,0.5,0.391,0.797,0.564,0.524,7.2,-0.06,7.13,94.2,111.1,103.5,12.6,24,77.6,0.263
45,2010-11,SAS,61,82,21,0.744,19780,3148,6628,2463,4901,685,1727,1521,1984,829,2603,3432,1836,602,372,1101,1556,8502,0.475,0.503,0.397,0.767,0.567,0.527,5.71,0.16,5.86,92.3,111.8,105.6,12.8,24.9,74.6,0.299
46,2009-10,CLE,61,82,21,0.744,19780,3101,6391,2499,4809,602,1582,1569,2180,791,2692,3483,1835,564,425,1137,1591,8373,0.485,0.52,0.381,0.72,0.57,0.532,6.52,-0.36,6.17,91.4,111.2,104.1,13.4,25.1,77.2,0.341
47,2006-07,PHO,61,82,21,0.744,19905,3388,6855,2603,4890,785,1965,1476,1827,737,2583,3320,2122,553,394,1189,1659,9037,0.494,0.532,0.399,0.808,0.59,0.551,7.3,-0.03,7.28,95.6,113.9,106.4,13.4,22.7,71.9,0.267
48,2003-04,IND,61,82,21,0.744,19805,2753,6322,2304,5041,449,1281,1538,2014,965,2452,3417,1774,726,411,1182,1709,7493,0.435,0.457,0.351,0.764,0.52,0.471,5.76,-0.82,4.93,87.5,103.8,97.2,14.1,28.5,73.9,0.319
49,2001-02,SAC,61,82,21,0.744,19755,3267,7003,2841,5843,426,1160,1618,2154,1013,2702,3715,1958,741,375,1128,1560,8578,0.467,0.486,0.367,0.751,0.539,0.497,7.61,0,7.61,95.6,109,101.1,12.4,27.9,71.7,0.308
50,1997-98,LAL,61,82,21,0.744,19830,3146,6536,2649,5121,497,1415,1863,2743,1079,2471,3550,2009,734,556,1256,1859,8652,0.481,0.517,0.351,0.679,0.559,0.519,7.74,-0.87,6.88,93.6,111.9,103.7,14,31.6,68.8,0.42
51,1997-98,SEA,61,82,21,0.744,19755,3052,6458,2431,4889,621,1569,1521,2109,931,2225,3156,1986,804,376,1145,1812,8246,0.473,0.497,0.396,0.721,0.558,0.521,7.17,-0.84,6.33,89.8,111.6,103.6,13.4,28.7,66.1,0.327
52,1996-97,MIA,61,82,21,0.744,19805,2822,6235,2144,4370,678,1865,1454,2022,957,2402,3359,1735,650,439,1306,1919,7776,0.453,0.491,0.364,0.719,0.546,0.507,5.49,0.07,5.56,88.2,106.8,100.6,15.5,29.2,70.6,0.324
53,1990-91,CHI,61,82,21,0.744,19755,3632,7125,3477,6701,155,424,1605,2111,1148,2342,3490,2212,822,438,1184,1751,9024,0.51,0.519,0.366,0.76,0.56,0.521,9.1,-0.53,8.57,95.6,114.6,105.2,12.8,34.7,68.8,0.296
54,1979-80,BOS,61,82,21,0.744,19880,3617,7387,3455,6965,162,422,1907,2449,1227,2457,3684,2198,809,308,1539,1974,9303,0.49,0.496,0.384,0.779,0.55,0.501,7.79,-0.42,7.37,102.6,109.4,101.9,15.4,34.8,67.8,0.332
55,2018-19,MIL,60,82,22,0.732,19780,3555,7471,2450,4337,1105,3134,1471,1904,762,3316,4078,2136,615,486,1137,1608,9686,0.476,0.565,0.353,0.773,0.583,0.55,8.87,-0.82,8.04,103.3,113.8,105.2,12,20.8,80.3,0.255
56,2014-15,ATL,60,82,22,0.732,19730,3121,6699,2303,4547,818,2152,1349,1735,715,2611,3326,2111,744,380,1167,1457,8409,0.466,0.506,0.38,0.778,0.563,0.527,5.43,-0.68,4.75,93.9,108.9,103.1,13.5,21.4,73.4,0.259
57,2012-13,OKC,60,82,22,0.732,19830,3126,6504,2528,4916,598,1588,1819,2196,854,2725,3579,1753,679,624,1253,1654,8669,0.481,0.514,0.377,0.828,0.58,0.527,9.21,-0.06,9.15,93.3,112.4,102.6,14.4,26.7,73.4,0.338
58,2005-06,DAL,60,82,22,0.732,19880,2948,6375,2532,5262,416,1113,1818,2322,1030,2431,3461,1473,593,488,1112,1834,8130,0.462,0.481,0.374,0.783,0.55,0.495,6.07,-0.11,5.96,87.8,111.8,105,13.1,31.8,72.2,0.364
59,2002-03,DAL,60,82,22,0.732,19780,3161,6982,2525,5314,636,1668,1486,1793,912,2544,3456,1837,665,449,949,1730,8444,0.453,0.475,0.381,0.829,0.543,0.498,7.78,0.12,7.9,92.5,110.7,102.3,10.9,25.4,70.9,0.257
60,2002-03,SAS,60,82,22,0.732,19830,2908,6297,2459,5027,449,1270,1591,2194,939,2556,3495,1636,629,529,1295,1672,7856,0.462,0.489,0.354,0.725,0.541,0.497,5.41,0.23,5.65,90,105.6,99.7,15.1,28.8,71.3,0.348
61,1995-96,ORL,60,82,22,0.732,19855,3203,6640,2581,4995,622,1645,1543,2232,966,2401,3367,2080,663,406,1160,1709,8571,0.482,0.517,0.378,0.691,0.562,0.529,5.56,-0.16,5.4,91.8,112.9,106.9,13.2,29,68.8,0.336
62,1994-95,UTA,60,82,22,0.732,19780,3243,6339,2942,5538,301,801,1939,2483,874,2412,3286,2256,758,392,1289,2045,8726,0.512,0.531,0.376,0.781,0.587,0.535,7.99,-0.23,7.76,92.6,114.3,105.7,14.8,29.1,72.5,0.392
63,1992-93,NYK,60,82,22,0.732,19930,3209,6898,3016,6294,193,604,1717,2316,1150,2660,3810,2125,680,372,1296,2111,8328,0.465,0.479,0.32,0.741,0.526,0.479,6.16,-0.29,5.87,94.5,106.1,99.7,14.1,33.1,72.1,0.336
64,1980-81,MIL,60,82,22,0.732,19755,3722,7472,3692,7341,30,131,1802,2340,1261,2408,3669,2319,862,530,1581,2198,9276,0.498,0.503,0.229,0.77,0.546,0.5,7.27,-0.13,7.14,103.6,108.7,101.8,15.7,36.3,65.6,0.313
65,1979-80,LAL,60,82,22,0.732,19880,3898,7368,3878,7268,20,100,1622,2092,1085,2653,3738,2413,774,546,1639,1784,9438,0.529,0.534,0.2,0.775,0.569,0.53,5.9,-0.51,5.4,104.1,109.5,103.9,16.5,32.6,66.9,0.284
66,2017-18,TOR,59,82,23,0.72,19830,3383,7169,2415,4464,968,2705,1422,1790,800,2807,3607,1995,626,500,1095,1783,9156,0.472,0.541,0.358,0.794,0.575,0.539,7.78,-0.49,7.29,97.4,113.8,105.9,12.1,23,77.7,0.25
67,2013-14,OKC,59,82,23,0.72,19805,3194,6782,2530,4943,664,1839,1653,2052,887,2781,3668,1794,678,501,1256,1858,8705,0.471,0.512,0.361,0.806,0.566,0.52,6.34,0.32,6.66,95.4,110.5,103.9,14,26.5,75.6,0.303
68,2009-10,ORL,59,82,23,0.72,19730,3005,6394,2164,4153,841,2241,1575,2176,810,2736,3546,1615,512,456,1155,1629,8426,0.47,0.521,0.375,0.724,0.573,0.536,7.49,-0.37,7.12,92,111.4,103.3,13.6,24.6,77.4,0.34
69,2008-09,ORL,59,82,23,0.72,19730,2929,6416,2112,4269,817,2147,1611,2253,819,2728,3547,1593,570,439,1142,1664,8286,0.457,0.495,0.381,0.715,0.559,0.52,6.7,-0.21,6.48,92.3,109.2,101.9,13.4,24,75.9,0.351
70,2007-08,DET,59,82,23,0.72,19730,2999,6551,2512,5221,487,1330,1507,1965,974,2423,3397,1831,583,472,956,1688,7992,0.458,0.481,0.366,0.767,0.539,0.495,7.39,-0.72,6.67,87.3,111.4,102.9,11.4,29.4,73.7,0.3
71,2004-05,MIA,59,82,23,0.72,19980,3097,6368,2622,5108,475,1260,1658,2466,887,2639,3526,1790,528,474,1127,1814,8327,0.486,0.513,0.377,0.672,0.559,0.524,6.52,-0.76,5.77,90.8,110.2,103.1,13.1,27,74.1,0.387
72,2004-05,SAS,59,82,23,0.72,19805,2923,6450,2416,5055,507,1395,1535,2120,987,2489,3476,1771,613,543,1126,1717,7888,0.453,0.478,0.363,0.724,0.534,0.492,7.8,0.03,7.84,88.9,107.5,98.8,13.2,29.1,73.6,0.329
73,2002-03,SAC,59,82,23,0.72,19830,3242,6990,2751,5702,491,1288,1367,1832,900,2751,3651,2034,736,457,1192,1666,8342,0.464,0.482,0.381,0.746,0.535,0.499,6.5,0.18,6.68,95.4,105.9,99.1,13.3,25.6,70.6,0.262
74,1999-00,POR,59,82,23,0.72,19780,3021,6430,2614,5302,407,1128,1542,2029,966,2560,3526,1925,633,396,1243,1865,7991,0.47,0.493,0.361,0.76,0.546,0.501,6.4,-0.04,6.36,89.9,107.9,100.8,14.5,30.3,72.4,0.316
75,1995-96,SAS,59,82,23,0.72,19780,3148,6602,2630,5282,518,1320,1663,2261,937,2586,3523,2044,645,536,1195,1820,8477,0.477,0.498,0.392,0.736,0.558,0.516,6.3,-0.33,5.98,93.3,110.2,103.5,13.6,27.5,70,0.342
76,1994-95,PHO,59,82,23,0.72,19830,3356,6967,2772,5383,584,1584,1777,2352,1027,2403,3430,2198,687,312,1167,1839,9073,0.482,0.515,0.369,0.756,0.567,0.524,3.88,-0.02,3.86,95.9,114.5,110.4,12.7,29.7,69.8,0.338
77,1989-90,POR,59,82,23,0.72,19880,3572,7547,3382,6982,190,565,2031,2734,1355,2552,3907,2085,749,364,1356,2048,9365,0.473,0.484,0.336,0.743,0.535,0.486,6.32,0.16,6.48,102.3,110.5,104.4,13.4,36.5,70.8,0.362
78,1989-90,DET,59,82,23,0.72,19805,3333,6980,3156,6439,177,541,1713,2252,1185,2458,3643,1996,512,418,1233,1961,8556,0.478,0.49,0.327,0.761,0.537,0.49,6.09,-0.68,5.41,94.4,109.9,103.5,13.4,34.2,70.3,0.323
79,1986-87,BOS,59,82,23,0.72,19805,3645,7051,3438,6486,207,565,1740,2153,933,2585,3518,2421,561,526,1300,1710,9237,0.517,0.53,0.366,0.808,0.577,0.532,6.65,-0.08,6.57,98.6,113.5,106.8,14,29,67.6,0.305
80,1984-85,MIL,59,82,23,0.72,19805,3564,7256,3475,6962,89,294,1873,2473,1256,2353,3609,2164,689,486,1382,2239,9090,0.491,0.499,0.303,0.757,0.545,0.497,6.85,-0.16,6.69,99.7,110.5,103.6,14.2,35.4,65.6,0.341
81,1979-80,PHI,59,82,23,0.72,19855,3523,7156,3496,7031,27,125,1876,2431,1187,2635,3822,2226,792,652,1708,1860,8949,0.492,0.497,0.216,0.772,0.544,0.494,4.22,-0.18,4.04,103,105,101,17.2,33.5,66.7,0.34
82,2022-23,MIL,58,82,24,0.707,19830,3504,7411,2287,4105,1217,3306,1364,1837,914,3074,3988,2115,521,403,1199,1481,9589,0.473,0.557,0.368,0.743,0.583,0.555,3.63,-0.02,3.61,100.5,115.4,111.9,12.7,25,77.8,0.248
83,2018-19,TOR,58,82,24,0.707,19880,3460,7305,2445,4534,1015,2771,1449,1803,786,2920,3706,2085,680,437,1150,1724,9384,0.474,0.539,0.366,0.804,0.579,0.543,6.09,-0.6,5.49,100.2,113.1,107.1,12.4,21.9,77.1,0.247
84,2017-18,GSW,58,82,24,0.707,19730,3509,6981,2583,4611,926,2370,1360,1668,691,2877,3568,2402,656,612,1267,1607,9304,0.503,0.56,0.391,0.815,0.603,0.569,5.98,-0.19,5.79,99.6,113.6,107.6,14.1,21,76.3,0.239
85,2012-13,SAS,58,82,24,0.707,19880,3210,6675,2547,4911,663,1764,1365,1725,666,2721,3387,2058,695,446,1206,1427,8448,0.481,0.519,0.376,0.791,0.568,0.531,6.4,0.27,6.67,94.2,108.3,101.6,14,20.5,74.9,0.258
86,2010-11,MIA,58,82,24,0.707,19780,3031,6301,2484,4822,547,1479,1760,2288,790,2666,3456,1639,544,430,1142,1674,8369,0.481,0.515,0.37,0.769,0.573,0.524,7.46,-0.71,6.76,90.9,111.7,103.5,13.5,25.2,75.5,0.363
87,2006-07,SAS,58,82,24,0.707,19780,2999,6328,2404,4767,595,1561,1486,1980,761,2577,3338,1814,587,417,1137,1588,8079,0.474,0.504,0.381,0.751,0.561,0.521,8.43,-0.08,8.35,89.8,109.2,99.9,13.6,24.2,75.7,0.313
88,2004-05,DAL,58,82,24,0.707,19730,3058,6691,2595,5418,463,1273,1826,2314,990,2530,3520,1610,708,461,1102,1827,8405,0.457,0.479,0.364,0.789,0.545,0.492,5.74,0.11,5.86,92.7,110.3,104.1,12.5,28.6,70.2,0.346
89,2003-04,MIN,58,82,24,0.707,19755,3033,6571,2707,5674,326,897,1361,1743,875,2645,3520,1890,561,462,1043,1731,7753,0.462,0.477,0.363,0.781,0.528,0.486,5.49,0.37,5.86,89,105.9,99.7,12.4,26.7,72.5,0.265
90,2001-02,LAL,58,82,24,0.707,19780,3150,6840,2640,5401,510,1439,1494,2138,1022,2607,3629,1882,625,478,1040,1823,8304,0.461,0.489,0.354,0.699,0.534,0.498,7.12,0.03,7.15,92.1,109.4,101.7,11.8,28.8,72,0.313
91,2001-02,SAS,58,82,24,0.707,19855,2913,6363,2475,5152,438,1211,1668,2249,907,2566,3473,1643,625,537,1180,1575,7932,0.458,0.48,0.362,0.742,0.539,0.492,6.21,0.07,6.28,90,106.5,99.7,13.8,27.2,71.9,0.353
92,2000-01,SAS,58,82,24,0.707,19830,2884,6262,2439,5168,445,1094,1673,2340,902,2712,3614,1778,568,576,1145,1551,7886,0.461,0.472,0.407,0.715,0.541,0.496,7.76,0.16,7.92,89.6,106.6,98,13.6,27.1,73.7,0.374
93,1997-98,IND,58,82,24,0.707,19830,2921,6223,2520,5194,401,1029,1631,2136,874,2348,3222,1889,645,368,1168,1859,7874,0.469,0.485,0.39,0.764,0.55,0.502,6.09,0.16,6.25,87.9,108.4,101.6,14,27.9,67.8,0.343
94,1993-94,HOU,58,82,24,0.707,19780,3197,6733,2768,5448,429,1285,1469,1978,926,2619,3545,2087,717,485,1338,1646,8292,0.475,0.508,0.334,0.743,0.545,0.507,4.32,-0.12,4.19,95,105.9,101.4,15,27.6,69.7,0.294
95,1990-91,LAL,58,82,24,0.707,19830,3343,6911,3117,6167,226,744,1805,2261,1078,2440,3518,2091,642,384,1203,1524,8717,0.484,0.505,0.304,0.798,0.551,0.5,6.74,-0.01,6.73,94.1,112.1,105,13.2,33,68.3,0.327
96,1984-85,PHI,58,82,24,0.707,19805,3443,6992,3384,6768,59,224,2316,2883,1301,2364,3665,1999,817,534,1575,1971,9261,0.492,0.5,0.263,0.803,0.561,0.497,4.1,0.07,4.17,100.8,111.3,107.3,16,37.4,66.6,0.412
97,1982-83,LAL,58,82,24,0.707,19730,3964,7512,3954,7416,10,96,1495,2031,1235,2433,3668,2519,844,479,1584,1931,9433,0.528,0.533,0.104,0.736,0.561,0.528,5.55,-0.49,5.06,103.8,110.5,105.2,15.9,36.3,65.3,0.27
98,1981-82,PHI,58,82,24,0.707,19855,3616,6974,3575,6835,41,139,1846,2471,1031,2389,3420,2264,856,622,1474,2183,9119,0.518,0.523,0.295,0.747,0.566,0.521,5.73,0,5.74,100.6,109.6,103.9,15.5,30.5,65,0.354
99,2023-24,OKC,57,82,25,0.695,19805,3653,7324,2563,4519,1090,2805,1451,1759,722,2725,3447,2223,694,538,1039,1545,9847,0.499,0.567,0.389,0.825,0.608,0.573,7.41,-0.05,7.36,99.8,119.5,112.1,11.4,21.1,73.8,0.24
100,2023-24,DEN,57,82,25,0.695,19705,3610,7279,2652,4719,958,2560,1240,1628,881,2763,3644,2415,585,457,1036,1489,9418,0.496,0.562,0.374,0.762,0.589,0.562,5.26,-0.03,5.23,96.8,118.5,113,11.5,25.5,75.6,0.224
101,2022-23,BOS,57,82,25,0.695,19980,3460,7278,2145,3786,1315,3492,1436,1769,796,2921,3717,2186,521,430,1095,1542,9671,0.475,0.567,0.377,0.812,0.6,0.566,6.52,-0.15,6.38,98.5,118,111.5,12,22.1,78.5,0.243
102,2018-19,GSW,57,82,25,0.695,19805,3612,7361,2525,4537,1087,2824,1339,1672,797,2990,3787,2413,625,525,1169,1757,9650,0.491,0.557,0.385,0.801,0.596,0.565,6.46,-0.04,6.42,100.9,115.9,109.5,12.6,22.5,77.1,0.227
